sorted_pairs	ReactionID	type1	type2	mappingID1	mappingID2	Reaction ID	Relationship	pair1	pair2	SeedNode1	SeedNode2	detectedPair1	detectedPair2	SigNode1	SigNode2	Entity1	Entity2	EdgeColor	Direction	concordant	EdgeLine	8_diff	7_diff	6_diff	5_diff	4_diff	3_diff	2_diff	1_diff
11750_P14423	R-RNO-1482776, R-RNO-1602374	input	catalyst	11750	P14423	R-RNO-1482776, R-RNO-1602374	Metabolite_GeneProduct	PS [endoplasmic reticulum membrane], PS [plasma membrane]	PLA2G2A [endoplasmic reticulum membrane], PLA2G2A [extracellular region]	*		*	*	*		SimpleEntity	Complex, DefinedSet	Enzyme or transporter	input_catalyst		Solid			*					*
11750_P50393	R-RNO-1482771, R-RNO-1482897	input	catalyst	11750	P50393	R-RNO-1482771, R-RNO-1482897	Metabolite_GeneProduct	PS [endoplasmic reticulum membrane]	PLA2G4A [cytosol]	*		*	*	*		SimpleEntity	DefinedSet	Enzyme or transporter	input_catalyst		Solid			*					*
11750_P53817	R-RNO-1482771	input	catalyst	11750	P53817	R-RNO-1482771	Metabolite_GeneProduct	PS [endoplasmic reticulum membrane]	Plaat3 [cytosol]	*		*	*	*		SimpleEntity	DefinedSet	Enzyme or transporter	input_catalyst		Solid			*					*
11750_Q5FVN0	R-RNO-1482636, R-RNO-1482691	output	catalyst	11750	Q5FVN0	R-RNO-1482636, R-RNO-1482691	Metabolite_GeneProduct	PS [endoplasmic reticulum membrane]	Lpcat3 [endoplasmic reticulum membrane]	*		*	*	*		SimpleEntity	DefinedSet	Enzyme or transporter	output_catalyst		Solid			*					*
11750_Q5PQL5	R-RNO-1483186	output	catalyst	11750	Q5PQL5	R-RNO-1483186	Metabolite_GeneProduct	PS [endoplasmic reticulum membrane]	Ptdss1 [endoplasmic reticulum membrane]	*		*	*	*		SimpleEntity	EntityWithAccessionedSequence	Enzyme or transporter	output_catalyst		Solid			*					*
15354_15355	R-RNO-264622	input	output	15354	15355	R-RNO-264622	Metabolite_Metabolite	Cho [cytosol]	AcCho [cytosol]	*	*	*	*	*	*	SimpleEntity	SimpleEntity	Metabolic Transformation	input_output		Solid	*	*			*			*
15354_57643	R-RNO-1483182, R-RNO-1483186	input	output	57643	15354	R-RNO-1483182, R-RNO-1483186	Metabolite_Metabolite	PC [endoplasmic reticulum membrane]	Cho [cytosol]	*	*	*	*	*	*	SimpleEntity	SimpleEntity	Metabolic Transformation	input_output		Solid	*	*			*			
15354_B4F795	R-RNO-444433	input	catalyst	15354	B4F795	R-RNO-444433	Metabolite_GeneProduct	Cho [extracellular region]	Slc44a2 [plasma membrane]	*		*	*	*		SimpleEntity	DefinedSet	Enzyme or transporter	input_catalyst		Solid	*	*			*			
15354_O54783	R-RNO-1483004	input	catalyst	15354	O54783	R-RNO-1483004	Metabolite_GeneProduct	Cho [cytosol]	CHKB [cytosol]	*	*	*	*	*	*	SimpleEntity	DefinedSet	Enzyme or transporter	input_catalyst	Substrate-Enzyme	Solid	*	*			*			
15354_P70496	R-RNO-1483182	output	catalyst	15354	P70496	R-RNO-1483182	Metabolite_GeneProduct	Cho [cytosol]	Pld1 [endoplasmic reticulum membrane]	*		*	*	*		SimpleEntity	DefinedSet	Enzyme or transporter	output_catalyst		Solid	*	*			*			
15354_P70498	R-RNO-1483182	output	catalyst	15354	P70498	R-RNO-1483182	Metabolite_GeneProduct	Cho [cytosol]	Pld2 [endoplasmic reticulum membrane]	*		*	*	*		SimpleEntity	DefinedSet	Enzyme or transporter	output_catalyst		Solid	*	*			*			
15354_Q5PQL5	R-RNO-1483186	output	catalyst	15354	Q5PQL5	R-RNO-1483186	Metabolite_GeneProduct	Cho [cytosol]	Ptdss1 [endoplasmic reticulum membrane]	*		*	*	*		SimpleEntity	EntityWithAccessionedSequence	Enzyme or transporter	output_catalyst		Solid	*	*			*			
15354_Q6AY92	R-RNO-444433	input	catalyst	15354	Q6AY92	R-RNO-444433	Metabolite_GeneProduct	Cho [extracellular region]	Slc44a3 [plasma membrane]	*	*	*	*	*	*	SimpleEntity	DefinedSet	Enzyme or transporter	input_catalyst	Substrate-Enzyme	Solid	*	*			*			
15354_Q6MG71	R-RNO-444433	input	catalyst	15354	Q6MG71	R-RNO-444433	Metabolite_GeneProduct	Cho [extracellular region]	Slc44a4 [plasma membrane]	*		*	*	*		SimpleEntity	DefinedSet	Enzyme or transporter	input_catalyst		Solid	*	*			*			
15354_Q8VII6	R-RNO-444433, R-RNO-6797956	input	catalyst	15354	Q8VII6	R-RNO-444433, R-RNO-6797956	Metabolite_GeneProduct	Cho [extracellular region], Cho [cytosol]	Slc44a1 [plasma membrane], Slc44a1 [mitochondrial outer membrane]	*		*	*	*		SimpleEntity	DefinedSet, EntityWithAccessionedSequence	Enzyme or transporter	input_catalyst		Solid	*	*			*			
15367_17336	R-RNO-5246478	input	input	15367	17336	R-RNO-5246478	Metabolite_Metabolite	atRA [extracellular region]	atROL [extracellular region]		*	*	*		*	DefinedSet	DefinedSet	SameComplex	input_input		Solid							*	*
16000_57613	R-RNO-1483089	input	output	57613	16000	R-RNO-1483089	Metabolite_Metabolite	PE [endoplasmic reticulum membrane]	ETA [cytosol]	*		*	*	*		SimpleEntity	SimpleEntity	Metabolic Transformation	input_output		Solid					*			
16000_O54783	R-RNO-1483222	input	catalyst	16000	O54783	R-RNO-1483222	Metabolite_GeneProduct	ETA [cytosol]	CHKB [cytosol]		*	*	*		*	SimpleEntity	DefinedSet	Enzyme or transporter	input_catalyst		Solid	*							
16113_17002	R-RNO-2187332, R-RNO-2395764, R-RNO-2395768, R-RNO-2395784, R-RNO-2404131, R-RNO-2423785	input	input	16113	17002	R-RNO-2187332, R-RNO-2395764, R-RNO-2395768, R-RNO-2395784, R-RNO-2404131, R-RNO-2423785	Metabolite_Metabolite	CHOL [cytosol], CHOL [extracellular region]	CHEST [cytosol], CHEST [extracellular region]		*	*	*		*	Complex	Complex	SameComplex	input_input		Solid					*	*		
16113_17855	R-RNO-2187332, R-RNO-2395764, R-RNO-2395768, R-RNO-2395784, R-RNO-2404131, R-RNO-2423785	input	input	17855	16113	R-RNO-2187332, R-RNO-2395764, R-RNO-2395768, R-RNO-2395784, R-RNO-2404131, R-RNO-2423785	Metabolite_Metabolite	TAG [cytosol], TAGs [extracellular region]	CHOL [cytosol], CHOL [extracellular region]	*		*	*	*		Complex	Complex	SameComplex	input_input		Solid					*	*		
16113_P04639	R-RNO-2187332, R-RNO-2395764, R-RNO-2395768, R-RNO-2395784, R-RNO-2404131, R-RNO-2423785	input	input	P04639	16113	R-RNO-2187332, R-RNO-2395764, R-RNO-2395768, R-RNO-2395784, R-RNO-2404131, R-RNO-2423785	Metabolite_GeneProduct	Apoa1 [cytosol], Apoa1 [extracellular region]	CHOL [cytosol], CHOL [extracellular region]	*		*	*	*		Complex	Complex	SameComplex	input_input		Solid	*				*			
16113_P06759	R-RNO-2395768, R-RNO-2395784, R-RNO-2404131, R-RNO-2423785, R-RNO-2395768, R-RNO-2395784, R-RNO-2423785	input	output	P06759	16113	R-RNO-2395768, R-RNO-2395784, R-RNO-2404131, R-RNO-2423785	Metabolite_GeneProduct	Apoc3 [extracellular region]	CHOL [extracellular region], CHOL [early endosome]	*		*	*	*		Complex	Complex	SameComplex	input_output		Solid					*			
16113_P26260	R-RNO-2404131	input	input	P26260	16113	R-RNO-2404131	Metabolite_GeneProduct	Sdc1 [plasma membrane]	CHOL [extracellular region]	*		*	*	*		Complex	Complex	SameComplex	input_input		Solid					*			
16235_16750	R-RNO-112034	input	output	16235	16750	R-RNO-112034	Metabolite_Metabolite	Gua [cytosol]	Gua-Rib [cytosol]	*	*	*	*	*	*	SimpleEntity	DefinedSet	Metabolic Transformation	input_output		Solid	*					*		
16235_17172	R-RNO-112034	input	output	16235	17172	R-RNO-112034	Metabolite_Metabolite	Gua [cytosol]	dG [cytosol]	*		*	*	*		SimpleEntity	DefinedSet	Metabolic Transformation	input_output		Solid	*							
16235_17368	R-RNO-74215	input	input	16235	17368	R-RNO-74215	Metabolite_Metabolite	Gua [cytosol]	Hyp [cytosol]	*		*	*	*		DefinedSet	DefinedSet	SameComplex	input_input		Solid	*							
16235_17712	R-RNO-74255	input	output	16235	17712	R-RNO-74255	Metabolite_Metabolite	Gua [cytosol]	XAN [cytosol]	*		*	*	*		SimpleEntity	SimpleEntity	Metabolic Transformation	input_output		Solid	*							
16235_P85973	R-RNO-112034	input	catalyst	16235	P85973	R-RNO-112034	Metabolite_GeneProduct	Gua [cytosol]	PNP [cytosol]	*		*	*	*		SimpleEntity	Complex	Enzyme or transporter	input_catalyst		Solid	*							
16335_16750	R-RNO-109278, R-RNO-109387	output	output	16335	16750	R-RNO-109278, R-RNO-109387	Metabolite_Metabolite	Ade-Rib [extracellular region], Ade-Rib [cytosol]	Gua-Rib [extracellular region], Gua-Rib [cytosol]		*	*	*		*	DefinedSet	DefinedSet	SameComplex	output_output		Solid						*		
16335_17256	R-RNO-109278, R-RNO-109387	output	output	16335	17256	R-RNO-109278, R-RNO-109387	Metabolite_Metabolite	Ade-Rib [extracellular region], Ade-Rib [cytosol]	dA [extracellular region], dA [cytosol]		*	*	*		*	DefinedSet	DefinedSet	SameComplex	output_output		Solid	*	*						
16335_17596	R-RNO-74241, R-RNO-109278, R-RNO-109387	input	output	16335	17596	R-RNO-74241	Metabolite_Metabolite	Ade-Rib [cytosol]	Ino [cytosol]		*	*	*		*	DefinedSet	DefinedSet	Metabolic Transformation	input_output		Solid	*	*	*	*		*		*
16474_17336	R-RNO-2855252, R-RNO-975629	input	output	16474	17336	R-RNO-2855252, R-RNO-975629	Metabolite_Metabolite	NADPH [cytosol]	atROL [cytosol]		*	*	*		*	SimpleEntity	Complex	Metabolic Transformation	input_output		Solid							*	*
16474_Q6AY99	R-RNO-2855252	input	catalyst	16474	Q6AY99	R-RNO-2855252	Metabolite_GeneProduct	NADPH [cytosol]	AKR1B10 [cytosol]		*	*	*		*	SimpleEntity	DefinedSet	Enzyme or transporter	input_catalyst		Solid		*						
16750_17172	R-RNO-109387, R-RNO-109470, R-RNO-112034, R-RNO-74248	output	output	16750	17172	R-RNO-109387, R-RNO-109470, R-RNO-112034, R-RNO-74248	Metabolite_Metabolite	Gua-Rib [cytosol]	dG [cytosol]	*		*	*	*		DefinedSet	DefinedSet	SameComplex	output_output		Solid						*		
16750_17256	R-RNO-109278, R-RNO-109387	output	output	17256	16750	R-RNO-109278, R-RNO-109387	Metabolite_Metabolite	dA [extracellular region], dA [cytosol]	Gua-Rib [extracellular region], Gua-Rib [cytosol]	*	*	*	*	*	*	DefinedSet	DefinedSet	SameComplex	output_output		Solid	*	*				*		
16750_17596	R-RNO-109278, R-RNO-109387, R-RNO-109470, R-RNO-74248	output	output	16750	17596	R-RNO-109278, R-RNO-109387, R-RNO-109470, R-RNO-74248	Metabolite_Metabolite	Gua-Rib [extracellular region], Gua-Rib [cytosol]	Ino [extracellular region], Ino [cytosol]	*	*	*	*	*	*	DefinedSet	DefinedSet	SameComplex	output_output		Solid	*	*	*	*		*		*
16750_D3ZMY7	R-RNO-74248	output	catalyst	16750	D3ZMY7	R-RNO-74248	Metabolite_GeneProduct	Gua-Rib [cytosol]	NT5C2 [cytosol]	*		*	*	*		DefinedSet	Complex	Enzyme or transporter	output_catalyst		Solid						*		
16750_D3ZWR1	R-RNO-109470	output	catalyst	16750	D3ZWR1	R-RNO-109470	Metabolite_GeneProduct	Gua-Rib [cytosol]	Nt5c [cytosol]	*		*	*	*		DefinedSet	Complex	Enzyme or transporter	output_catalyst		Solid						*		
16750_P21588	R-RNO-109278	output	catalyst	16750	P21588	R-RNO-109278	Metabolite_GeneProduct	Gua-Rib [extracellular region]	NT5E [plasma membrane]	*		*	*	*		DefinedSet	Complex	Enzyme or transporter	output_catalyst		Solid						*		
16750_P85973	R-RNO-112034	output	catalyst	16750	P85973	R-RNO-112034	Metabolite_GeneProduct	Gua-Rib [cytosol]	PNP [cytosol]	*		*	*	*		DefinedSet	Complex	Enzyme or transporter	output_catalyst		Solid						*		
16797_17154	R-RNO-5359451	input	output	17154	16797	R-RNO-5359451	Metabolite_Metabolite	NAM [cytosol]	MNA [cytosol]	*	*	*	*	*	*	SimpleEntity	SimpleEntity	Metabolic Transformation	input_output		Solid	*	*				*	*	
16797_D4A605	R-RNO-5359451	output	catalyst	16797	D4A605	R-RNO-5359451	Metabolite_GeneProduct	MNA [cytosol]	Nnmt [cytosol]	*	*	*	*	*	*	SimpleEntity	EntityWithAccessionedSequence	Enzyme or transporter	output_catalyst	Enzyme-Product	Solid	*	*			*			*
16870_60479	R-RNO-8952251	input	output	60479	16870	R-RNO-8952251	Metabolite_Metabolite	lysoPC [extracellular region]	GPCho [extracellular region]	*	*	*	*	*	*	SimpleEntity	SimpleEntity	Metabolic Transformation	input_output		Solid					*	*		
16870_D4A1I6	R-RNO-1482612, R-RNO-1482685	output	catalyst	16870	D4A1I6	R-RNO-1482612, R-RNO-1482685	Metabolite_GeneProduct	GPCho [cytosol]	Pla2g4b [cytosol]	*		*	*	*		SimpleEntity	DefinedSet	Enzyme or transporter	output_catalyst		Solid					*			
16870_F1LMQ4	R-RNO-1482629, R-RNO-1482696	output	catalyst	16870	F1LMQ4	R-RNO-1482629, R-RNO-1482696	Metabolite_GeneProduct	GPCho [cytosol]	Pla2g4c [endoplasmic reticulum membrane]	*		*	*	*		SimpleEntity	EntityWithAccessionedSequence	Enzyme or transporter	output_catalyst		Solid					*			
16870_P50393	R-RNO-1482612, R-RNO-1482685	output	catalyst	16870	P50393	R-RNO-1482612, R-RNO-1482685	Metabolite_GeneProduct	GPCho [cytosol]	PLA2G4A [cytosol]	*		*	*	*		SimpleEntity	DefinedSet	Enzyme or transporter	output_catalyst		Solid					*			
16870_Q5U2V4	R-RNO-1482612, R-RNO-1482685	output	catalyst	16870	Q5U2V4	R-RNO-1482612, R-RNO-1482685	Metabolite_GeneProduct	GPCho [cytosol]	Plbd1 [cytosol]	*		*	*	*		SimpleEntity	DefinedSet	Enzyme or transporter	output_catalyst		Solid					*			
16870_Q675A5	R-RNO-8952251	output	catalyst	16870	Q675A5	R-RNO-8952251	Metabolite_GeneProduct	GPCho [extracellular region]	PLA2G15 [extracellular region]	*		*	*	*		SimpleEntity	EntityWithAccessionedSequence	Enzyme or transporter	output_catalyst		Solid					*			
17002_17855	R-RNO-2187332, R-RNO-2395764, R-RNO-2395768, R-RNO-2395784, R-RNO-2404131, R-RNO-2423785, R-RNO-8856630, R-RNO-8862380, R-RNO-2187332, R-RNO-2395764, R-RNO-2395768, R-RNO-2395784, R-RNO-2404131, R-RNO-2423785	input	output	17855	17002	R-RNO-2187332, R-RNO-2395764, R-RNO-2395768, R-RNO-2395784, R-RNO-2404131, R-RNO-2423785, R-RNO-8856630, R-RNO-8862380	Metabolite_Metabolite	TAG [cytosol], TAGs [extracellular region], TAG [lipid droplet]	CHEST [extracellular region], CHEST [cytosol], CHEST [early endosome], CHEST [lipid droplet]	*	*	*	*	*	*	Complex	Complex	Metabolic Transformation	input_output		Solid					*	*		
17002_A0A8I5Y2E9	R-RNO-8856630	input	input	A0A8I5Y2E9	17002	R-RNO-8856630	Metabolite_GeneProduct	Cidea [cytosol]	CHEST [lipid droplet]		*	*	*		*	Complex	Complex	SameComplex	input_input		Solid					*	*		
17002_A0A8I6A609	R-RNO-2404131	input	input	A0A8I6A609	17002	R-RNO-2404131	Metabolite_GeneProduct	Gpc6 [plasma membrane]	CHEST [extracellular region]		*	*	*		*	Complex	Complex	SameComplex	input_input		Solid					*	*		
17002_D3ZCF7	R-RNO-2404131	input	catalyst	17002	D3ZCF7	R-RNO-2404131	Metabolite_GeneProduct	CHEST [extracellular region]	Lrp12 [plasma membrane]	*		*	*	*		Complex	CandidateSet	Enzyme or transporter	input_catalyst		Solid					*	*		
17002_D3ZE75	R-RNO-2404131	input	catalyst	17002	D3ZE75	R-RNO-2404131	Metabolite_GeneProduct	CHEST [extracellular region]	Lrp8 [plasma membrane]	*		*	*	*		Complex	CandidateSet	Enzyme or transporter	input_catalyst		Solid					*	*		
17002_F7F3K1	R-RNO-2404131	input	catalyst	17002	F7F3K1	R-RNO-2404131	Metabolite_GeneProduct	CHEST [extracellular region]	Lrp10 [plasma membrane]	*		*	*	*		Complex	CandidateSet	Enzyme or transporter	input_catalyst		Solid					*	*		
17002_G3V8D4	R-RNO-2395768, R-RNO-2395784, R-RNO-2404131, R-RNO-2423785, R-RNO-2395768, R-RNO-2395784, R-RNO-2423785	input	output	G3V8D4	17002	R-RNO-2395768, R-RNO-2395784, R-RNO-2404131, R-RNO-2423785	Metabolite_GeneProduct	Apoc2 [extracellular region]	CHEST [extracellular region], CHEST [early endosome]		*	*	*		*	Complex	Complex	SameComplex	input_output		Solid					*	*		
17002_G3V928	R-RNO-2404131	input	catalyst	17002	G3V928	R-RNO-2404131	Metabolite_GeneProduct	CHEST [extracellular region]	LRP1 [plasma membrane]	*		*	*	*		Complex	CandidateSet	Enzyme or transporter	input_catalyst		Solid					*	*		
17002_P02650	R-RNO-2395768, R-RNO-2395784, R-RNO-2404131, R-RNO-2423785	output	output	P02650	17002	R-RNO-2395768, R-RNO-2395784, R-RNO-2404131, R-RNO-2423785	Metabolite_GeneProduct	APOE [extracellular region], APOE [early endosome]	CHEST [extracellular region], CHEST [early endosome]		*	*	*		*	Complex	Complex	SameComplex	output_output		Solid					*	*		
17002_P02651	R-RNO-2187332, R-RNO-2395764, R-RNO-2395768, R-RNO-2395784, R-RNO-2404131, R-RNO-2423785	input	input	P02651	17002	R-RNO-2187332, R-RNO-2395764, R-RNO-2395768, R-RNO-2395784, R-RNO-2404131, R-RNO-2423785	Metabolite_GeneProduct	Apoa4 [cytosol], Apoa4 [extracellular region]	CHEST [cytosol], CHEST [extracellular region]		*	*	*		*	Complex	Complex	SameComplex	input_input		Solid					*	*		
17002_P04638	R-RNO-2187332, R-RNO-2395764, R-RNO-2395768, R-RNO-2395784, R-RNO-2404131, R-RNO-2423785	input	input	P04638	17002	R-RNO-2187332, R-RNO-2395764, R-RNO-2395768, R-RNO-2395784, R-RNO-2404131, R-RNO-2423785	Metabolite_GeneProduct	Apoa2 [cytosol], Apoa2 [extracellular region]	CHEST [cytosol], CHEST [extracellular region]		*	*	*		*	Complex	Complex	SameComplex	input_input		Solid					*	*		
17002_P04639	R-RNO-2187332, R-RNO-2395764, R-RNO-2395768, R-RNO-2395784, R-RNO-2404131, R-RNO-2423785	input	input	P04639	17002	R-RNO-2187332, R-RNO-2395764, R-RNO-2395768, R-RNO-2395784, R-RNO-2404131, R-RNO-2423785	Metabolite_GeneProduct	Apoa1 [cytosol], Apoa1 [extracellular region]	CHEST [cytosol], CHEST [extracellular region]	*	*	*	*	*	*	Complex	Complex	SameComplex	input_input		Solid	*				*	*		
17002_P06759	R-RNO-2395768, R-RNO-2395784, R-RNO-2404131, R-RNO-2423785, R-RNO-2395768, R-RNO-2395784, R-RNO-2423785	input	output	P06759	17002	R-RNO-2395768, R-RNO-2395784, R-RNO-2404131, R-RNO-2423785	Metabolite_GeneProduct	Apoc3 [extracellular region]	CHEST [extracellular region], CHEST [early endosome]	*	*	*	*	*	*	Complex	Complex	SameComplex	input_output		Solid					*	*		
17002_P13265	R-RNO-2404131	input	input	P13265	17002	R-RNO-2404131	Metabolite_GeneProduct	Gpc3 [plasma membrane]	CHEST [extracellular region]		*	*	*		*	Complex	Complex	SameComplex	input_input		Solid					*	*		
17002_P25304	R-RNO-2404131	input	input	P25304	17002	R-RNO-2404131	Metabolite_GeneProduct	HS(1)-AGRN [plasma membrane], HS(2)-AGRN [plasma membrane], HS(3)-AGRN [plasma membrane], HS(4)-AGRN [plasma membrane], HS(5)-AGRN [plasma membrane], HS(6)-AGRN [plasma membrane]	CHEST [extracellular region]		*	*	*		*	Complex	Complex	SameComplex	input_input		Solid					*	*		
17002_P26260	R-RNO-2404131	input	input	P26260	17002	R-RNO-2404131	Metabolite_GeneProduct	Sdc1 [plasma membrane]	CHEST [extracellular region]	*	*	*	*	*	*	Complex	Complex	SameComplex	input_input		Solid					*	*		
17002_P33671	R-RNO-2404131	input	input	P33671	17002	R-RNO-2404131	Metabolite_GeneProduct	Sdc3 [plasma membrane]	CHEST [extracellular region]		*	*	*		*	Complex	Complex	SameComplex	input_input		Solid					*	*		
17002_P34900	R-RNO-2404131	input	input	P34900	17002	R-RNO-2404131	Metabolite_GeneProduct	Sdc2 [plasma membrane]	CHEST [extracellular region]		*	*	*		*	Complex	Complex	SameComplex	input_input		Solid					*	*		
17002_P34901	R-RNO-2404131	input	input	P34901	17002	R-RNO-2404131	Metabolite_GeneProduct	Sdc4 [plasma membrane]	CHEST [extracellular region]		*	*	*		*	Complex	Complex	SameComplex	input_input		Solid					*	*		
17002_P35053	R-RNO-2404131	input	input	P35053	17002	R-RNO-2404131	Metabolite_GeneProduct	Gpc1 [plasma membrane]	CHEST [extracellular region]		*	*	*		*	Complex	Complex	SameComplex	input_input		Solid					*	*		
17002_P51653	R-RNO-2404131	input	input	P51653	17002	R-RNO-2404131	Metabolite_GeneProduct	Gpc2 [plasma membrane]	CHEST [extracellular region]		*	*	*		*	Complex	Complex	SameComplex	input_input		Solid					*	*		
17002_P98158	R-RNO-2404131	input	catalyst	17002	P98158	R-RNO-2404131	Metabolite_GeneProduct	CHEST [extracellular region]	LRP2 [plasma membrane]	*		*	*	*		Complex	CandidateSet	Enzyme or transporter	input_catalyst		Solid					*	*		
17002_Q06000	R-RNO-2395768	input	catalyst	17002	Q06000	R-RNO-2395768	Metabolite_GeneProduct	CHEST [extracellular region]	LPL [extracellular region]	*		*	*	*		Complex	Complex	Enzyme or transporter	input_catalyst		Solid					*	*		
17002_Q5M875	R-RNO-8862380	input	input	Q5M875	17002	R-RNO-8862380	Metabolite_GeneProduct	HSD17B13 [cytosol]	CHEST [lipid droplet]		*	*	*		*	EntityWithAccessionedSequence	Complex	SameComplex	input_input		Solid					*	*		
17002_Q5XI33	R-RNO-8856630	input	input	Q5XI33	17002	R-RNO-8856630	Metabolite_GeneProduct	Cidec [cytosol]	CHEST [lipid droplet]		*	*	*		*	Complex	Complex	SameComplex	input_input		Solid					*	*		
17002_Q642B0	R-RNO-2404131	input	input	Q642B0	17002	R-RNO-2404131	Metabolite_GeneProduct	Gpc4 [plasma membrane]	CHEST [extracellular region]		*	*	*		*	Complex	Complex	SameComplex	input_input		Solid					*	*		
17002_Q7TMA5	R-RNO-2187332, R-RNO-2395764, R-RNO-2395768, R-RNO-2395784, R-RNO-2404131, R-RNO-2423785	input	input	Q7TMA5	17002	R-RNO-2187332, R-RNO-2395764, R-RNO-2395768, R-RNO-2395784, R-RNO-2404131, R-RNO-2423785	Metabolite_GeneProduct	Apob [cytosol], Apob [extracellular region]	CHEST [cytosol], CHEST [extracellular region]		*	*	*		*	Complex	Complex	SameComplex	input_input		Solid					*	*		
17154_D4A605	R-RNO-5359451	input	catalyst	17154	D4A605	R-RNO-5359451	Metabolite_GeneProduct	NAM [cytosol]	Nnmt [cytosol]	*	*	*	*	*	*	SimpleEntity	EntityWithAccessionedSequence	Enzyme or transporter	input_catalyst	Substrate-Enzyme	Solid					*	*	*	*
17154_P08461	R-RNO-9861626	output	output	17154	P08461	R-RNO-9861626	Metabolite_GeneProduct	NAM [mitochondrial matrix]	DLAT [mitochondrial matrix]	*		*	*	*		SimpleEntity	EntityWithAccessionedSequence	SameComplex	output_output		Solid						*	*	
17154_P56574	R-RNO-9854463	output	output	17154	P56574	R-RNO-9854463	Metabolite_GeneProduct	NAM [mitochondrial matrix]	IDH2 [mitochondrial matrix]	*		*	*	*		SimpleEntity	Complex	SameComplex	output_output		Solid						*	*	
17172_17256	R-RNO-109387	output	output	17256	17172	R-RNO-109387	Metabolite_Metabolite	dA [cytosol]	dG [cytosol]	*		*	*	*		DefinedSet	DefinedSet	SameComplex	output_output		Solid	*	*						
17172_17596	R-RNO-109387, R-RNO-109470, R-RNO-74248	output	output	17172	17596	R-RNO-109387, R-RNO-109470, R-RNO-74248	Metabolite_Metabolite	dG [cytosol]	Ino [cytosol]		*	*	*		*	DefinedSet	DefinedSet	SameComplex	output_output		Solid	*	*	*	*		*		*
17256_17596	R-RNO-74241, R-RNO-109278, R-RNO-109387	input	output	17256	17596	R-RNO-74241	Metabolite_Metabolite	dA [cytosol]	Ino [cytosol]	*	*	*	*	*	*	DefinedSet	DefinedSet	Metabolic Transformation	input_output		Solid	*	*	*	*		*		*
