type1	type2	mappingID1	mappingID2	Reaction ID	Relationship	pair1	pair2	SeedNode1	SeedNode2	detectedPair1	detectedPair2	SigNode1	SigNode2	sorted_pairs	EdgeColor	EdgeLine	8_diff	7_diff	6_diff	5_diff	4_diff	3_diff	2_diff	1_diff
input	catalyst	C03595	Acaa2	R08182	Metabolite_GeneProduct	8,11,14-Eicosatrienoyl-CoA	Acaa2		*		*		*	Acaa2_C03595	Enzyme	Dashed					*			
output	catalyst	C05259	Acaa2	R03991	Metabolite_GeneProduct	3-Oxopalmitoyl-CoA	Acaa2		*		*		*	Acaa2_C05259	Enzyme	Dashed					*			
output	catalyst	C05261	Acaa2	R03858	Metabolite_GeneProduct	3-Oxotetradecanoyl-CoA	Acaa2		*		*		*	Acaa2_C05261	Enzyme	Dashed					*			
output	catalyst	C05263	Acaa2	R04742	Metabolite_GeneProduct	3-Oxododecanoyl-CoA	Acaa2		*		*		*	Acaa2_C05263	Enzyme	Dashed					*			
output	catalyst	C05265	Acaa2	R03778	Metabolite_GeneProduct	3-Oxodecanoyl-CoA	Acaa2		*		*		*	Acaa2_C05265	Enzyme	Dashed					*			
output	catalyst	C05267	Acaa2	R04747	Metabolite_GeneProduct	3-Oxooctanoyl-CoA	Acaa2		*		*		*	Acaa2_C05267	Enzyme	Dashed					*			
output	catalyst	C05269	Acaa2	R01177	Metabolite_GeneProduct	3-Oxohexanoyl-CoA	Acaa2		*		*		*	Acaa2_C05269	Enzyme	Dashed					*			
input	catalyst	C05270	Acaa2	R04747	Metabolite_GeneProduct	Hexanoyl-CoA	Acaa2	*	*	*	*	*	*	Acaa2_C05270	Enzyme	Solid				*	*			
input	catalyst	C05274	Acaa2	R04742	Metabolite_GeneProduct	Decanoyl-CoA	Acaa2		*		*		*	Acaa2_C05274	Enzyme	Dashed					*			
output	catalyst	C06425	Acaa2	R08175	Metabolite_GeneProduct	Icosanoic acid	Acaa2		*	*	*		*	Acaa2_C06425	Enzyme	Solid					*			
output	catalyst	C06426	Acaa2	R08181	Metabolite_GeneProduct	(6Z,9Z,12Z)-Octadecatrienoic acid	Acaa2		*		*		*	Acaa2_C06426	Enzyme	Dashed					*			
output	catalyst	C06427	Acaa2	R08178	Metabolite_GeneProduct	(9Z,12Z,15Z)-Octadecatrienoic acid	Acaa2		*		*		*	Acaa2_C06427	Enzyme	Dashed					*			
output	catalyst	C06428	Acaa2	R08179	Metabolite_GeneProduct	(5Z,8Z,11Z,14Z,17Z)-Icosapentaenoic acid	Acaa2		*		*		*	Acaa2_C06428	Enzyme	Dashed					*			
output	catalyst	C06429	Acaa2	R08180	Metabolite_GeneProduct	(4Z,7Z,10Z,13Z,16Z,19Z)-Docosahexaenoic acid	Acaa2		*		*		*	Acaa2_C06429	Enzyme	Dashed					*			
input	catalyst	C06715	Acaa2	R05586	Metabolite_GeneProduct	3-Oxopimeloyl-CoA	Acaa2		*		*		*	Acaa2_C06715	Enzyme	Dashed					*			
input	catalyst	C16162	Acaa2	R08178	Metabolite_GeneProduct	(9Z,12Z,15Z)-Octadecatrienoyl-CoA	Acaa2		*		*		*	Acaa2_C16162	Enzyme	Dashed					*			
input	catalyst	C16165	Acaa2	R08179	Metabolite_GeneProduct	(5Z,8Z,11Z,14Z,17Z)-Icosapentaenoyl-CoA	Acaa2		*		*		*	Acaa2_C16165	Enzyme	Dashed					*			
input	catalyst	C16169	Acaa2	R07937, R08180	Metabolite_GeneProduct	(4Z,7Z,10Z,13Z,16Z,19Z)-Docosahexaenoyl-CoA	Acaa2		*		*		*	Acaa2_C16169	Enzyme	Dashed					*			
input	catalyst	C16173	Acaa2	R07953	Metabolite_GeneProduct	(4Z,7Z,10Z,13Z,16Z)-Docosapentaenoyl-CoA	Acaa2		*		*		*	Acaa2_C16173	Enzyme	Dashed					*			
output	catalyst	C16330	Acaa2	R07891	Metabolite_GeneProduct	3-Oxo-OPC8-CoA	Acaa2		*		*		*	Acaa2_C16330	Enzyme	Dashed					*			
input	catalyst	C16331	Acaa2	R07891	Metabolite_GeneProduct	OPC6-CoA	Acaa2		*		*		*	Acaa2_C16331	Enzyme	Dashed					*			
output	catalyst	C16334	Acaa2	R07895	Metabolite_GeneProduct	3-Oxo-OPC6-CoA	Acaa2		*		*		*	Acaa2_C16334	Enzyme	Dashed					*			
input	catalyst	C16335	Acaa2	R07895	Metabolite_GeneProduct	OPC4-CoA	Acaa2		*		*		*	Acaa2_C16335	Enzyme	Dashed					*			
output	catalyst	C16338	Acaa2	R07899	Metabolite_GeneProduct	3-Oxo-OPC4-CoA	Acaa2		*		*		*	Acaa2_C16338	Enzyme	Dashed					*			
input	catalyst	C16339	Acaa2	R07899	Metabolite_GeneProduct	(+)-7-Isojasmonic acid CoA	Acaa2		*		*		*	Acaa2_C16339	Enzyme	Dashed					*			
output	catalyst	C16470	Acaa2	R08091	Metabolite_GeneProduct	5-Methylhex-4-enoyl-CoA	Acaa2		*		*		*	Acaa2_C16470	Enzyme	Dashed					*			
input	catalyst	C16471	Acaa2	R08095	Metabolite_GeneProduct	5-Methyl-3-oxo-4-hexenoyl-CoA	Acaa2		*		*		*	Acaa2_C16471	Enzyme	Dashed					*			
input	catalyst	C00016	Acadm	R01175, R01279, R03777, R03857, R03990, R04095, R04751, R04754	Metabolite_GeneProduct	FAD	Acadm	*		*	*	*		Acadm_C00016	Enzyme	Solid					*			
input	catalyst	C05270	Acadm	R04751	Metabolite_GeneProduct	Hexanoyl-CoA	Acadm	*		*	*	*		Acadm_C05270	Enzyme	Solid				*				
input	catalyst	C00016	Acads	R01175, R04751	Metabolite_GeneProduct	FAD	Acads	*		*	*	*		Acads_C00016	Enzyme	Solid					*			
input	catalyst	C05270	Acads	R04751	Metabolite_GeneProduct	Hexanoyl-CoA	Acads	*		*	*	*		Acads_C05270	Enzyme	Solid				*				
input	catalyst	C00016	Acadsb	R04751	Metabolite_GeneProduct	FAD	Acadsb	*		*	*	*		Acadsb_C00016	Enzyme	Solid					*			
input	catalyst	C05270	Acadsb	R04751	Metabolite_GeneProduct	Hexanoyl-CoA	Acadsb	*		*	*	*		Acadsb_C05270	Enzyme	Solid				*				
output	catalyst	C00010	Acat2	R00238, R00927, R01177	Metabolite_GeneProduct	CoA	Acat2	*	*	*	*	*	*	Acat2_C00010	Enzyme	Solid				*	*		*	
input	catalyst	C00024	Acat2	R00238, R00927, R01177	Metabolite_GeneProduct	Acetyl-CoA	Acat2		*	*	*		*	Acat2_C00024	Enzyme	Solid					*		*	
input	catalyst	C00100	Acat2	R00927	Metabolite_GeneProduct	Propanoyl-CoA	Acat2		*		*		*	Acat2_C00100	Enzyme	Dashed					*		*	
input	catalyst	C00136	Acat2	R01177	Metabolite_GeneProduct	Butanoyl-CoA	Acat2		*		*		*	Acat2_C00136	Enzyme	Dashed					*		*	
output	catalyst	C00332	Acat2	R00238	Metabolite_GeneProduct	Acetoacetyl-CoA	Acat2		*		*		*	Acat2_C00332	Enzyme	Dashed					*		*	
output	catalyst	C03344	Acat2	R00927	Metabolite_GeneProduct	2-Methylacetoacetyl-CoA	Acat2		*		*		*	Acat2_C03344	Enzyme	Dashed					*		*	
output	catalyst	C05269	Acat2	R01177	Metabolite_GeneProduct	3-Oxohexanoyl-CoA	Acat2		*		*		*	Acat2_C05269	Enzyme	Dashed					*		*	
output	catalyst	C00114	Ache	R01026	Metabolite_GeneProduct	Choline	Ache	*		*	*	*		Ache_C00114	Enzyme	Solid	*	*			*			
input	catalyst	C01996	Ache	R01026	Metabolite_GeneProduct	Acetylcholine	Ache	*		*	*	*		Ache_C01996	Enzyme	Solid								*
input	catalyst	C00002	Acly	R00352	Metabolite_GeneProduct	ATP	Acly		*	*	*		*	Acly_C00002	Enzyme	Solid					*			
output	catalyst	C00008	Acly	R00352	Metabolite_GeneProduct	ADP	Acly		*	*	*		*	Acly_C00008	Enzyme	Solid					*			
output	catalyst	C00009	Acly	R00352	Metabolite_GeneProduct	Orthophosphate	Acly		*		*		*	Acly_C00009	Enzyme	Dashed					*			
input	catalyst	C00010	Acly	R00352	Metabolite_GeneProduct	CoA	Acly	*	*	*	*	*	*	Acly_C00010	Enzyme	Solid				*	*			
output	catalyst	C00024	Acly	R00352	Metabolite_GeneProduct	Acetyl-CoA	Acly		*	*	*		*	Acly_C00024	Enzyme	Solid					*			
output	catalyst	C00036	Acly	R00352	Metabolite_GeneProduct	Oxaloacetate	Acly		*		*		*	Acly_C00036	Enzyme	Dashed					*			
input	catalyst	C00158	Acly	R00352	Metabolite_GeneProduct	Citrate	Acly		*	*	*		*	Acly_C00158	Enzyme	Solid					*			
input	catalyst	C00010	Acnat1	R03974	Metabolite_GeneProduct	CoA	Acnat1	*		*	*	*		Acnat1_C00010	Enzyme	Solid				*				
input	catalyst	C02528	Acnat1	R03974	Metabolite_GeneProduct	Chenodeoxycholate	Acnat1	*		*	*	*		Acnat1_C02528	Enzyme	Solid					*	*		
input	catalyst	C00010	Acnat2	R03974	Metabolite_GeneProduct	CoA	Acnat2	*		*	*	*		Acnat2_C00010	Enzyme	Solid				*				
input	catalyst	C02528	Acnat2	R03974	Metabolite_GeneProduct	Chenodeoxycholate	Acnat2	*		*	*	*		Acnat2_C02528	Enzyme	Solid					*	*		
input	catalyst	C00311	Aco1	R01900	Metabolite_GeneProduct	Isocitrate	Aco1	*		*	*	*		Aco1_C00311	Enzyme	Solid		*	*	*			*	*
output	catalyst	C00417	Aco1	R01325, R01900	Metabolite_GeneProduct	cis-Aconitate	Aco1	*		*	*	*		Aco1_C00417	Enzyme	Solid			*	*			*	
input	catalyst	C00311	Aco2	R01900	Metabolite_GeneProduct	Isocitrate	Aco2	*		*	*	*		Aco2_C00311	Enzyme	Solid		*	*	*			*	*
output	catalyst	C00417	Aco2	R01325, R01900	Metabolite_GeneProduct	cis-Aconitate	Aco2	*		*	*	*		Aco2_C00417	Enzyme	Solid			*	*			*	
output	catalyst	C00010	Acot7	R01274, R08174, R08175, R08176, R08177, R08178, R08179, R08180, R08181, R08182, R08183, R09450	Metabolite_GeneProduct	CoA	Acot7	*	*	*	*	*	*	Acot7_C00010	Enzyme	Solid				*	*			
input	catalyst	C00154	Acot7	R01274	Metabolite_GeneProduct	Palmitoyl-CoA	Acot7		*		*		*	Acot7_C00154	Enzyme	Dashed					*			
output	catalyst	C00219	Acot7	R08183	Metabolite_GeneProduct	Arachidonate	Acot7		*		*		*	Acot7_C00219	Enzyme	Dashed					*			
output	catalyst	C00249	Acot7	R01274	Metabolite_GeneProduct	Hexadecanoic acid	Acot7		*	*	*		*	Acot7_C00249	Enzyme	Solid					*			
input	catalyst	C00412	Acot7	R08174	Metabolite_GeneProduct	Stearoyl-CoA	Acot7		*		*		*	Acot7_C00412	Enzyme	Dashed					*			
input	catalyst	C00510	Acot7	R08176	Metabolite_GeneProduct	Oleoyl-CoA	Acot7		*		*		*	Acot7_C00510	Enzyme	Dashed					*			
output	catalyst	C00638	Acot7	R09450	Metabolite_GeneProduct	Long-chain fatty acid	Acot7		*		*		*	Acot7_C00638	Enzyme	Dashed					*			
output	catalyst	C00712	Acot7	R08176	Metabolite_GeneProduct	(9Z)-Octadecenoic acid	Acot7		*	*	*		*	Acot7_C00712	Enzyme	Solid					*			
output	catalyst	C01530	Acot7	R08174	Metabolite_GeneProduct	Octadecanoic acid	Acot7		*	*	*		*	Acot7_C01530	Enzyme	Solid					*			
output	catalyst	C01595	Acot7	R08177	Metabolite_GeneProduct	Linoleate	Acot7		*		*		*	Acot7_C01595	Enzyme	Dashed					*			
input	catalyst	C02041	Acot7	R08175	Metabolite_GeneProduct	Eicosanoyl-CoA	Acot7		*	*	*		*	Acot7_C02041	Enzyme	Solid					*			
input	catalyst	C02050	Acot7	R08177	Metabolite_GeneProduct	Linoleoyl-CoA	Acot7		*		*		*	Acot7_C02050	Enzyme	Dashed					*			
input	catalyst	C02249	Acot7	R08183	Metabolite_GeneProduct	Arachidonyl-CoA	Acot7		*		*		*	Acot7_C02249	Enzyme	Dashed					*			
input	catalyst	C02843	Acot7	R09450	Metabolite_GeneProduct	Long-chain acyl-CoA	Acot7		*		*		*	Acot7_C02843	Enzyme	Dashed					*			
input	catalyst	C03035	Acot7	R08181	Metabolite_GeneProduct	gamma-Linolenoyl-CoA	Acot7		*		*		*	Acot7_C03035	Enzyme	Dashed					*			
output	catalyst	C03242	Acot7	R08182	Metabolite_GeneProduct	Dihomo-gamma-linolenate	Acot7		*		*		*	Acot7_C03242	Enzyme	Dashed					*			
input	catalyst	C03595	Acot7	R08182	Metabolite_GeneProduct	8,11,14-Eicosatrienoyl-CoA	Acot7		*		*		*	Acot7_C03595	Enzyme	Dashed					*			
output	catalyst	C06425	Acot7	R08175	Metabolite_GeneProduct	Icosanoic acid	Acot7		*	*	*		*	Acot7_C06425	Enzyme	Solid					*			
output	catalyst	C06426	Acot7	R08181	Metabolite_GeneProduct	(6Z,9Z,12Z)-Octadecatrienoic acid	Acot7		*		*		*	Acot7_C06426	Enzyme	Dashed					*			
output	catalyst	C06427	Acot7	R08178	Metabolite_GeneProduct	(9Z,12Z,15Z)-Octadecatrienoic acid	Acot7		*		*		*	Acot7_C06427	Enzyme	Dashed					*			
output	catalyst	C06428	Acot7	R08179	Metabolite_GeneProduct	(5Z,8Z,11Z,14Z,17Z)-Icosapentaenoic acid	Acot7		*		*		*	Acot7_C06428	Enzyme	Dashed					*			
output	catalyst	C06429	Acot7	R08180	Metabolite_GeneProduct	(4Z,7Z,10Z,13Z,16Z,19Z)-Docosahexaenoic acid	Acot7		*		*		*	Acot7_C06429	Enzyme	Dashed					*			
input	catalyst	C16162	Acot7	R08178	Metabolite_GeneProduct	(9Z,12Z,15Z)-Octadecatrienoyl-CoA	Acot7		*		*		*	Acot7_C16162	Enzyme	Dashed					*			
input	catalyst	C16165	Acot7	R08179	Metabolite_GeneProduct	(5Z,8Z,11Z,14Z,17Z)-Icosapentaenoyl-CoA	Acot7		*		*		*	Acot7_C16165	Enzyme	Dashed					*			
input	catalyst	C16169	Acot7	R08180	Metabolite_GeneProduct	(4Z,7Z,10Z,13Z,16Z,19Z)-Docosahexaenoyl-CoA	Acot7		*		*		*	Acot7_C16169	Enzyme	Dashed					*			
input	catalyst	C00010	Acot8	R03974	Metabolite_GeneProduct	CoA	Acot8	*		*	*	*		Acot8_C00010	Enzyme	Solid				*				
output	catalyst	C00042	Acot8	R00407	Metabolite_GeneProduct	Succinate	Acot8	*		*	*	*		Acot8_C00042	Enzyme	Solid							*	
input	catalyst	C02528	Acot8	R03974	Metabolite_GeneProduct	Chenodeoxycholate	Acot8	*		*	*	*		Acot8_C02528	Enzyme	Solid					*	*		
input	catalyst	C00016	Acox1	R01175, R01279, R03777, R03857, R03990, R04751, R04754, R07888, R07892, R07896	Metabolite_GeneProduct	FAD	Acox1	*		*	*	*		Acox1_C00016	Enzyme	Solid					*			
input	catalyst	C05270	Acox1	R04751	Metabolite_GeneProduct	Hexanoyl-CoA	Acox1	*		*	*	*		Acox1_C05270	Enzyme	Solid				*				
input	catalyst	C00016	Acox3	R01175, R01279, R03777, R03857, R03990, R04751, R04754, R07888, R07892, R07896	Metabolite_GeneProduct	FAD	Acox3	*	*	*	*	*	*	Acox3_C00016	Enzyme	Solid	*			*	*			
output	catalyst	C00027	Acox3	R00388, R07934, R07950, R12356	Metabolite_GeneProduct	Hydrogen peroxide	Acox3		*		*		*	Acox3_C00027	Enzyme	Dashed	*			*	*			
input	catalyst	C00040	Acox3	R00388	Metabolite_GeneProduct	Acyl-CoA	Acox3		*		*		*	Acox3_C00040	Enzyme	Dashed	*			*	*			
input	catalyst	C00100	Acox3	R12356	Metabolite_GeneProduct	Propanoyl-CoA	Acox3		*		*		*	Acox3_C00100	Enzyme	Dashed	*			*	*			
input	catalyst	C00136	Acox3	R01175	Metabolite_GeneProduct	Butanoyl-CoA	Acox3		*		*		*	Acox3_C00136	Enzyme	Dashed	*			*	*			
input	catalyst	C00154	Acox3	R01279	Metabolite_GeneProduct	Palmitoyl-CoA	Acox3		*		*		*	Acox3_C00154	Enzyme	Dashed	*			*	*			
output	catalyst	C00658	Acox3	R00388	Metabolite_GeneProduct	trans-2,3-Dehydroacyl-CoA	Acox3		*		*		*	Acox3_C00658	Enzyme	Dashed	*			*	*			
output	catalyst	C00877	Acox3	R01175	Metabolite_GeneProduct	Crotonoyl-CoA	Acox3		*		*		*	Acox3_C00877	Enzyme	Dashed	*			*	*			
output	catalyst	C00894	Acox3	R12356	Metabolite_GeneProduct	Propenoyl-CoA	Acox3		*		*		*	Acox3_C00894	Enzyme	Dashed	*			*	*			
output	catalyst	C01352	Acox3	R01175, R01279, R03777, R03857, R03990, R04751, R04754, R07888, R07892, R07896	Metabolite_GeneProduct	FADH2	Acox3		*		*		*	Acox3_C01352	Enzyme	Dashed	*			*	*			
input	catalyst	C01832	Acox3	R03857	Metabolite_GeneProduct	Lauroyl-CoA	Acox3		*		*		*	Acox3_C01832	Enzyme	Dashed	*			*	*			
input	catalyst	C01944	Acox3	R03777	Metabolite_GeneProduct	Octanoyl-CoA	Acox3		*		*		*	Acox3_C01944	Enzyme	Dashed	*			*	*			
input	catalyst	C02593	Acox3	R03990	Metabolite_GeneProduct	Tetradecanoyl-CoA	Acox3		*		*		*	Acox3_C02593	Enzyme	Dashed	*			*	*			
output	catalyst	C03221	Acox3	R03857	Metabolite_GeneProduct	2-trans-Dodecenoyl-CoA	Acox3		*		*		*	Acox3_C03221	Enzyme	Dashed	*			*	*			
input	catalyst	C05270	Acox3	R04751	Metabolite_GeneProduct	Hexanoyl-CoA	Acox3	*	*	*	*	*	*	Acox3_C05270	Enzyme	Solid	*			*	*			
output	catalyst	C05271	Acox3	R04751	Metabolite_GeneProduct	trans-Hex-2-enoyl-CoA	Acox3		*		*		*	Acox3_C05271	Enzyme	Dashed	*			*	*			
output	catalyst	C05272	Acox3	R01279	Metabolite_GeneProduct	trans-Hexadec-2-enoyl-CoA	Acox3		*		*		*	Acox3_C05272	Enzyme	Dashed	*			*	*			
output	catalyst	C05273	Acox3	R03990	Metabolite_GeneProduct	trans-Tetradec-2-enoyl-CoA	Acox3		*		*		*	Acox3_C05273	Enzyme	Dashed	*			*	*			
input	catalyst	C05274	Acox3	R04754	Metabolite_GeneProduct	Decanoyl-CoA	Acox3		*		*		*	Acox3_C05274	Enzyme	Dashed	*			*	*			
