sorted_pairs	mappingID1	mappingID2	detectedPair1	detectedPair2	EdgeColor	EdgeLine	8_diff	7_diff	6_diff	5_diff	4_diff	3_diff	2_diff	1_diff	source	Label1	Label2
100_342	100	342	*	*	SameComplex	Solid	*				*				Reactome	Apoa1	Gas6
100_410	100	410	*	*	SameComplex	Solid	*				*				Reactome	Apoa1	Golm1
100_418	418	100	*	*	SameComplex	Solid	*				*				Reactome	Gpc1	Apoa1
100_419	419	100	*	*	SameComplex	Solid	*				*				Reactome	Gpc2	Apoa1
100_420	420	100	*	*	SameComplex	Solid	*				*				Reactome	Gpc3	Apoa1
100_421	421	100	*	*	SameComplex	Solid	*				*				Reactome	Gpc4	Apoa1
100_422	422	100		*	SameComplex	Dashed	*				*				Reactome	Gpc5	Apoa1
100_423	423	100	*	*	SameComplex	Solid	*				*				Reactome	Gpc6	Apoa1
100_428	100	428	*		Others	Dashed	*				*				Reactome	Apoa1	Gpihbp1
100_473	100	473	*	*	SameComplex	Solid	*				*				Reactome	Apoa1	Hrc
100_485	100	485	*	*	SameComplex	Solid	*				*				Reactome	Apoa1	Hsp90b1
100_488	100	488	*	*	SameComplex	Solid	*				*				Reactome	Apoa1	Igfbp1
100_489	100	489	*	*	SameComplex	Solid	*				*				Reactome	Apoa1	Igfbp3
100_490	100	490	*	*	SameComplex	Solid	*				*				Reactome	Apoa1	Igfbp4
100_491	100	491	*	*	SameComplex	Solid	*				*				Reactome	Apoa1	Igfbp5
100_492	100	492	*	*	SameComplex	Solid	*				*				Reactome	Apoa1	Igfbp7
100_494	100	494	*		SameComplex	Dashed	*				*				Reactome	Apoa1	Il6
100_497	100	497	*	*	SameComplex	Solid	*				*				Reactome	Apoa1	Itih2
100_501	100	501	*		SameComplex	Dashed	*				*				Reactome	Apoa1	Kng1
100_502	100	502	*	*	SameComplex	Solid	*				*				Reactome	Apoa1	Ktn1
100_506	100	506	*	*	SameComplex	Solid	*				*				Reactome	Apoa1	LOC100911486
100_507	100	507	*	*	SameComplex	Solid	*				*				Reactome	Apoa1	LOC100911615
100_508	100	508	*	*	SameComplex	Solid	*				*	*	*		Reactome	Apoa1	LOC103689965
100_509	100	509	*		SameComplex	Dashed	*				*				Reactome	Apoa1	LOC120093819
100_518	100	518	*	*	SameComplex	Solid	*	*			*				Reactome	Apoa1	Lgals1
100_533	100	533	*	*	Others	Solid	*				*				Reactome	Apoa1	Lpl
100_535	100	535	*	*	Others	Solid	*				*				Reactome	Apoa1	Lrp1
100_536	100	536	*	*	Others	Solid	*				*				Reactome	Apoa1	Lrp10
100_537	100	537	*	*	Others	Solid	*				*				Reactome	Apoa1	Lrp12
100_538	100	538	*	*	Others	Solid	*				*				Reactome	Apoa1	Lrp2
100_539	100	539	*	*	Others	Solid	*				*				Reactome	Apoa1	Lrp8
100_540	100	540	*	*	SameComplex	Solid	*				*				Reactome	Apoa1	Ltbp1
100_544	100	544	*		SameComplex	Dashed	*				*				Reactome	Apoa1	MELTF
100_546	100	546	*		SameComplex	Dashed	*				*				Reactome	Apoa1	Matn3
100_550	100	550	*	*	SameComplex	Solid	*				*				Reactome	Apoa1	Mbtps1
100_554	100	554	*	*	SameComplex	Solid	*				*				Reactome	Apoa1	Men1
100_555	100	555	*		SameComplex	Dashed	*				*				Reactome	Apoa1	Mepe
100_556	100	556	*	*	SameComplex	Solid	*				*				Reactome	Apoa1	Mfge8
100_557	100	557	*	*	SameComplex	Solid	*				*				Reactome	Apoa1	Mgat4a
100_561	100	561	*	*	SameComplex	Solid	*				*				Reactome	Apoa1	Msln
100_570	100	570	*	*	SameComplex	Solid	*				*				Reactome	Apoa1	Mxra8
100_601	100	601	*	*	SameComplex	Solid	*				*				Reactome	Apoa1	Notum
100_611	100	611	*	*	SameComplex	Solid	*				*				Reactome	Apoa1	Nucb1
100_620	100	620	*	*	SameComplex	Solid	*				*				Reactome	Apoa1	P4hb
100_628	100	628	*	*	SameComplex	Solid	*	*			*				Reactome	Apoa1	Pcsk9
100_637	100	637	*	*	SameComplex	Solid	*				*				Reactome	Apoa1	Pdia6
100_640	100	640	*		SameComplex	Dashed	*				*				Reactome	Apoa1	Penk
100_774	100	774	*	*	SameComplex	Solid	*				*				Reactome	Apoa1	Prkcsh
100_775	100	775	*	*	SameComplex	Solid	*				*				Reactome	Apoa1	Proc
100_778	100	778	*	*	SameComplex	Solid	*				*				Reactome	Apoa1	Prss23
100_787	100	787	*	*	SameComplex	Solid	*				*				Reactome	Apoa1	Qsox1
100_789	100	789	*	*	SameComplex	Solid	*				*				Reactome	Apoa1	RGD1309808
100_817	100	817	*	*	SameComplex	Solid	*				*				Reactome	Apoa1	Rcn1
100_844	100	844	*		SameComplex	Dashed	*				*				Reactome	Apoa1	Scg2
100_845	100	845	*		SameComplex	Dashed	*				*				Reactome	Apoa1	Scg3
100_848	848	100	*	*	SameComplex	Solid	*				*				Reactome	Sdc1	Apoa1
100_849	849	100	*	*	SameComplex	Solid	*				*				Reactome	Sdc2	Apoa1
100_850	850	100	*	*	SameComplex	Solid	*				*				Reactome	Sdc3	Apoa1
100_851	851	100	*	*	SameComplex	Solid	*				*				Reactome	Sdc4	Apoa1
100_858	100	858	*	*	SameComplex	Solid	*				*				Reactome	Apoa1	Serpina1
100_859	100	859	*	*	SameComplex	Solid	*				*				Reactome	Apoa1	Serpina10
100_860	100	860	*	*	SameComplex	Solid	*				*				Reactome	Apoa1	Serpinc1
100_861	100	861	*	*	SameComplex	Solid	*				*				Reactome	Apoa1	Serpind1
100_895	100	895	*	*	SameComplex	Solid	*				*				Reactome	Apoa1	Sparcl1
100_896	100	896	*	*	SameComplex	Solid	*				*				Reactome	Apoa1	Spp1
100_897	100	897	*	*	SameComplex	Solid	*				*				Reactome	Apoa1	Spp2
100_902	100	902	*	*	SameComplex	Solid	*				*				Reactome	Apoa1	Stc2
100_912	100	912	*	*	SameComplex	Solid	*				*				Reactome	Apoa1	Tf
100_915	100	915	*	*	SameComplex	Solid	*				*				Reactome	Apoa1	Tgoln2
100_918	100	918	*	*	SameComplex	Solid	*				*				Reactome	Apoa1	Timp1
100_921	100	921	*	*	SameComplex	Solid	*				*				Reactome	Apoa1	Tmem132a
100_923	100	923	*	*	SameComplex	Solid	*				*				Reactome	Apoa1	Tnc
100_955	100	955	*	*	SameComplex	Solid	*				*				Reactome	Apoa1	Vcan
100_956	100	956	*		SameComplex	Dashed	*				*				Reactome	Apoa1	Vgf
100_957	100	957	*	*	SameComplex	Solid	*				*				Reactome	Apoa1	Vwa1
100_958	100	958	*	*	SameComplex	Solid	*				*				Reactome	Apoa1	Wfs1
100_964	100	964	*	*	SameComplex	Solid	*				*	*			Reactome	Apoa1	CE(18:1)_feature1
100_980	980	100	*	*	Enzyme	Solid	*				*	*			Reactome, HMDB	TG(58:7)>TG(18:0_18:1_22:6)_M+NH3_feature3	Apoa1
1014_1388	1388	1014	*		Metabolic Transformation	Dashed				*					KEGG	coenzyme A	3alpha,7alpha-Dihydroxy-5beta-cholestanoyl-CoA
1016_1388	1388	1016	*		Metabolic Transformation	Dashed				*					KEGG	coenzyme A	5-Methylhex-4-enoyl-CoA
1018_1277	1018	1277		*	Metabolic Transformation	Dashed							*	*	KEGG	Acceptor	vitamin A
101_106	101	106	*	*	SameComplex	Solid					*				Reactome	Apoa2	Apoc3
101_848	848	101	*	*	SameComplex	Solid					*				Reactome	Sdc1	Apoa2
101_964	101	964	*	*	SameComplex	Solid					*	*			Reactome	Apoa2	CE(18:1)_feature1
101_980	980	101	*	*	SameComplex	Solid					*	*			Reactome	TG(58:7)>TG(18:0_18:1_22:6)_M+NH3_feature3	Apoa2
1022_1388	1022	1388		*	Metabolic Transformation	Dashed				*					KEGG	Acyl-carrier protein	coenzyme A
1026_1205	1205	1026	*		Metabolic Transformation	Dashed	*								KEGG	CTP	CDP-DAG
102_106	102	106	*	*	SameComplex	Solid					*				Reactome	Apoa4	Apoc3
102_848	848	102	*	*	SameComplex	Solid					*				Reactome	Sdc1	Apoa4
102_964	102	964	*	*	SameComplex	Solid					*	*			Reactome	Apoa4	CE(18:1)_feature1
102_980	980	102	*	*	SameComplex	Solid					*	*			Reactome	TG(58:7)>TG(18:0_18:1_22:6)_M+NH3_feature3	Apoa4
103_974	974	103	*	*	Unknown	Solid	*				*				HMDB	PC(36:3)_feature5	Apoa5
103_980	980	103	*	*	Unknown	Solid					*	*			HMDB	TG(58:7)>TG(18:0_18:1_22:6)_M+NH3_feature3	Apoa5
1042_1381	1042	1381		*	Metabolic Transformation	Dashed	*	*					*		KEGG	DNA	GMP
1045_1383	1045	1383		*	Metabolic Transformation	Dashed						*	*		KEGG	Enzyme N6-(lipoyl)lysine	Niacinamide
104_106	104	106	*	*	SameComplex	Solid					*				Reactome	Apob	Apoc3
104_848	848	104	*	*	SameComplex	Solid					*				Reactome	Sdc1	Apob
104_964	104	964	*	*	SameComplex	Solid					*	*			Reactome	Apob	CE(18:1)_feature1
104_980	104	980	*	*	SameComplex	Solid					*	*			Reactome	Apob	TG(58:7)>TG(18:0_18:1_22:6)_M+NH3_feature3
1051_1464	1051	1464		*	Metabolic Transformation	Dashed			*						KEGG	Ferrocytochrome b5	phytosphingosine
1052_1226	1052	1226		*	Metabolic Transformation	Dashed							*		Reactome	GA1	hexose
1054_1226	1054	1226		*	Metabolic Transformation	Dashed							*		Reactome	GM1	hexose
1055_1226	1226	1055	*		SameComplex	Dashed							*		Reactome	hexose	GM2
1058_1226	1058	1226		*	Metabolic Transformation	Dashed							*		Reactome	Gal2Cer	hexose
105_106	105	106	*	*	SameComplex	Solid					*				Reactome	Apoc2	Apoc3
105_848	848	105	*	*	SameComplex	Solid					*				Reactome	Sdc1	Apoc2
105_964	105	964	*	*	SameComplex	Solid					*	*			Reactome	Apoc2	CE(18:1)_feature1
105_980	980	105	*	*	SameComplex	Solid					*	*			Reactome	TG(58:7)>TG(18:0_18:1_22:6)_M+NH3_feature3	Apoc2
1061_1226	1226	1061	*		SameComplex	Dashed							*		Reactome	hexose	GlcNAc(S)-Gal-GlcNAc(S)-Gal
1065_1284	1065	1284		*	Metabolic Transformation	Dashed			*	*	*				KEGG	Glutaminyl-tRNA	Glutamine
1069_1219	1219	1069	*		Metabolic Transformation	Dashed			*	*					KEGG	Glutathione	Halide
106_1068	106	1068	*		Others	Dashed					*				Reactome	Apoc3	HSPG
106_107	106	107	*	*	SameComplex	Solid					*				Reactome	Apoc3	Apoe
106_1120	1120	106		*	SameComplex	Dashed					*				Reactome	PL	Apoc3
106_1164	1164	106		*	Transporter	Dashed					*				HMDB	Trierucin	Apoc3
106_1178	106	1178	*		SameComplex	Dashed					*				Reactome	Apoc3	atR-LINA
106_1179	106	1179	*		SameComplex	Dashed					*				Reactome	Apoc3	atR-OLEA
106_1180	106	1180	*		SameComplex	Dashed					*				Reactome	Apoc3	atR-STEA
106_1201	106	1201	*	*	SameComplex	Solid					*				Reactome	Apoc3	cholesterol
106_1443	106	1443	*		SameComplex	Dashed					*				Reactome	Apoc3	atR-PALM
106_418	418	106	*	*	SameComplex	Solid					*				Reactome	Gpc1	Apoc3
106_419	419	106	*	*	SameComplex	Solid					*				Reactome	Gpc2	Apoc3
106_420	420	106	*	*	SameComplex	Solid					*				Reactome	Gpc3	Apoc3
106_421	421	106	*	*	SameComplex	Solid					*				Reactome	Gpc4	Apoc3
106_422	422	106		*	SameComplex	Dashed					*				Reactome	Gpc5	Apoc3
106_423	423	106	*	*	SameComplex	Solid					*				Reactome	Gpc6	Apoc3
106_428	106	428	*		Others	Dashed					*				Reactome	Apoc3	Gpihbp1
106_533	106	533	*	*	Others	Solid					*				Reactome	Apoc3	Lpl
106_535	106	535	*	*	Others	Solid					*				Reactome	Apoc3	Lrp1
106_536	106	536	*	*	Others	Solid					*				Reactome	Apoc3	Lrp10
106_537	106	537	*	*	Others	Solid					*				Reactome	Apoc3	Lrp12
106_538	106	538	*	*	Others	Solid					*				Reactome	Apoc3	Lrp2
106_539	106	539	*	*	Others	Solid					*				Reactome	Apoc3	Lrp8
106_848	848	106	*	*	SameComplex	Solid					*				Reactome	Sdc1	Apoc3
106_849	849	106	*	*	SameComplex	Solid					*				Reactome	Sdc2	Apoc3
106_850	850	106	*	*	SameComplex	Solid					*				Reactome	Sdc3	Apoc3
106_851	851	106	*	*	SameComplex	Solid					*				Reactome	Sdc4	Apoc3
106_964	106	964	*	*	SameComplex	Solid					*	*			Reactome	Apoc3	CE(18:1)_feature1
106_980	980	106	*	*	Transporter	Solid					*	*			Reactome, HMDB	TG(58:7)>TG(18:0_18:1_22:6)_M+NH3_feature3	Apoc3
1075_1383	1075	1383		*	Metabolic Transformation	Dashed						*	*		KEGG	Histone N6-acetyl-L-lysine	Niacinamide
1076_1388	1076	1388		*	Metabolic Transformation	Dashed				*					KEGG	Histone-L-lysine	coenzyme A
1077_1219	1219	1077	*		Metabolic Transformation	Dashed			*	*					KEGG	Glutathione	Hydrobromic acid
107_848	848	107	*	*	SameComplex	Solid					*				Reactome	Sdc1	Apoe
107_964	107	964	*	*	SameComplex	Solid					*	*			Reactome	Apoe	CE(18:1)_feature1
107_980	980	107	*	*	SameComplex	Solid					*	*			Reactome	TG(58:7)>TG(18:0_18:1_22:6)_M+NH3_feature3	Apoe
1084_1277	1277	1084	*		SameComplex	Dashed							*	*	Reactome	vitamin A	LINL
1086_1388	1086	1388		*	Metabolic Transformation	Dashed				*					KEGG	Long-chain acyl-CoA	coenzyme A
1088_1207	1088	1207		*	Metabolic Transformation	Dashed					*				Reactome	LysoPtdCho	sn-Glycero-3-phosphocholine
1095_1388	1388	1095	*		Metabolic Transformation	Dashed				*					KEGG	coenzyme A	Medium-chain acyl-CoA
10_1035	1035	10		*	Enzyme	Dashed					*	*			KEGG	Carboxylate	Aadac
10_1043	1043	10		*	Enzyme	Dashed					*	*			HMDB	Diacylglycerol	Aadac
10_1048	1048	10		*	Enzyme	Dashed					*	*			KEGG	Fatty acid	Aadac
10_1169	1169	10		*	Enzyme	Dashed					*	*			HMDB	Water	Aadac
10_966	966	10	*	*	Enzyme	Solid					*	*	*	*	KEGG, HMDB	DG(36:5)>DG(18:2_18:3_0:0)_M+NH3_feature1	Aadac
10_980	980	10	*	*	Enzyme	Solid					*	*			KEGG	TG(58:7)>TG(18:0_18:1_22:6)_M+NH3_feature3	Aadac
10_990	990	10		*	Enzyme	Dashed					*	*			KEGG	1-Acylglycerol	Aadac
10_996	996	10		*	Enzyme	Dashed					*	*			KEGG	2-MAG	Aadac
110_1277	110	1277	*	*	SameComplex	Solid							*	*	Reactome	Apom	vitamin A
1110_1277	1277	1110	*		SameComplex	Dashed							*	*	Reactome	vitamin A	OLEL
1112_1277	1277	1112	*		SameComplex	Dashed							*	*	Reactome	vitamin A	PALML
1113_1210	1210	1113	*		Metabolic Transformation	Dashed	*	*			*				Reactome	Choline	PCho
1114_1226	1226	1114	*		SameComplex	Dashed							*		Reactome	hexose	PE(16:1/14:0)
1115_1226	1226	1115	*		SameComplex	Dashed							*		Reactome	hexose	PE(16:1/16:0)
1116_1226	1226	1116	*		SameComplex	Dashed							*		Reactome	hexose	PE(18:0/16:1)
1121_1222	1222	1121	*		Metabolic Transformation	Dashed	*								Reactome	Guanine	PPi
1121_1383	1383	1121	*		Metabolic Transformation	Dashed						*	*		Reactome	Niacinamide	PPi
1123_1464	1123	1464		*	Metabolic Transformation	Dashed			*						KEGG	Phytoceramide	phytosphingosine
1125_1210	1210	1125	*		SameComplex	Dashed	*	*			*				Reactome	Choline	Pi
1125_1212	1212	1125	*		SameComplex	Dashed	*	*							Reactome	2'-deoxyadenosine	Pi
1125_1222	1222	1125	*		Metabolic Transformation	Dashed	*								Reactome	Guanine	Pi
1125_1223	1223	1125	*		SameComplex	Dashed						*			Reactome	guanosine	Pi
1125_1243	1243	1125	*		SameComplex	Dashed	*	*	*	*		*		*	Reactome	Inosine	Pi
112_1222	1222	112	*	*	Enzyme	Solid	*								HMDB	Guanine	Aprt
112_1381	1381	112	*	*	Enzyme	Solid	*	*					*		HMDB	GMP	Aprt
1131_1259	1131	1259		*	Metabolic Transformation	Dashed							*		KEGG	Protein N6,N6,N6-trimethyl-L-lysine	Succinic acid
1132_1259	1132	1259		*	Metabolic Transformation	Dashed							*		KEGG	Protein N6-methyl-L-lysine	Succinic acid
1133_1259	1133	1259		*	Metabolic Transformation	Dashed							*		KEGG	Protein histidine	Succinic acid
1134_1259	1134	1259		*	Metabolic Transformation	Dashed							*		KEGG	Protein-L-arginine	Succinic acid
1134_1383	1134	1383		*	Metabolic Transformation	Dashed						*	*		KEGG	Protein-L-arginine	Niacinamide
1138_1219	1219	1138	*		Metabolic Transformation	Dashed			*	*					KEGG	Glutathione	R-S-Glutathione
1138_1228	1138	1228		*	Metabolic Transformation	Dashed					*				KEGG	R-S-Glutathione	Glutamic acid
1139_1205	1205	1139	*		Metabolic Transformation	Dashed	*								KEGG	CTP	RNA
1139_1265	1265	1139	*		Metabolic Transformation	Dashed	*	*				*	*	*	KEGG	UTP	RNA
1140_1219	1219	1140	*		Metabolic Transformation	Dashed			*	*					KEGG	Glutathione	ROH
1142_1210	1210	1142	*		Metabolic Transformation	Dashed	*	*			*				KEGG	Choline	Reduced acceptor
1143_1388	1143	1388		*	Metabolic Transformation	Dashed				*					KEGG	S-Substituted L-cysteine	coenzyme A
1146_1277	1277	1146	*		SameComplex	Dashed							*	*	Reactome	vitamin A	STEAL
114_974	974	114	*	*	Unknown	Solid	*				*				HMDB	PC(36:3)_feature5	Arfgap1
1157_1295	1157	1295		*	Metabolic Transformation	Dashed							*		KEGG	Tetradecanoyl-[acp]	FA(14:0)
1159_1219	1159	1219		*	Metabolic Transformation	Dashed			*	*					KEGG	Thioredoxin	Glutathione
1168_1388	1168	1388		*	Metabolic Transformation	Dashed				*					KEGG	Very-long-chain acyl-CoA	coenzyme A
1171_1281	1281	1171	*		Metabolic Transformation	Dashed			*				*	*	KEGG	Cysteine	[Enzyme]-S-sulfanylcysteine
1173_1388	1173	1388		*	Metabolic Transformation	Dashed				*					KEGG	[Protein]-L-cysteine	coenzyme A
1174_1281	1281	1174	*		Metabolic Transformation	Dashed			*				*	*	KEGG	Cysteine	[Protein]-S-sulfanyl-L-cysteine
1175_1388	1175	1388		*	Metabolic Transformation	Dashed				*					KEGG	acyl-CoA	coenzyme A
1176_1561	1561	1176	*		Metabolic Transformation	Dashed	*								KEGG	sedoheptulose-7-phosphate	alpha,beta-Dihydroxyethyl-TPP
1178_1277	1277	1178	*		Metabolic Transformation	Dashed							*	*	Reactome	vitamin A	atR-LINA
1179_1277	1277	1179	*		Metabolic Transformation	Dashed							*	*	Reactome	vitamin A	atR-OLEA
117_966	966	117	*	*	Unknown	Solid	*				*		*	*	HMDB	DG(36:5)>DG(18:2_18:3_0:0)_M+NH3_feature1	Arhgap29
1180_1277	1277	1180	*		Metabolic Transformation	Dashed							*	*	Reactome	vitamin A	atR-STEA
1182_1212	1182	1212		*	Metabolic Transformation	Dashed	*	*							Reactome	dIMP	2'-deoxyadenosine
1182_1223	1182	1223		*	Metabolic Transformation	Dashed						*			Reactome	dIMP	guanosine
1182_1243	1182	1243		*	Metabolic Transformation	Dashed	*	*	*	*		*		*	Reactome	dIMP	Inosine
118_1381	1381	118	*	*	Enzyme	Solid	*	*					*		HMDB	GMP	Arhgef1
1191_1296	1296	1191	*		Metabolic Transformation	Dashed						*			KEGG	N-acetylaspartate	CH3COO-
1191_1302	1302	1191	*		Metabolic Transformation	Dashed								*	KEGG	acetylcholine	CH3COO-
1192_1219	1219	1192	*		Metabolic Transformation	Dashed			*	*					KEGG	Glutathione	Ascorbate
1193_1212	1193	1212		*	Metabolic Transformation	Dashed	*	*							Reactome	AMP	2'-deoxyadenosine
1193_1223	1193	1223		*	Metabolic Transformation	Dashed						*			Reactome	AMP	guanosine
1193_1243	1193	1243		*	Metabolic Transformation	Dashed	*	*	*	*		*		*	Reactome	AMP	Inosine
1194_1212	1194	1212	*	*	SameComplex	Solid	*	*							Reactome	Adenosine	2'-deoxyadenosine
1194_1223	1194	1223	*	*	SameComplex	Solid						*			Reactome	Adenosine	guanosine
1194_1243	1194	1243	*	*	Metabolic Transformation	Solid	*	*	*	*		*		*	Reactome	Adenosine	Inosine
1195_1205	1195	1205		*	Metabolic Transformation	Dashed	*								KEGG	Ammonia	CTP
1195_1222	1222	1195	*		Metabolic Transformation	Dashed	*								KEGG	Guanine	Ammonia
1195_1228	1228	1195	*		Metabolic Transformation	Dashed					*				KEGG	Glutamic acid	Ammonia
1195_1238	1238	1195	*		Metabolic Transformation	Dashed			*	*			*		KEGG	Histidine	Ammonia
1195_1241	1241	1195	*		Metabolic Transformation	Dashed	*				*				KEGG	Aspartic acid	Ammonia
1195_1281	1281	1195	*		Metabolic Transformation	Dashed			*				*	*	KEGG	Cysteine	Ammonia
1195_1284	1195	1284		*	Metabolic Transformation	Dashed			*	*	*				KEGG	Ammonia	Glutamine
1195_1300	1300	1195	*		Metabolic Transformation	Dashed				*					KEGG	histamine	Ammonia
1195_1310	1310	1195	*		Metabolic Transformation	Dashed					*				KEGG	Tryptophan	Ammonia
1195_1381	1195	1381		*	Metabolic Transformation	Dashed	*	*					*		KEGG	Ammonia	GMP
1196_1241	1241	1196	*		Metabolic Transformation	Dashed	*				*				KEGG	Aspartic acid	N-(L-Arginino)succinate
1196_1279	1196	1279		*	Metabolic Transformation	Dashed		*							KEGG	N-(L-Arginino)succinate	Arginine
1197_1228	1197	1228	*	*	Metabolic Transformation	Solid					*				KEGG	beta-Alanine	Glutamic acid
1197_1241	1241	1197	*	*	Metabolic Transformation	Solid	*				*				KEGG	Aspartic acid	beta-Alanine
1197_1494	1494	1197	*	*	Metabolic Transformation	Solid		*							KEGG	beta-guanidinopropionate	beta-Alanine
1198_1259	1198	1259		*	Metabolic Transformation	Dashed							*		KEGG	Acetoacetate	Succinic acid
1199_1388	1388	1199	*		Metabolic Transformation	Dashed				*					KEGG	coenzyme A	PAP
119_1381	1381	119	*	*	Unknown	Solid	*	*					*		HMDB	GMP	Arhgef10l
11_1228	1228	11	*	*	Enzyme	Solid					*				HMDB	Glutamic acid	Aadat
1200_1388	1200	1388		*	Metabolic Transformation	Dashed				*					KEGG	L-Carnitine	coenzyme A
1201_1388	1201	1388	*	*	Metabolic Transformation	Solid				*					KEGG	cholesterol	coenzyme A
1202_1212	1212	1202	*		Metabolic Transformation	Dashed	*	*							Reactome	2'-deoxyadenosine	dI
1202_1223	1223	1202	*		SameComplex	Dashed						*			Reactome	guanosine	dI
1202_1243	1243	1202	*		SameComplex	Dashed	*	*	*	*		*		*	Reactome	Inosine	dI
1203_1208	1208	1203	*	*	Metabolic Transformation	Solid			*	*			*		KEGG	citrate+isocitrate	cis-aconitate
1203_1242	1242	1203	*	*	Metabolic Transformation	Solid		*	*	*			*	*	KEGG	Isocitrate	cis-aconitate
1204_1219	1219	1204	*		Metabolic Transformation	Dashed			*	*					KEGG	Glutathione	Cys-Gly
1204_1281	1204	1281		*	Metabolic Transformation	Dashed			*				*	*	KEGG	Cys-Gly	Cysteine
1205_1260	1205	1260	*	*	Metabolic Transformation	Solid	*								KEGG	CTP	phosphoenolpyruvate
1205_1265	1265	1205	*	*	Metabolic Transformation	Solid	*	*				*	*	*	KEGG	UTP	CTP
1205_1284	1284	1205	*	*	Metabolic Transformation	Solid	*		*	*	*				KEGG	Glutamine	CTP
1205_1326	1205	1326	*	*	Metabolic Transformation	Solid	*								KEGG	CTP	fructose 1,6-biphosphate
