type1	type2	mappingID1	mappingID2	Reaction ID	Relationship	pair1	pair2	SeedNode1	SeedNode2	detectedPair1	detectedPair2	SigNode1	SigNode2	sorted_pairs	EdgeColor	EdgeLine	8_diff	7_diff	6_diff	5_diff	4_diff	3_diff	2_diff	1_diff
input	catalyst	C00016	Acox1	R01175, R01279, R03777, R03857, R03990, R04751, R04754, R07888, R07892, R07896	Metabolite_GeneProduct	FAD	Acox1	*		*	*	*		Acox1_C00016	Enzyme	Solid					*			
input	catalyst	C05270	Acox1	R04751	Metabolite_GeneProduct	Hexanoyl-CoA	Acox1	*		*	*	*		Acox1_C05270	Enzyme	Solid				*				
input	catalyst	C00016	Acox3	R01175, R01279, R03777, R03857, R03990, R04751, R04754, R07888, R07892, R07896	Metabolite_GeneProduct	FAD	Acox3	*	*	*	*	*	*	Acox3_C00016	Enzyme	Solid	*			*	*			
input	catalyst	C05270	Acox3	R04751	Metabolite_GeneProduct	Hexanoyl-CoA	Acox3	*	*	*	*	*	*	Acox3_C05270	Enzyme	Solid	*			*	*			
input	catalyst	C00002	Acsf2	R00389, R01176	Metabolite_GeneProduct	ATP	Acsf2		*	*	*		*	Acsf2_C00002	Enzyme	Solid	*		*		*			*
input	catalyst	C00010	Acsf2	R00389, R01176	Metabolite_GeneProduct	CoA	Acsf2	*	*	*	*	*	*	Acsf2_C00010	Enzyme	Solid	*		*	*	*			*
output	catalyst	C00020	Acsf2	R00389, R01176	Metabolite_GeneProduct	AMP	Acsf2		*	*	*		*	Acsf2_C00020	Enzyme	Solid	*		*		*			*
input	catalyst	C00002	Acsm5	R00389, R01176	Metabolite_GeneProduct	ATP	Acsm5		*	*	*		*	Acsm5_C00002	Enzyme	Solid							*	
input	catalyst	C00010	Acsm5	R00389, R01176	Metabolite_GeneProduct	CoA	Acsm5	*	*	*	*	*	*	Acsm5_C00010	Enzyme	Solid				*			*	
output	catalyst	C00020	Acsm5	R00389, R01176	Metabolite_GeneProduct	AMP	Acsm5		*	*	*		*	Acsm5_C00020	Enzyme	Solid							*	
input	catalyst	C00114	Adh4	R08557, R08558	Metabolite_GeneProduct	Choline	Adh4	*		*	*	*		Adh4_C00114	Enzyme	Solid	*	*			*			
input	catalyst	C00473	Adh4	R02124	Metabolite_GeneProduct	Retinol	Adh4	*		*	*	*		Adh4_C00473	Enzyme	Solid							*	*
input	catalyst	C00114	Adh6	R08557, R08558	Metabolite_GeneProduct	Choline	Adh6	*		*	*	*		Adh6_C00114	Enzyme	Solid	*	*			*			
input	catalyst	C00473	Adh6	R02124	Metabolite_GeneProduct	Retinol	Adh6	*		*	*	*		Adh6_C00473	Enzyme	Solid							*	*
input	catalyst	C00114	Adh7	R08557, R08558	Metabolite_GeneProduct	Choline	Adh7	*		*	*	*		Adh7_C00114	Enzyme	Solid	*	*			*			
input	catalyst	C00473	Adh7	R02124	Metabolite_GeneProduct	Retinol	Adh7	*		*	*	*		Adh7_C00473	Enzyme	Solid							*	*
input	catalyst	C00062	Agmat	R00551	Metabolite_GeneProduct	L-Arginine	Agmat	*	*	*	*	*	*	Agmat_C00062	Enzyme	Solid	*	*						
output	catalyst	C00077	Agmat	R00551	Metabolite_GeneProduct	L-Ornithine	Agmat		*	*	*		*	Agmat_C00077	Enzyme	Solid	*							
output	catalyst	C00099	Agmat	R00913	Metabolite_GeneProduct	beta-Alanine	Agmat		*	*	*		*	Agmat_C00099	Enzyme	Solid	*							
output	catalyst	C00334	Agmat	R01990	Metabolite_GeneProduct	4-Aminobutanoate	Agmat	*	*	*	*	*	*	Agmat_C00334	Enzyme	Solid	*				*			
input	catalyst	C01035	Agmat	R01990	Metabolite_GeneProduct	4-Guanidinobutanoate	Agmat		*	*	*		*	Agmat_C01035	Enzyme	Solid	*							
input	catalyst	C03065	Agmat	R00913	Metabolite_GeneProduct	3-Guanidinopropanoate	Agmat	*	*	*	*	*	*	Agmat_C03065	Enzyme	Solid	*	*						
input	catalyst	C00010	Agpat4	R02241	Metabolite_GeneProduct	CoA	Agpat4	*		*	*	*		Agpat4_C00010	Enzyme	Solid				*				
input	catalyst	C00002	Ak4	R00124, R00127, R00139, R00156, R00330, R00331, R00570, R00722, R01137, R01547, R01857, R02093, R02326, R02331, R03530, R11894, R11895, R12853	Metabolite_GeneProduct	ATP	Ak4		*	*	*		*	Ak4_C00002	Enzyme	Solid					*		*	
input	catalyst	C00008	Ak4	R00124, R11319	Metabolite_GeneProduct	ADP	Ak4		*	*	*		*	Ak4_C00008	Enzyme	Solid					*		*	
input	catalyst	C00015	Ak4	R00156	Metabolite_GeneProduct	UDP	Ak4		*	*	*		*	Ak4_C00015	Enzyme	Solid					*		*	
input	catalyst	C00020	Ak4	R00127, R00157, R00333	Metabolite_GeneProduct	AMP	Ak4		*	*	*		*	Ak4_C00020	Enzyme	Solid					*		*	
input	catalyst	C00035	Ak4	R00330	Metabolite_GeneProduct	GDP	Ak4		*	*	*		*	Ak4_C00035	Enzyme	Solid					*		*	
output	catalyst	C00044	Ak4	R00330	Metabolite_GeneProduct	GTP	Ak4	*	*	*	*	*	*	Ak4_C00044	Enzyme	Solid	*	*			*		*	
output	catalyst	C00063	Ak4	R00570	Metabolite_GeneProduct	CTP	Ak4	*	*	*	*	*	*	Ak4_C00063	Enzyme	Solid	*				*		*	
input	catalyst	C00075	Ak4	R00157	Metabolite_GeneProduct	UTP	Ak4	*	*	*	*	*	*	Ak4_C00075	Enzyme	Solid	*	*			*	*	*	*
input	catalyst	C00112	Ak4	R00570	Metabolite_GeneProduct	CDP	Ak4		*	*	*		*	Ak4_C00112	Enzyme	Solid					*		*	
output	catalyst	C00131	Ak4	R01137	Metabolite_GeneProduct	dATP	Ak4		*	*	*		*	Ak4_C00131	Enzyme	Solid					*		*	
output	catalyst	C00459	Ak4	R02093	Metabolite_GeneProduct	dTTP	Ak4		*	*	*		*	Ak4_C00459	Enzyme	Solid					*		*	
input	catalyst	C00124	Akr1b1	R01093, R01095	Metabolite_GeneProduct	D-Galactose	Akr1b1	*		*	*	*		Akr1b1_C00124	Enzyme	Solid							*	
input	catalyst	C00473	Akr1b1	R08379	Metabolite_GeneProduct	Retinol	Akr1b1	*		*	*	*		Akr1b1_C00473	Enzyme	Solid							*	*
input	catalyst	C00004	Akr1b7	R01093	Metabolite_GeneProduct	NADH	Akr1b7		*	*	*		*	Akr1b7_C00004	Enzyme	Solid	*							
input	catalyst	C00005	Akr1b7	R01095	Metabolite_GeneProduct	NADPH	Akr1b7		*	*	*		*	Akr1b7_C00005	Enzyme	Solid	*							
input	catalyst	C00124	Akr1b7	R01093, R01095	Metabolite_GeneProduct	D-Galactose	Akr1b7	*	*	*	*	*	*	Akr1b7_C00124	Enzyme	Solid	*						*	
output	catalyst	C00004	Aldh7a1	R00538, R00631, R00710, R00904, R01752, R02549, R02565, R02678, R02940, R02957, R03102, R03283, R03869, R04065, R04506, R04903, R05050, R05286, R06366, R08146, R11231	Metabolite_GeneProduct	NADH	Aldh7a1		*	*	*		*	Aldh7a1_C00004	Enzyme	Solid	*							
output	catalyst	C00005	Aldh7a1	R00264, R01986, R02566, R03103, R11232	Metabolite_GeneProduct	NADPH	Aldh7a1		*	*	*		*	Aldh7a1_C00005	Enzyme	Solid	*							
output	catalyst	C00026	Aldh7a1	R00264	Metabolite_GeneProduct	2-Oxoglutarate	Aldh7a1		*	*	*		*	Aldh7a1_C00026	Enzyme	Solid	*							
output	catalyst	C00099	Aldh7a1	R00904	Metabolite_GeneProduct	beta-Alanine	Aldh7a1		*	*	*		*	Aldh7a1_C00099	Enzyme	Solid	*							
output	catalyst	C00334	Aldh7a1	R01986, R02549	Metabolite_GeneProduct	4-Aminobutanoate	Aldh7a1	*	*	*	*	*	*	Aldh7a1_C00334	Enzyme	Solid	*				*			
output	catalyst	C00956	Aldh7a1	R03102, R03103, R11231, R11232	Metabolite_GeneProduct	L-2-Aminoadipate	Aldh7a1		*	*	*		*	Aldh7a1_C00956	Enzyme	Solid	*							
output	catalyst	C01181	Aldh7a1	R03283	Metabolite_GeneProduct	4-Trimethylammoniobutanoate	Aldh7a1		*	*	*		*	Aldh7a1_C01181	Enzyme	Solid	*							
output	catalyst	C00111	Aldoc	R01068, R01070, R01829, R02568	Metabolite_GeneProduct	Glycerone phosphate	Aldoc	*	*	*	*	*	*	Aldoc_C00111	Enzyme	Solid	*						*	
output	catalyst	C00118	Aldoc	R01068, R01070	Metabolite_GeneProduct	D-Glyceraldehyde 3-phosphate	Aldoc		*	*	*		*	Aldoc_C00118	Enzyme	Solid							*	
output	catalyst	C00279	Aldoc	R01829	Metabolite_GeneProduct	D-Erythrose 4-phosphate	Aldoc		*	*	*		*	Aldoc_C00279	Enzyme	Solid							*	
input	catalyst	C00354	Aldoc	R01068	Metabolite_GeneProduct	D-Fructose 1,6-bisphosphate	Aldoc		*	*	*		*	Aldoc_C00354	Enzyme	Solid							*	
output	catalyst	C00777	Aox3	R02125	Metabolite_GeneProduct	Retinoate	Aox3		*	*	*		*	Aox3_C00777	Enzyme	Solid	*							
input	catalyst	C02918	Aox3	R04085, R08408	Metabolite_GeneProduct	1-Methylnicotinamide	Aox3	*	*	*	*	*	*	Aox3_C02918	Enzyme	Solid	*	*						
output	catalyst	C05842	Aox3	R08408	Metabolite_GeneProduct	N1-Methyl-2-pyridone-5-carboxamide	Aox3		*	*	*		*	Aox3_C05842	Enzyme	Solid	*							
output	catalyst	C00062	Asl	R01086	Metabolite_GeneProduct	L-Arginine	Asl	*	*	*	*	*	*	Asl_C00062	Enzyme	Solid		*				*		
output	catalyst	C00122	Asl	R01086	Metabolite_GeneProduct	Fumarate	Asl		*	*	*		*	Asl_C00122	Enzyme	Solid		*				*		
output	catalyst	C00025	Asns	R00578	Metabolite_GeneProduct	L-Glutamate	Asns	*		*	*	*		Asns_C00025	Enzyme	Solid					*			
input	catalyst	C00049	Asns	R00483, R00578	Metabolite_GeneProduct	L-Aspartate	Asns	*		*	*	*		Asns_C00049	Enzyme	Solid	*				*			
input	catalyst	C00064	Asns	R00578	Metabolite_GeneProduct	L-Glutamine	Asns	*		*	*	*		Asns_C00064	Enzyme	Solid			*	*	*			
output	catalyst	C00049	Aspa	R00488, R00526, R00546	Metabolite_GeneProduct	L-Aspartate	Aspa	*		*	*	*		Aspa_C00049	Enzyme	Solid	*				*			
input	catalyst	C01042	Aspa	R00488	Metabolite_GeneProduct	N-Acetyl-L-aspartate	Aspa	*		*	*	*		Aspa_C01042	Enzyme	Solid						*		
output	catalyst	C00049	Aspg	R00485	Metabolite_GeneProduct	L-Aspartate	Aspg	*		*	*	*		Aspg_C00049	Enzyme	Solid	*				*			
input	catalyst	C00157	Aspg	R01309	Metabolite_GeneProduct	Phosphatidylcholine	Aspg	*		*	*	*		Aspg_C00157	Enzyme	Solid	*				*			
input	catalyst	C00670	Aspg	R02744	Metabolite_GeneProduct	sn-Glycero-3-phosphocholine	Aspg	*		*	*	*		Aspg_C00670	Enzyme	Solid					*			
input	catalyst	C04230	Aspg	R02746, R07291	Metabolite_GeneProduct	1-Acyl-sn-glycero-3-phosphocholine	Aspg	*		*	*	*		Aspg_C04230	Enzyme	Solid						*		
input	catalyst	C04438	Aspg	R03416	Metabolite_GeneProduct	1-Acyl-sn-glycero-3-phosphoethanolamine	Aspg	*		*	*	*		Aspg_C04438	Enzyme	Solid					*			
input	catalyst	C00002	Ass1	R01954	Metabolite_GeneProduct	ATP	Ass1		*	*	*		*	Ass1_C00002	Enzyme	Solid						*		
output	catalyst	C00020	Ass1	R01954	Metabolite_GeneProduct	AMP	Ass1		*	*	*		*	Ass1_C00020	Enzyme	Solid						*		
input	catalyst	C00049	Ass1	R01954	Metabolite_GeneProduct	L-Aspartate	Ass1	*	*	*	*	*	*	Ass1_C00049	Enzyme	Solid	*				*	*		
input	catalyst	C00327	Ass1	R01954	Metabolite_GeneProduct	L-Citrulline	Ass1		*	*	*		*	Ass1_C00327	Enzyme	Solid						*		
input	catalyst	C00010	Baat	R03974	Metabolite_GeneProduct	CoA	Baat	*		*	*	*		Baat_C00010	Enzyme	Solid				*				
input	catalyst	C02528	Baat	R03974	Metabolite_GeneProduct	Chenodeoxycholate	Baat	*		*	*	*		Baat_C02528	Enzyme	Solid					*	*		
output	catalyst	C00025	Bcat2	R01090, R01214, R02199, R10991	Metabolite_GeneProduct	L-Glutamate	Bcat2	*		*	*	*		Bcat2_C00025	Enzyme	Solid					*			
input	output	C00025	C00002	R03905, R04212	Metabolite_Metabolite	L-Glutamate	ATP	*		*	*	*		C00002_C00025	Metabolic Transformation	Solid					*			
input	output	C00010	C00004	R00705, R00922, R00935	Metabolite_Metabolite	CoA	NADH	*		*	*	*		C00004_C00010	Metabolic Transformation	Solid				*				
input	output	C00025	C00004	R00243	Metabolite_Metabolite	L-Glutamate	NADH	*		*	*	*		C00004_C00025	Metabolic Transformation	Solid					*			
input	output	C00029	C00004	R00286	Metabolite_Metabolite	UDP-glucose	NADH	*		*	*	*		C00004_C00029	Metabolic Transformation	Solid							*	
input	output	C00049	C00004	R07164, R07410	Metabolite_Metabolite	L-Aspartate	NADH	*		*	*	*		C00004_C00049	Metabolic Transformation	Solid	*				*			
input	output	C00051	C00004	R00094	Metabolite_Metabolite	Glutathione	NADH	*		*	*	*		C00004_C00051	Metabolic Transformation	Solid			*	*				
input	output	C00092	C00004	R10520	Metabolite_Metabolite	D-Glucose 6-phosphate	NADH	*		*	*	*		C00004_C00092	Metabolic Transformation	Solid	*							
input	output	C00114	C00004	R08557	Metabolite_Metabolite	Choline	NADH	*		*	*	*		C00004_C00114	Metabolic Transformation	Solid	*	*			*			
input	output	C00311	C00004	R00709	Metabolite_Metabolite	Isocitrate	NADH	*		*	*	*		C00004_C00311	Metabolic Transformation	Solid		*	*	*			*	*
input	output	C00473	C00004	R02124	Metabolite_Metabolite	Retinol	NADH	*		*	*	*		C00004_C00473	Metabolic Transformation	Solid							*	*
input	output	C01157	C00004	R03291	Metabolite_Metabolite	Hydroxyproline	NADH	*		*	*	*		C00004_C01157	Metabolic Transformation	Solid							*	*
input	output	C00010	C00005	R00706, R02082	Metabolite_Metabolite	CoA	NADPH	*		*	*	*		C00005_C00010	Metabolic Transformation	Solid				*				
input	output	C00025	C00005	R00248	Metabolite_Metabolite	L-Glutamate	NADPH	*		*	*	*		C00005_C00025	Metabolic Transformation	Solid					*			
input	output	C00049	C00005	R07165, R07407	Metabolite_Metabolite	L-Aspartate	NADPH	*		*	*	*		C00005_C00049	Metabolic Transformation	Solid	*				*			
input	output	C00051	C00005	R00115, R00900	Metabolite_Metabolite	Glutathione	NADPH	*		*	*	*		C00005_C00051	Metabolic Transformation	Solid			*	*				
input	output	C00092	C00005	R00835	Metabolite_Metabolite	D-Glucose 6-phosphate	NADPH	*		*	*	*		C00005_C00092	Metabolic Transformation	Solid	*							
input	output	C00097	C00005	R00900	Metabolite_Metabolite	L-Cysteine	NADPH	*		*	*	*		C00005_C00097	Metabolic Transformation	Solid			*				*	*
input	output	C00114	C00005	R08558	Metabolite_Metabolite	Choline	NADPH	*		*	*	*		C00005_C00114	Metabolic Transformation	Solid	*	*			*			
input	output	C00311	C00005	R00267, R01899	Metabolite_Metabolite	Isocitrate	NADPH	*		*	*	*		C00005_C00311	Metabolic Transformation	Solid		*	*	*			*	*
input	output	C00473	C00005	R08379	Metabolite_Metabolite	Retinol	NADPH	*		*	*	*		C00005_C00473	Metabolic Transformation	Solid							*	*
input	output	C01157	C00005	R03293	Metabolite_Metabolite	Hydroxyproline	NADPH	*		*	*	*		C00005_C01157	Metabolic Transformation	Solid							*	*
input	output	C00010	C00008	R00352, R00405, R02404	Metabolite_Metabolite	CoA	ADP	*		*	*	*		C00008_C00010	Metabolic Transformation	Solid				*				
input	output	C00025	C00008	R00253, R10677, R10678, R10993	Metabolite_Metabolite	L-Glutamate	ADP	*		*	*	*		C00008_C00025	Metabolic Transformation	Solid					*			
input	output	C00042	C00008	R00405	Metabolite_Metabolite	Succinate	ADP	*		*	*	*		C00008_C00042	Metabolic Transformation	Solid							*	
input	output	C00049	C00008	R04591	Metabolite_Metabolite	L-Aspartate	ADP	*		*	*	*		C00008_C00049	Metabolic Transformation	Solid	*				*			
input	output	C00064	C00008	R00573	Metabolite_Metabolite	L-Glutamine	ADP	*		*	*	*		C00008_C00064	Metabolic Transformation	Solid			*	*	*			
input	output	C00075	C00008	R00157, R00571, R00573	Metabolite_Metabolite	UTP	ADP	*		*	*	*		C00008_C00075	Metabolic Transformation	Solid	*	*				*	*	*
input	output	C00085	C00008	R00756, R13202	Metabolite_Metabolite	D-Fructose 6-phosphate	ADP	*		*	*	*		C00008_C00085	Metabolic Transformation	Solid	*							
input	output	C00114	C00008	R01021	Metabolite_Metabolite	Choline	ADP	*		*	*	*		C00008_C00114	Metabolic Transformation	Solid	*	*			*			
input	output	C00641	C00008	R02240	Metabolite_Metabolite	1,2-Diacyl-sn-glycerol	ADP	*		*	*	*		C00008_C00641	Metabolic Transformation	Solid					*		*	*
input	output	C01042	C00008	R10678	Metabolite_Metabolite	N-Acetyl-L-aspartate	ADP	*		*	*	*		C00008_C01042	Metabolic Transformation	Solid						*		
input	output	C01194	C00008	R03361, R03362	Metabolite_Metabolite	1-Phosphatidyl-D-myo-inositol	ADP	*		*	*	*		C00008_C01194	Metabolic Transformation	Solid					*			
input	output	C05382	C00008	R01843	Metabolite_Metabolite	Sedoheptulose 7-phosphate	ADP	*		*	*	*		C00008_C05382	Metabolic Transformation	Solid	*							
input	output	C00020	C00010	R08743	Metabolite_Metabolite	AMP	CoA		*	*	*		*	C00010_C00020	Metabolic Transformation	Solid				*				
input	output	C00024	C00010	R00227, R00238, R00391, R00487, R00829, R00927, R01023, R01177, R01624, R02058, R02387, R02396, R02569, R02911, R03437, R03552, R03760, R03778, R03858, R03991, R04024, R04192, R04742, R04747, R04950, R05188, R07891, R07895, R07899, R07937, R07953, R08036, R08248, R08250, R08386, R11902	Metabolite_Metabolite	Acetyl-CoA	CoA		*	*	*		*	C00010_C00024	Metabolic Transformation	Solid				*				
input	output	C00037	C00010	R00395, R00830, R02452, R03718, R05841, R08744	Metabolite_Metabolite	Glycine	CoA		*	*	*		*	C00010_C00037	Metabolic Transformation	Solid				*				
input	output	C00049	C00010	R00487	Metabolite_Metabolite	L-Aspartate	CoA	*	*	*	*	*	*	C00010_C00049	Metabolic Transformation	Solid	*			*	*			
input	output	C00065	C00010	R01281	Metabolite_Metabolite	L-Serine	CoA		*	*	*		*	C00010_C00065	Metabolic Transformation	Solid				*				
input	output	C00093	C00010	R00851, R02617	Metabolite_Metabolite	sn-Glycerol 3-phosphate	CoA		*	*	*		*	C00010_C00093	Metabolic Transformation	Solid				*				
input	output	C00111	C00010	R01013	Metabolite_Metabolite	Glycerone phosphate	CoA	*	*	*	*	*	*	C00010_C00111	Metabolic Transformation	Solid	*			*				
input	output	C00114	C00010	R01023	Metabolite_Metabolite	Choline	CoA	*	*	*	*	*	*	C00010_C00114	Metabolic Transformation	Solid	*	*		*	*			
input	output	C00187	C00010	R01461	Metabolite_Metabolite	Cholesterol	CoA		*	*	*		*	C00010_C00187	Metabolic Transformation	Solid				*				
input	output	C00473	C00010	R02366, R02367	Metabolite_Metabolite	Retinol	CoA	*	*	*	*	*	*	C00010_C00473	Metabolic Transformation	Solid				*			*	*
input	output	C00641	C00010	R02694	Metabolite_Metabolite	1,2-Diacyl-sn-glycerol	CoA	*	*	*	*	*	*	C00010_C00641	Metabolic Transformation	Solid				*	*		*	*
