metabolite_accession	MetaboliteName	chemical_formula	protein_accession	ProteinName	UniProt	protein_type	GeneName
HMDB0000017	4-Pyridoxic acid	C8H9NO4	HMDBP00126	Aldehyde oxidase	Q06278	Unknown	Aox1
HMDB0000019	alpha-Ketoisovaleric acid	C5H8O3	HMDBP00012	Pyruvate dehydrogenase E1 component subunit beta, mitochondrial	P11177	Enzyme	Pdhb
HMDB0000019	alpha-Ketoisovaleric acid	C5H8O3	HMDBP00046	Pyruvate dehydrogenase E1 component subunit alpha, somatic form, mitochondrial	P08559	Enzyme	Pdha1l1
HMDB0000019	alpha-Ketoisovaleric acid	C5H8O3	HMDBP00055	Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex, mitochondrial	P10515	Enzyme	Dlat
HMDB0000019	alpha-Ketoisovaleric acid	C5H8O3	HMDBP00299	2-oxoisovalerate dehydrogenase subunit beta, mitochondrial	P21953	Enzyme	Bckdhb
HMDB0000019	alpha-Ketoisovaleric acid	C5H8O3	HMDBP00300	2-oxoisovalerate dehydrogenase subunit alpha, mitochondrial	P12694	Unknown	Bckdha
HMDB0000019	alpha-Ketoisovaleric acid	C5H8O3	HMDBP00301	Branched-chain-amino-acid aminotransferase, cytosolic	P54687	Enzyme	Bcat1
HMDB0000019	alpha-Ketoisovaleric acid	C5H8O3	HMDBP00516	Branched-chain-amino-acid aminotransferase, mitochondrial	O15382	Enzyme	Bcat2
HMDB0000019	alpha-Ketoisovaleric acid	C5H8O3	HMDBP01109	Monocarboxylate transporter 4	O15427	Transporter	Slc16a3
HMDB0000019	alpha-Ketoisovaleric acid	C5H8O3	HMDBP01111	Monocarboxylate transporter 1	P53985	Transporter	Slc16a1
HMDB0000019	alpha-Ketoisovaleric acid	C5H8O3	HMDBP01115	Monocarboxylate transporter 2	O60669	Transporter	Slc16a7
HMDB0000020	p-Hydroxyphenylacetic acid	C8H8O3	HMDBP00292	Aldehyde dehydrogenase, dimeric NADP-preferring	P30838	Unknown	Aldh3a1
HMDB0000020	p-Hydroxyphenylacetic acid	C8H8O3	HMDBP00294	Aldehyde dehydrogenase family 1 member A3	P47895	Unknown	Aldh1a3
HMDB0000020	p-Hydroxyphenylacetic acid	C8H8O3	HMDBP00483	UDP-glucuronosyltransferase 1-1	P22309	Enzyme	Ugt1a5
HMDB0000020	p-Hydroxyphenylacetic acid	C8H8O3	HMDBP00541	Aldehyde dehydrogenase family 3 member B2	P48448	Unknown	Aldh3b2
HMDB0000020	p-Hydroxyphenylacetic acid	C8H8O3	HMDBP00542	Aldehyde dehydrogenase family 3 member B1	P43353	Unknown	Aldh3b1
HMDB0000020	p-Hydroxyphenylacetic acid	C8H8O3	HMDBP12057	Sulfotransferase 1A3	P0DMM9	Enzyme	Sult5a1
HMDB0000021	Iodotyrosine	C9H10INO3	HMDBP00276	Thyroid peroxidase	P07202	Unknown	Tpo
HMDB0000022	3-Methoxytyramine	C9H13NO2	HMDBP00161	Amine oxidase [flavin-containing] B	P27338	Unknown	Maob
HMDB0000022	3-Methoxytyramine	C9H13NO2	HMDBP00169	Amine oxidase [flavin-containing] A	P21397	Unknown	Maoa
HMDB0000022	3-Methoxytyramine	C9H13NO2	HMDBP00272	Catechol O-methyltransferase	P21964	Unknown	Comt
HMDB0000023	(S)-3-Hydroxyisobutyric acid	C4H8O3	HMDBP00355	Sulfotransferase family cytosolic 2B member 1	O00204	Enzyme	Sult2b1
HMDB0000023	(S)-3-Hydroxyisobutyric acid	C4H8O3	HMDBP00380	Peroxisomal bifunctional enzyme	Q08426	Unknown	Ehhadh
HMDB0000023	(S)-3-Hydroxyisobutyric acid	C4H8O3	HMDBP00381	Hydroxyacyl-coenzyme A dehydrogenase, mitochondrial	Q16836	Unknown	Hadh
HMDB0000023	(S)-3-Hydroxyisobutyric acid	C4H8O3	HMDBP00395	3-hydroxyisobutyrate dehydrogenase, mitochondrial	P31937	Unknown	Hibadh
HMDB0000023	(S)-3-Hydroxyisobutyric acid	C4H8O3	HMDBP00483	UDP-glucuronosyltransferase 1-1	P22309	Enzyme	Ugt1a5
HMDB0000023	(S)-3-Hydroxyisobutyric acid	C4H8O3	HMDBP04709	3-hydroxyisobutyryl-CoA hydrolase, mitochondrial	Q6NVY1	Enzyme	Hibch
HMDB0000026	Ureidopropionic acid	C4H8N2O3	HMDBP00543	Dihydropyrimidinase	Q14117	Unknown	Dpys
HMDB0000026	Ureidopropionic acid	C4H8N2O3	HMDBP00544	Beta-ureidopropionase	Q9UBR1	Unknown	Upb1
HMDB0000026	Ureidopropionic acid	C4H8N2O3	HMDBP02980	Dihydropyrimidinase-related protein 3	Q14195	Enzyme	Dpysl3
HMDB0000026	Ureidopropionic acid	C4H8N2O3	HMDBP03165	Dihydropyrimidinase-related protein 2	Q16555	Enzyme	Dpysl2
HMDB0000027	Tetrahydrobiopterin	C9H15N5O3	HMDBP00087	Tyrosinase	P14679	Unknown	Tyr
HMDB0000027	Tetrahydrobiopterin	C9H15N5O3	HMDBP00273	Tyrosine 3-monooxygenase	P07101	Enzyme	Th
HMDB0000027	Tetrahydrobiopterin	C9H15N5O3	HMDBP00280	Phenylalanine-4-hydroxylase	P00439	Enzyme	Pah
HMDB0000027	Tetrahydrobiopterin	C9H15N5O3	HMDBP00435	6-pyruvoyl tetrahydrobiopterin synthase	Q03393	Unknown	Pts
HMDB0000027	Tetrahydrobiopterin	C9H15N5O3	HMDBP00436	Sepiapterin reductase	P35270	Enzyme	Spr-ps1
HMDB0000027	Tetrahydrobiopterin	C9H15N5O3	HMDBP00469	Tryptophan 5-hydroxylase 1	P17752	Enzyme	Tph1
HMDB0000027	Tetrahydrobiopterin	C9H15N5O3	HMDBP00471	Tryptophan 5-hydroxylase 2	Q8IWU9	Enzyme	Tph2
HMDB0000027	Tetrahydrobiopterin	C9H15N5O3	HMDBP00545	Dihydropteridine reductase	P09417	Unknown	AABR07068905.1
HMDB0000027	Tetrahydrobiopterin	C9H15N5O3	HMDBP00926	Nitric oxide synthase, inducible	P35228	Unknown	Nos2
HMDB0000027	Tetrahydrobiopterin	C9H15N5O3	HMDBP00928	Nitric oxide synthase, brain	P29475	Unknown	Nos1
HMDB0000027	Tetrahydrobiopterin	C9H15N5O3	HMDBP00929	Nitric oxide synthase, endothelial	P29474	Unknown	Nos3
HMDB0000027	Tetrahydrobiopterin	C9H15N5O3	HMDBP00938	GTP cyclohydrolase 1	P30793	Unknown	Gch1
HMDB0000027	Tetrahydrobiopterin	C9H15N5O3	HMDBP01961	GTP cyclohydrolase 1 feedback regulatory protein	P30047	Unknown	Gchfr
HMDB0000027	Tetrahydrobiopterin	C9H15N5O3	HMDBP02872	Pterin-4-alpha-carbinolamine dehydratase	P61457	Enzyme	Pcbd1
HMDB0000030	Biotin	C10H16N2O3S	HMDBP00018	Acetyl-CoA carboxylase 2	O00763	Unknown	Acacb
HMDB0000030	Biotin	C10H16N2O3S	HMDBP00019	Pyruvate carboxylase, mitochondrial	P11498	Unknown	Pc
HMDB0000030	Biotin	C10H16N2O3S	HMDBP00047	Acetyl-CoA carboxylase 1	Q13085	Unknown	Acaca
HMDB0000030	Biotin	C10H16N2O3S	HMDBP00258	Propionyl-CoA carboxylase beta chain, mitochondrial	P05166	Enzyme	Pccb
HMDB0000030	Biotin	C10H16N2O3S	HMDBP00259	Propionyl-CoA carboxylase alpha chain, mitochondrial	P05165	Enzyme	Pcca
HMDB0000030	Biotin	C10H16N2O3S	HMDBP00508	Methylcrotonoyl-CoA carboxylase beta chain, mitochondrial	Q9HCC0	Enzyme	Mccc2
HMDB0000030	Biotin	C10H16N2O3S	HMDBP00509	Biotin--protein ligase	P50747	Enzyme	Hlcs
HMDB0000030	Biotin	C10H16N2O3S	HMDBP00510	Methylcrotonoyl-CoA carboxylase subunit alpha, mitochondrial	Q96RQ3	Enzyme	Mccc1
HMDB0000030	Biotin	C10H16N2O3S	HMDBP00546	Biotinidase	P43251	Enzyme	Btd
HMDB0000030	Biotin	C10H16N2O3S	HMDBP01547	Cytochrome P450 1B1	Q16678	Unknown	Cyp1b1
HMDB0000030	Biotin	C10H16N2O3S	HMDBP02621	Sodium-dependent multivitamin transporter	Q9Y289	Unknown	Slc5a6
HMDB0000031	Androsterone	C19H30O2	HMDBP00347	Bile salt sulfotransferase	Q06520	Enzyme	Sult2a2
HMDB0000031	Androsterone	C19H30O2	HMDBP00482	UDP-glucuronosyltransferase 2A1	Q9Y4X1	Enzyme	Ugt2a1
HMDB0000031	Androsterone	C19H30O2	HMDBP00483	UDP-glucuronosyltransferase 1-1	P22309	Enzyme	Ugt1a5
HMDB0000031	Androsterone	C19H30O2	HMDBP01624	Androgen receptor	P10275	Enzyme	Ar
HMDB0000031	Androsterone	C19H30O2	HMDBP02607	Dehydrogenase/reductase SDR family member 9	Q9BPW9	Enzyme	Dhrs9
HMDB0000031	Androsterone	C19H30O2	HMDBP03004	Retinol dehydrogenase 16	O75452	Unknown	Rdh16
HMDB0000031	Androsterone	C19H30O2	HMDBP07348	UDP-glucuronosyltransferase 2A3	Q6UWM9	Enzyme	Ugt2a3
HMDB0000032	7-Dehydrocholesterol	C27H44O	HMDBP00040	Hydroxymethylglutaryl-CoA synthase, mitochondrial	P54868	Enzyme	Hmgcs2
HMDB0000032	7-Dehydrocholesterol	C27H44O	HMDBP00548	7-dehydrocholesterol reductase	Q9UBM7	Enzyme	Dhcr7
HMDB0000032	7-Dehydrocholesterol	C27H44O	HMDBP00724	Cholesterol side-chain cleavage enzyme, mitochondrial	P05108	Unknown	Cyp11a1
HMDB0000032	7-Dehydrocholesterol	C27H44O	HMDBP01935	Delta(24)-sterol reductase	Q15392	Unknown	Dhcr24
HMDB0000033	Carnosine	C9H14N4O3	HMDBP00282	Myeloperoxidase	P05164	Unknown	Mpo
HMDB0000033	Carnosine	C9H14N4O3	HMDBP00473	Beta-Ala-His dipeptidase	Q96KN2	Unknown	Cndp1
HMDB0000033	Carnosine	C9H14N4O3	HMDBP00885	Histidine decarboxylase	P19113	Enzyme	Hdc
HMDB0000033	Carnosine	C9H14N4O3	HMDBP01682	Vimentin	P08670	Enzyme	Vim
HMDB0000033	Carnosine	C9H14N4O3	HMDBP02419	Heat shock 70 kDa protein 1A/1B	P08107	Enzyme	Hspa1a
HMDB0000033	Carnosine	C9H14N4O3	HMDBP02916	Solute carrier family 15 member 2	Q16348	Transporter	Slc15a2
HMDB0000033	Carnosine	C9H14N4O3	HMDBP08844	Carnosine synthase 1	A5YM72	Unknown	Carns1
HMDB0000034	Adenine	C5H5N5	HMDBP00181	Xanthine dehydrogenase/oxidase	P47989	Unknown	Xdh
HMDB0000034	Adenine	C5H5N5	HMDBP00397	S-methyl-5'-thioadenosine phosphorylase	Q13126	Enzyme	Mtap
HMDB0000034	Adenine	C5H5N5	HMDBP00438	Adenine phosphoribosyltransferase	P07741	Enzyme	Aprt
HMDB0000034	Adenine	C5H5N5	HMDBP00475	Hypoxanthine-guanine phosphoribosyltransferase	P00492	Unknown	Hprt1
HMDB0000034	Adenine	C5H5N5	HMDBP01011	Peroxisomal trans-2-enoyl-CoA reductase	Q9BY49	Enzyme	Pecr
HMDB0000034	Adenine	C5H5N5	HMDBP03195	Equilibrative nucleoside transporter 2	Q14542	Enzyme	Slc29a2
HMDB0000034	Adenine	C5H5N5	HMDBP03280	Equilibrative nucleoside transporter 3	Q9BZD2	Enzyme	Slc29a3
HMDB0000036	Taurocholic acid	C26H45NO7S	HMDBP00241	Bile salt-activated lipase	P19835	Unknown	Cel
HMDB0000036	Taurocholic acid	C26H45NO7S	HMDBP00446	Solute carrier organic anion transporter family member 1B3	Q9NPD5	Transporter	Slco1b2
HMDB0000036	Taurocholic acid	C26H45NO7S	HMDBP00451	Solute carrier organic anion transporter family member 1C1	Q9NYB5	Transporter	Slco1c1
HMDB0000036	Taurocholic acid	C26H45NO7S	HMDBP00454	Solute carrier organic anion transporter family member 1B1	Q9Y6L6	Transporter	Slco1b2
HMDB0000036	Taurocholic acid	C26H45NO7S	HMDBP00502	Cholesterol 7-alpha-monooxygenase	P22680	Unknown	Cyp7a1
HMDB0000036	Taurocholic acid	C26H45NO7S	HMDBP00549	Bile acid-CoA:amino acid N-acyltransferase	Q14032	Enzyme	Baat
HMDB0000036	Taurocholic acid	C26H45NO7S	HMDBP01111	Monocarboxylate transporter 1	P53985	Transporter	Slc16a1
HMDB0000036	Taurocholic acid	C26H45NO7S	HMDBP01658	Canalicular multispecific organic anion transporter 1	Q92887	Transporter	Abcc2
HMDB0000036	Taurocholic acid	C26H45NO7S	HMDBP01858	Multidrug resistance-associated protein 1	P33527	Transporter	Abcc1
HMDB0000036	Taurocholic acid	C26H45NO7S	HMDBP02021	Solute carrier organic anion transporter family member 2B1	O94956	Transporter	Slco2b1
HMDB0000036	Taurocholic acid	C26H45NO7S	HMDBP02040	Canalicular multispecific organic anion transporter 2	O15438	Transporter	Abcc3
HMDB0000036	Taurocholic acid	C26H45NO7S	HMDBP02052	Bile salt export pump	O95342	Transporter	Abcb11
HMDB0000036	Taurocholic acid	C26H45NO7S	HMDBP02101	Multidrug resistance protein 1	P08183	Transporter	Abcb1a
HMDB0000036	Taurocholic acid	C26H45NO7S	HMDBP02257	ATP-binding cassette sub-family G member 2	Q9UNQ0	Transporter	Abcg3l4
HMDB0000036	Taurocholic acid	C26H45NO7S	HMDBP02461	Ileal sodium/bile acid cotransporter	Q12908	Transporter	Slc10a2
HMDB0000036	Taurocholic acid	C26H45NO7S	HMDBP02550	Sodium/bile acid cotransporter	Q14973	Transporter	Slc10a1
HMDB0000036	Taurocholic acid	C26H45NO7S	HMDBP02574	Solute carrier family 22 member 1	O15245	Transporter	Slc22a1
HMDB0000036	Taurocholic acid	C26H45NO7S	HMDBP02683	Solute carrier organic anion transporter family member 1A2	P46721	Transporter	Slco1a5
HMDB0000036	Taurocholic acid	C26H45NO7S	HMDBP03202	Solute carrier organic anion transporter family member 4A1	Q96BD0	Transporter	Slco4a1
HMDB0000036	Taurocholic acid	C26H45NO7S	HMDBP03952	Multidrug resistance-associated protein 4	O15439	Transporter	Abcc4
HMDB0000036	Taurocholic acid	C26H45NO7S	HMDBP05562	Solute carrier organic anion transporter family member 3A1	Q9UIG8	Transporter	Slco3a1
HMDB0000036	Taurocholic acid	C26H45NO7S	HMDBP07986	Solute carrier family 22 member 6	Q4U2R8	Transporter	Slc22a6
HMDB0000036	Taurocholic acid	C26H45NO7S	HMDBP09119	Gastrotropin	P51161	Unknown	Fabp6
HMDB0000037	Aldosterone	C21H28O5	HMDBP00550	3-oxo-5-beta-steroid 4-dehydrogenase	P51857	Enzyme	Akr1d1
HMDB0000037	Aldosterone	C21H28O5	HMDBP01258	Serine/threonine-protein kinase Sgk1	O00141	Unknown	Sgk1
HMDB0000037	Aldosterone	C21H28O5	HMDBP01456	Epidermal growth factor receptor	P00533	Enzyme	Egfr
HMDB0000037	Aldosterone	C21H28O5	HMDBP01471	Serine/threonine-protein kinase D1	Q15139	Unknown	Prkd1
HMDB0000037	Aldosterone	C21H28O5	HMDBP02074	Fibronectin	P02751	Enzyme	Fn1
HMDB0000037	Aldosterone	C21H28O5	HMDBP02137	Natriuretic peptides B	P16860	Enzyme	Nppb
HMDB0000037	Aldosterone	C21H28O5	HMDBP02164	Type-1 angiotensin II receptor	P30556	Unknown	Agtr1b
HMDB0000037	Aldosterone	C21H28O5	HMDBP02638	Mineralocorticoid receptor	P08235	Unknown	Nr3c2
HMDB0000037	Aldosterone	C21H28O5	HMDBP02753	ADM	P35318	Enzyme	Adm
HMDB0000037	Aldosterone	C21H28O5	HMDBP02789	Prostaglandin E2 receptor EP4 subtype	P35408	Enzyme	Ptger4
HMDB0000037	Aldosterone	C21H28O5	HMDBP08480	Melanophilin	Q9BV36	Unknown	Mlph
HMDB0000038	Dihydrobiopterin	C9H13N5O3	HMDBP00087	Tyrosinase	P14679	Unknown	Tyr
HMDB0000038	Dihydrobiopterin	C9H13N5O3	HMDBP00273	Tyrosine 3-monooxygenase	P07101	Enzyme	Th
HMDB0000038	Dihydrobiopterin	C9H13N5O3	HMDBP00436	Sepiapterin reductase	P35270	Enzyme	Spr-ps1
HMDB0000038	Dihydrobiopterin	C9H13N5O3	HMDBP00469	Tryptophan 5-hydroxylase 1	P17752	Enzyme	Tph1
HMDB0000038	Dihydrobiopterin	C9H13N5O3	HMDBP00545	Dihydropteridine reductase	P09417	Unknown	AABR07068905.1
HMDB0000038	Dihydrobiopterin	C9H13N5O3	HMDBP00790	Dihydrofolate reductase	P00374	Enzyme	Dhfr
HMDB0000038	Dihydrobiopterin	C9H13N5O3	HMDBP00928	Nitric oxide synthase, brain	P29475	Unknown	Nos1
HMDB0000038	Dihydrobiopterin	C9H13N5O3	HMDBP00929	Nitric oxide synthase, endothelial	P29474	Unknown	Nos3
HMDB0000038	Dihydrobiopterin	C9H13N5O3	HMDBP02872	Pterin-4-alpha-carbinolamine dehydratase	P61457	Enzyme	Pcbd1
HMDB0000038	Dihydrobiopterin	C9H13N5O3	HMDBP11613	Alkylglycerol monooxygenase	Q6ZNB7	Unknown	Agmo
HMDB0000039	Butyric acid	C4H8O2	HMDBP00483	UDP-glucuronosyltransferase 1-1	P22309	Enzyme	Ugt1a5
HMDB0000039	Butyric acid	C4H8O2	HMDBP00525	Cholinesterase	P06276	Enzyme	Bche
HMDB0000039	Butyric acid	C4H8O2	HMDBP01111	Monocarboxylate transporter 1	P53985	Transporter	Slc16a1
HMDB0000039	Butyric acid	C4H8O2	HMDBP02070	Tumor necrosis factor	P01375	Enzyme	Tnf
HMDB0000039	Butyric acid	C4H8O2	HMDBP02173	Peroxisome proliferator-activated receptor gamma	P37231	Enzyme	Pparg
HMDB0000039	Butyric acid	C4H8O2	HMDBP02195	Histone deacetylase 4	P56524	Enzyme	Hdac4
HMDB0000039	Butyric acid	C4H8O2	HMDBP02256	Histone deacetylase 9	Q9UKV0	Enzyme	Hdac9
HMDB0000039	Butyric acid	C4H8O2	HMDBP04188	Acyl-coenzyme A synthetase ACSM1, mitochondrial	Q08AH1	Unknown	Acsm2
HMDB0000039	Butyric acid	C4H8O2	HMDBP08699	Acyl-coenzyme A synthetase ACSM2A, mitochondrial	Q08AH3	Unknown	Acsm2
HMDB0000039	Butyric acid	C4H8O2	HMDBP08700	Acyl-coenzyme A synthetase ACSM2B, mitochondrial	Q68CK6	Unknown	Acsm2
HMDB0000039	Butyric acid	C4H8O2	HMDBP08701	Acyl-coenzyme A synthetase ACSM3, mitochondrial	Q53FZ2	Unknown	Acsm3
HMDB0000039	Butyric acid	C4H8O2	HMDBP08702	Acyl-coenzyme A synthetase ACSM5, mitochondrial	Q6NUN0	Unknown	Acsm5
HMDB0000039	Butyric acid	C4H8O2	HMDBP09107	Histone deacetylase 2	Q92769	Unknown	Hdac2
