mappingID1	MetaboliteName	chemical_formula	protein_accession	ProteinName	UniProt	protein_type	mappingID2	detectedPair1	detectedPair2	EdgeColor	EdgeLine	sorted_pairs	Size8	Size7	Size6	Size5	Size4	Size3	Size2	Size1
HMDB0000082	Cytidine triphosphate	C9H16N3O14P3	HMDBP00109	Nucleoside diphosphate kinase A	P15531	Unknown	Nme1	*	*	Unknown	Solid	HMDB0000082_Nme1								
HMDB0000082	Cytidine triphosphate	C9H16N3O14P3	HMDBP00110	Nucleoside diphosphate kinase 7	Q9Y5B8	Unknown	Nme7	*	*	Unknown	Solid	HMDB0000082_Nme7								
HMDB0000082	Cytidine triphosphate	C9H16N3O14P3	HMDBP00112	Nucleoside diphosphate kinase B	P22392	Unknown	Nme2	*	*	Unknown	Solid	HMDB0000082_Nme2								
HMDB0000082	Cytidine triphosphate	C9H16N3O14P3	HMDBP00113	Nucleoside diphosphate kinase 3	Q13232	Unknown	Nme3	*	*	Unknown	Solid	HMDB0000082_Nme3								
HMDB0000082	Cytidine triphosphate	C9H16N3O14P3	HMDBP00114	Nucleoside diphosphate kinase 6	O75414	Unknown	Nme6	*	*	Unknown	Solid	HMDB0000082_Nme6								
HMDB0000082	Cytidine triphosphate	C9H16N3O14P3	HMDBP00431	Inosine triphosphate pyrophosphatase	Q9BY32	Unknown	Itpa	*	*	Unknown	Solid	HMDB0000082_Itpa								
HMDB0000082	Cytidine triphosphate	C9H16N3O14P3	HMDBP00676	CTP synthase 1	P17812	Unknown	Ctps1	*	*	Unknown	Solid	HMDB0000082_Ctps1								
HMDB0000082	Cytidine triphosphate	C9H16N3O14P3	HMDBP00734	6-phosphofructokinase type C	Q01813	Unknown	Pfkp	*	*	Unknown	Solid	HMDB0000082_Pfkp								
HMDB0000082	Cytidine triphosphate	C9H16N3O14P3	HMDBP00736	DNA-directed RNA polymerase III subunit RPC4	P05423	Enzyme	Polr3d	*	*	Enzyme	Solid	HMDB0000082_Polr3d								
HMDB0000082	Cytidine triphosphate	C9H16N3O14P3	HMDBP00737	DNA-directed RNA polymerase II subunit RPB2	P30876	Unknown	Polr2b	*	*	Unknown	Solid	HMDB0000082_Polr2b								
HMDB0000082	Cytidine triphosphate	C9H16N3O14P3	HMDBP00738	Ethanolamine-phosphate cytidylyltransferase	Q99447	Enzyme	Pcyt2	*	*	Enzyme	Solid	HMDB0000082_Pcyt2								
HMDB0000082	Cytidine triphosphate	C9H16N3O14P3	HMDBP00739	DNA-directed RNA polymerase II subunit RPB1	P24928	Unknown	Polr2a	*	*	Unknown	Solid	HMDB0000082_Polr2a								
HMDB0000082	Cytidine triphosphate	C9H16N3O14P3	HMDBP00742	DNA-directed RNA polymerase, mitochondrial	O00411	Enzyme	Polrmt	*	*	Enzyme	Solid	HMDB0000082_Polrmt								
HMDB0000082	Cytidine triphosphate	C9H16N3O14P3	HMDBP00743	DNA-directed RNA polymerase I subunit RPA2	Q9H9Y6	Enzyme	Polr1b	*	*	Enzyme	Solid	HMDB0000082_Polr1b								
HMDB0000082	Cytidine triphosphate	C9H16N3O14P3	HMDBP00746	Phosphatidate cytidylyltransferase 2	O95674	Enzyme	Cds2	*	*	Enzyme	Solid	HMDB0000082_Cds2								
HMDB0000082	Cytidine triphosphate	C9H16N3O14P3	HMDBP00752	DNA-directed RNA polymerase III subunit RPC2	Q9NW08	Enzyme	Polr3b	*	*	Enzyme	Solid	HMDB0000082_Polr3b								
HMDB0000082	Cytidine triphosphate	C9H16N3O14P3	HMDBP00755	Choline-phosphate cytidylyltransferase A	P49585	Enzyme	Pcyt1a	*	*	Enzyme	Solid	HMDB0000082_Pcyt1a								
HMDB0000082	Cytidine triphosphate	C9H16N3O14P3	HMDBP00756	DNA-directed RNA polymerase I subunit RPA49	Q9GZS1	Enzyme	Polr1e	*	*	Enzyme	Solid	HMDB0000082_Polr1e								
HMDB0000082	Cytidine triphosphate	C9H16N3O14P3	HMDBP00758	6-phosphofructokinase, liver type	P17858	Unknown	Pfkl	*	*	Unknown	Solid	HMDB0000082_Pfkl								
HMDB0000082	Cytidine triphosphate	C9H16N3O14P3	HMDBP00760	DNA-directed RNA polymerase III subunit RPC8	Q9Y535	Enzyme	Polr3h	*	*	Enzyme	Solid	HMDB0000082_Polr3h								
HMDB0000082	Cytidine triphosphate	C9H16N3O14P3	HMDBP00761	DNA-directed RNA polymerase III subunit RPC10	Q9Y2Y1	Unknown	Polr3k	*	*	Unknown	Solid	HMDB0000082_Polr3k								
HMDB0000082	Cytidine triphosphate	C9H16N3O14P3	HMDBP00762	6-phosphofructokinase, muscle type	P08237	Unknown	Pfkm	*	*	Unknown	Solid	HMDB0000082_Pfkm								
HMDB0000082	Cytidine triphosphate	C9H16N3O14P3	HMDBP00764	Phosphatidate cytidylyltransferase 1	Q92903	Unknown	Cds1	*	*	Unknown	Solid	HMDB0000082_Cds1								
HMDB0000082	Cytidine triphosphate	C9H16N3O14P3	HMDBP00765	Pyruvate kinase isozymes R/L	P30613	Unknown	Pklr	*	*	Unknown	Solid	HMDB0000082_Pklr								
HMDB0000082	Cytidine triphosphate	C9H16N3O14P3	HMDBP02576	Uridine-cytidine kinase 2	Q9BZX2	Unknown	Uck2	*	*	Unknown	Solid	HMDB0000082_Uck2								
HMDB0000082	Cytidine triphosphate	C9H16N3O14P3	HMDBP03007	Phosphopantothenate--cysteine ligase	Q9HAB8	Enzyme	Ppcs	*	*	Enzyme	Solid	HMDB0000082_Ppcs								
HMDB0000082	Cytidine triphosphate	C9H16N3O14P3	HMDBP03298	CAD protein	P27708	Unknown	Cad	*	*	Unknown	Solid	HMDB0000082_Cad								
HMDB0000082	Cytidine triphosphate	C9H16N3O14P3	HMDBP04074	CTP synthase 2	Q9NRF8	Enzyme	Ctps2	*	*	Enzyme	Solid	HMDB0000082_Ctps2								
HMDB0000082	Cytidine triphosphate	C9H16N3O14P3	HMDBP07670	Ectonucleoside triphosphate diphosphohydrolase 8	Q5MY95	Unknown	Entpd8	*	*	Unknown	Solid	HMDB0000082_Entpd8								
HMDB0000082	Cytidine triphosphate	C9H16N3O14P3	HMDBP09344	DNA-directed RNA polymerase III subunit RPC1	O14802	Enzyme	Polr3a	*	*	Enzyme	Solid	HMDB0000082_Polr3a								
HMDB0000082	Cytidine triphosphate	C9H16N3O14P3	HMDBP09345	DNA-directed RNA polymerase I subunit RPA1	O95602	Enzyme	Polr1a	*	*	Enzyme	Solid	HMDB0000082_Polr1a								
HMDB0000082	Cytidine triphosphate	C9H16N3O14P3	HMDBP09347	DNA-directed RNA polymerases I and III subunit RPAC2	Q9Y2S0	Enzyme	Polr1d	*	*	Enzyme	Solid	HMDB0000082_Polr1d								
HMDB0000082	Cytidine triphosphate	C9H16N3O14P3	HMDBP09350	POLR1C protein	Q96HT3	Enzyme	Polr1c	*	*	Enzyme	Solid	HMDB0000082_Polr1c								
HMDB0000082	Cytidine triphosphate	C9H16N3O14P3	HMDBP11852	Nucleoside diphosphate kinase homolog 5	P56597	Unknown	Nme5	*	*	Unknown	Solid	HMDB0000082_Nme5		*	*					*
HMDB0000082	Cytidine triphosphate	C9H16N3O14P3	HMDBP11911	DNA-directed RNA polymerases I, II, and III subunit RPABC1	P19388	Unknown	Polr2e	*	*	Unknown	Solid	HMDB0000082_Polr2e								
HMDB0000082	Cytidine triphosphate	C9H16N3O14P3	HMDBP11912	DNA-directed RNA polymerases I, II, and III subunit RPABC2	P61218	Unknown	Polr2f	*	*	Unknown	Solid	HMDB0000082_Polr2f								
HMDB0000082	Cytidine triphosphate	C9H16N3O14P3	HMDBP11916	DNA-directed RNA polymerases I and III subunit RPAC1	O15160	Unknown	Polr1c	*	*	Unknown	Solid	HMDB0000082_Polr1c								
HMDB0000082	Cytidine triphosphate	C9H16N3O14P3	HMDBP11918	DNA-directed RNA polymerase II subunit RPB11-a	P52435	Unknown	Polr2j	*	*	Unknown	Solid	HMDB0000082_Polr2j								
HMDB0000082	Cytidine triphosphate	C9H16N3O14P3	HMDBP11920	DNA-directed RNA polymerase II subunit RPB3	P19387	Unknown	Polr2c	*	*	Unknown	Solid	HMDB0000082_Polr2c								
HMDB0000082	Cytidine triphosphate	C9H16N3O14P3	HMDBP11921	DNA-directed RNA polymerase II subunit RPB4	O15514	Unknown	Polr2d	*	*	Unknown	Solid	HMDB0000082_Polr2d								
HMDB0000082	Cytidine triphosphate	C9H16N3O14P3	HMDBP11922	DNA-directed RNA polymerase II subunit RPB7	P62487	Unknown	Polr2g	*	*	Unknown	Solid	HMDB0000082_Polr2g								
HMDB0000082	Cytidine triphosphate	C9H16N3O14P3	HMDBP11924	DNA-directed RNA polymerase III subunit RPC3	Q9BUI4	Unknown	Polr3c	*	*	Unknown	Solid	HMDB0000082_Polr3c								
HMDB0000082	Cytidine triphosphate	C9H16N3O14P3	HMDBP11925	DNA-directed RNA polymerase III subunit RPC5	Q9NVU0	Unknown	Polr3e	*	*	Unknown	Solid	HMDB0000082_Polr3e								
HMDB0000082	Cytidine triphosphate	C9H16N3O14P3	HMDBP11926	DNA-directed RNA polymerase III subunit RPC6	Q9H1D9	Unknown	Polr3f	*	*	Unknown	Solid	HMDB0000082_Polr3f								
HMDB0000086	Glycerophosphocholine	C8H20NO6P	HMDBP00057	Group XV phospholipase A2	Q8NCC3	Unknown	Pla2g15	*	*	Unknown	Solid	HMDB0000086_Pla2g15								
HMDB0000086	Glycerophosphocholine	C8H20NO6P	HMDBP00060	Cytosolic phospholipase A2	P47712	Unknown	Pla2g4a	*	*	Unknown	Solid	HMDB0000086_Pla2g4a								
HMDB0000086	Glycerophosphocholine	C8H20NO6P	HMDBP00064	Galactoside-binding soluble lectin 13	Q9UHV8	Enzyme	Lgals9	*	*	Enzyme	Solid	HMDB0000086_Lgals9								
HMDB0000086	Glycerophosphocholine	C8H20NO6P	HMDBP00066	Acyl-protein thioesterase 2	O95372	Enzyme	Lypla2	*	*	Enzyme	Solid	HMDB0000086_Lypla2								
HMDB0000086	Glycerophosphocholine	C8H20NO6P	HMDBP07300	60 kDa lysophospholipase	Q86U10	Enzyme	Aspg	*	*	Enzyme	Solid	HMDB0000086_Aspg								
HMDB0000086	Glycerophosphocholine	C8H20NO6P	HMDBP07388	Glycerophosphodiester phosphodiesterase 1	Q9NZC3	Unknown	Gde1	*	*	Unknown	Solid	HMDB0000086_Gde1								
HMDB0000086	Glycerophosphocholine	C8H20NO6P	HMDBP07945	Calcium-independent phospholipase A2-gamma	Q9NP80	Unknown	Pnpla8	*	*	Unknown	Solid	HMDB0000086_Pnpla8								
HMDB0000086	Glycerophosphocholine	C8H20NO6P	HMDBP10677	Neuropathy target esterase	Q8IY17	Enzyme	Pnpla6	*	*	Enzyme	Solid	HMDB0000086_Pnpla6								
HMDB0000086	Glycerophosphocholine	C8H20NO6P	HMDBP11753	Glycerophosphocholine phosphodiesterase GPCPD1	Q9NPB8	Unknown	Gpcpd1	*	*	Unknown	Solid	HMDB0000086_Gpcpd1								
HMDB0000086	Glycerophosphocholine	C8H20NO6P	HMDBP11883	Patatin-like phospholipase domain-containing protein 7	Q6ZV29	Unknown	Pnpla7	*	*	Unknown	Solid	HMDB0000086_Pnpla7								
HMDB0000097	Choline	C5H14NO	HMDBP00080	Phospholipase D2	O14939	Enzyme	Pld2	*	*	Enzyme	Solid	HMDB0000097_Pld2								
HMDB0000097	Choline	C5H14NO	HMDBP00082	Phospholipase D1	Q13393	Unknown	Pld1	*	*	Unknown	Solid	HMDB0000097_Pld1								
HMDB0000097	Choline	C5H14NO	HMDBP00201	Choline dehydrogenase, mitochondrial	Q8NE62	Unknown	Chdh	*	*	Unknown	Solid	HMDB0000097_Chdh								
HMDB0000097	Choline	C5H14NO	HMDBP00525	Cholinesterase	P06276	Enzyme	Bche	*	*	Enzyme	Solid	HMDB0000097_Bche								
HMDB0000097	Choline	C5H14NO	HMDBP00755	Choline-phosphate cytidylyltransferase A	P49585	Enzyme	Pcyt1a	*	*	Enzyme	Solid	HMDB0000097_Pcyt1a								
HMDB0000097	Choline	C5H14NO	HMDBP00777	Choline/ethanolamine kinase	Q9Y259	Enzyme	Chkb	*	*	Enzyme	Solid	HMDB0000097_Chkb								
HMDB0000097	Choline	C5H14NO	HMDBP00778	Choline kinase alpha	P35790	Enzyme	Chka	*	*	Enzyme	Solid	HMDB0000097_Chka								
HMDB0000097	Choline	C5H14NO	HMDBP00783	Alcohol dehydrogenase class 4 mu/sigma chain	P40394	Unknown	Adh7	*	*	Unknown	Solid	HMDB0000097_Adh7								
HMDB0000097	Choline	C5H14NO	HMDBP00785	Alcohol dehydrogenase 6	P28332	Unknown	Adh6	*	*	Unknown	Solid	HMDB0000097_Adh6								
HMDB0000097	Choline	C5H14NO	HMDBP02574	Solute carrier family 22 member 1	O15245	Transporter	Slc22a1	*	*	Transporter	Solid	HMDB0000097_Slc22a1								
HMDB0000097	Choline	C5H14NO	HMDBP03349	Choline/ethanolaminephosphotransferase 1	Q9Y6K0	Unknown	Cept1	*	*	Unknown	Solid	HMDB0000097_Cept1								
HMDB0000097	Choline	C5H14NO	HMDBP07291	Phospholipase D3	Q8IV08	Enzyme	Pld3	*	*	Enzyme	Solid	HMDB0000097_Pld3								
HMDB0000097	Choline	C5H14NO	HMDBP07292	Phospholipase D4	Q96BZ4	Enzyme	Pld4	*	*	Enzyme	Solid	HMDB0000097_Pld4								
HMDB0000097	Choline	C5H14NO	HMDBP07388	Glycerophosphodiester phosphodiesterase 1	Q9NZC3	Unknown	Gde1	*	*	Unknown	Solid	HMDB0000097_Gde1								
HMDB0000097	Choline	C5H14NO	HMDBP10645	Phospholipase D6	Q8N2A8	Enzyme	Pld6	*	*	Enzyme	Solid	HMDB0000097_Pld6								
HMDB0000097	Choline	C5H14NO	HMDBP10796	Choline transporter-like protein 3	Q8N4M1	Transporter	Slc44a3	*	*	Transporter	Solid	HMDB0000097_Slc44a3					*			
HMDB0000097	Choline	C5H14NO	HMDBP11753	Glycerophosphocholine phosphodiesterase GPCPD1	Q9NPB8	Unknown	Gpcpd1	*	*	Unknown	Solid	HMDB0000097_Gpcpd1								
HMDB0000112	gamma-Aminobutyric acid	C4H9NO2	HMDBP00248	4-aminobutyrate aminotransferase, mitochondrial	P80404	Enzyme	Abat	*	*	Enzyme	Solid	HMDB0000112_Abat								
HMDB0000112	gamma-Aminobutyric acid	C4H9NO2	HMDBP00291	4-trimethylaminobutyraldehyde dehydrogenase	P49189	Unknown	Aldh9a1	*	*	Unknown	Solid	HMDB0000112_Aldh9a1								
HMDB0000112	gamma-Aminobutyric acid	C4H9NO2	HMDBP00293	Alpha-aminoadipic semialdehyde dehydrogenase	P49419	Unknown	Aldh7a1	*	*	Unknown	Solid	HMDB0000112_Aldh7a1								
HMDB0000112	gamma-Aminobutyric acid	C4H9NO2	HMDBP00463	Glycine amidinotransferase, mitochondrial	P50440	Enzyme	Gatm	*	*	Enzyme	Solid	HMDB0000112_Gatm								
HMDB0000112	gamma-Aminobutyric acid	C4H9NO2	HMDBP00670	Glutamine synthetase	P15104	Enzyme	Glul	*	*	Enzyme	Solid	HMDB0000112_Glul								
HMDB0000112	gamma-Aminobutyric acid	C4H9NO2	HMDBP08844	Carnosine synthase 1	A5YM72	Unknown	Carns1	*	*	Unknown	Solid	HMDB0000112_Carns1							*	
HMDB0000122	D-Glucose	C6H12O6	HMDBP00210	Glucokinase	P35557	Enzyme	Gck	*	*	Enzyme	Solid	HMDB0000122_Gck		*			*			
HMDB0000122	D-Glucose	C6H12O6	HMDBP00329	GDH/6PGL endoplasmic bifunctional protein	O95479	Unknown	H6pd	*	*	Unknown	Solid	HMDB0000122_H6pd								
HMDB0000122	D-Glucose	C6H12O6	HMDBP00369	ADP-dependent glucokinase	Q9BRR6	Unknown	Adpgk	*	*	Unknown	Solid	HMDB0000122_Adpgk								
HMDB0000122	D-Glucose	C6H12O6	HMDBP00806	Glucose-6-phosphate isomerase	P06744	Enzyme	Gpi	*	*	Enzyme	Solid	HMDB0000122_Gpi								
HMDB0000122	D-Glucose	C6H12O6	HMDBP02909	Glucokinase regulatory protein	Q14397	Enzyme	Gckr	*	*	Enzyme	Solid	HMDB0000122_Gckr								
HMDB0000123	Glycine	C2H5NO2	HMDBP00049	2-amino-3-ketobutyrate coenzyme A ligase, mitochondrial	O75600	Enzyme	Gcat	*	*	Enzyme	Solid	HMDB0000123_Gcat								
HMDB0000123	Glycine	C2H5NO2	HMDBP05340	Monocarboxylate transporter 10	Q8TF71	Transporter	Slc16a10	*	*	Transporter	Solid	HMDB0000123_Slc16a10								
HMDB0000123	Glycine	C2H5NO2	HMDBP07349	Glycine N-acyltransferase	Q6IB77	Enzyme	Glyat	*	*	Enzyme	Solid	HMDB0000123_Glyat								
HMDB0000124	Fructose 6-phosphate	C6H13O9P	HMDBP00214	Glutamine--fructose-6-phosphate aminotransferase [isomerizing] 2	O94808	Enzyme	Gfpt2	*	*	Enzyme	Solid	HMDB0000124_Gfpt2	*	*						
HMDB0000124	Fructose 6-phosphate	C6H13O9P	HMDBP00216	Glutamine--fructose-6-phosphate aminotransferase [isomerizing] 1	Q06210	Enzyme	Gfpt1	*	*	Enzyme	Solid	HMDB0000124_Gfpt1	*	*						
HMDB0000124	Fructose 6-phosphate	C6H13O9P	HMDBP00734	6-phosphofructokinase type C	Q01813	Unknown	Pfkp	*	*	Unknown	Solid	HMDB0000124_Pfkp	*	*						
HMDB0000124	Fructose 6-phosphate	C6H13O9P	HMDBP00758	6-phosphofructokinase, liver type	P17858	Unknown	Pfkl	*	*	Unknown	Solid	HMDB0000124_Pfkl	*	*						
HMDB0000124	Fructose 6-phosphate	C6H13O9P	HMDBP00762	6-phosphofructokinase, muscle type	P08237	Unknown	Pfkm	*	*	Unknown	Solid	HMDB0000124_Pfkm	*	*						
HMDB0000124	Fructose 6-phosphate	C6H13O9P	HMDBP00805	Transketolase	P29401	Unknown	Tkt	*	*	Unknown	Solid	HMDB0000124_Tkt	*	*						
HMDB0000124	Fructose 6-phosphate	C6H13O9P	HMDBP00806	Glucose-6-phosphate isomerase	P06744	Enzyme	Gpi	*	*	Enzyme	Solid	HMDB0000124_Gpi	*	*						
HMDB0000125	Glutathione	C10H17N3O6S	HMDBP00196	Glutathione reductase, mitochondrial	P00390	Unknown	Gsr	*	*	Unknown	Solid	HMDB0000125_Gsr				*				
HMDB0000125	Glutathione	C10H17N3O6S	HMDBP00730	Gamma-glutamyltranspeptidase 1	P19440	Enzyme	Ggt1	*	*	Enzyme	Solid	HMDB0000125_Ggt1				*				
HMDB0000125	Glutathione	C10H17N3O6S	HMDBP00731	Gamma-glutamyltransferase 7	Q9UJ14	Enzyme	Ggt7	*	*	Enzyme	Solid	HMDB0000125_Ggt7				*				
HMDB0000125	Glutathione	C10H17N3O6S	HMDBP00791	Glutathione synthetase	P48637	Enzyme	Gss	*	*	Enzyme	Solid	HMDB0000125_Gss				*				
HMDB0000125	Glutathione	C10H17N3O6S	HMDBP00808	Glutathione S-transferase Mu 2	P28161	Enzyme	Gstm2	*	*	Enzyme	Solid	HMDB0000125_Gstm2				*				
HMDB0000125	Glutathione	C10H17N3O6S	HMDBP02344	RalA-binding protein 1	Q15311	Unknown	Ralbp1	*	*	Unknown	Solid	HMDB0000125_Ralbp1				*				
HMDB0000125	Glutathione	C10H17N3O6S	HMDBP09342	GGT7 protein	A0PJJ9	Enzyme	Ggt7	*	*	Enzyme	Solid	HMDB0000125_Ggt7				*				
HMDB0000125	Glutathione	C10H17N3O6S	HMDBP11585	Glutathione S-transferase theta-2	P0CG29	Enzyme	Gstt2	*	*	Enzyme	Solid	HMDB0000125_Gstt2				*				
HMDB0000125	Glutathione	C10H17N3O6S	HMDBP11755	Glutathione S-transferase theta-2B	P0CG30	Unknown	Gstt2	*	*	Unknown	Solid	HMDB0000125_Gstt2				*				
HMDB0000132	Guanine	C5H5N5O	HMDBP00438	Adenine phosphoribosyltransferase	P07741	Enzyme	Aprt	*	*	Enzyme	Solid	HMDB0000132_Aprt								
HMDB0000132	Guanine	C5H5N5O	HMDBP00475	Hypoxanthine-guanine phosphoribosyltransferase	P00492	Unknown	Hprt1	*	*	Unknown	Solid	HMDB0000132_Hprt1								
HMDB0000132	Guanine	C5H5N5O	HMDBP00938	GTP cyclohydrolase 1	P30793	Unknown	Gch1	*	*	Unknown	Solid	HMDB0000132_Gch1								
HMDB0000132	Guanine	C5H5N5O	HMDBP01781	Guanine nucleotide-binding protein G(s) subunit alpha isoforms short	P63092	Enzyme	Gnas	*	*	Enzyme	Solid	HMDB0000132_Gnas								
HMDB0000132	Guanine	C5H5N5O	HMDBP10758	Guanine nucleotide-binding protein G(i) subunit alpha-1	P63096	Unknown	Gnai1	*	*	Unknown	Solid	HMDB0000132_Gnai1								
HMDB0000138	Glycocholic acid	C26H43NO6	HMDBP00549	Bile acid-CoA:amino acid N-acyltransferase	Q14032	Enzyme	Baat	*	*	Enzyme	Solid	HMDB0000138_Baat						*		
HMDB0000138	Glycocholic acid	C26H43NO6	HMDBP07349	Glycine N-acyltransferase	Q6IB77	Enzyme	Glyat	*	*	Enzyme	Solid	HMDB0000138_Glyat						*		
HMDB0000148	L-Glutamic acid	C5H9NO4	HMDBP00196	Glutathione reductase, mitochondrial	P00390	Unknown	Gsr	*	*	Unknown	Solid	HMDB0000148_Gsr								
HMDB0000148	L-Glutamic acid	C5H9NO4	HMDBP00214	Glutamine--fructose-6-phosphate aminotransferase [isomerizing] 2	O94808	Enzyme	Gfpt2	*	*	Enzyme	Solid	HMDB0000148_Gfpt2								
HMDB0000148	L-Glutamic acid	C5H9NO4	HMDBP00216	Glutamine--fructose-6-phosphate aminotransferase [isomerizing] 1	Q06210	Enzyme	Gfpt1	*	*	Enzyme	Solid	HMDB0000148_Gfpt1								
HMDB0000148	L-Glutamic acid	C5H9NO4	HMDBP00248	4-aminobutyrate aminotransferase, mitochondrial	P80404	Enzyme	Abat	*	*	Enzyme	Solid	HMDB0000148_Abat								
HMDB0000148	L-Glutamic acid	C5H9NO4	HMDBP00283	Aspartate aminotransferase, cytoplasmic	P17174	Enzyme	Got1	*	*	Enzyme	Solid	HMDB0000148_Got1								
HMDB0000148	L-Glutamic acid	C5H9NO4	HMDBP00284	Aspartate aminotransferase, mitochondrial	P00505	Enzyme	Got2	*	*	Enzyme	Solid	HMDB0000148_Got2								
HMDB0000148	L-Glutamic acid	C5H9NO4	HMDBP00331	Amidophosphoribosyltransferase	Q06203	Unknown	Ppat	*	*	Unknown	Solid	HMDB0000148_Ppat								
