sorted_pairs	ReactionID	type1	type2	mappingID1	mappingID2	Reaction ID	Relationship	pair1	pair2	SeedNode1	SeedNode2	detectedPair1	detectedPair2	SigNode1	SigNode2	Entity1	Entity2	EdgeColor	Direction	concordant	EdgeLine	Size8	Size7	Size6	Size5	Size4	Size3	Size2	Size1	SizeAny
11750_B2GV22	R-RNO-1483089	output	catalyst	11750	B2GV22	R-RNO-1483089	Metabolite_GeneProduct	PS [endoplasmic reticulum membrane]	Ptdss2 [endoplasmic reticulum membrane]	*		*	*	*		SimpleEntity	EntityWithAccessionedSequence	Enzyme or transporter	output_catalyst		Solid									
11750_D3Z9B7	R-RNO-1482771, R-RNO-1482897	input	catalyst	11750	D3Z9B7	R-RNO-1482771, R-RNO-1482897	Metabolite_GeneProduct	PS [endoplasmic reticulum membrane]	Pla2g4f [cytosol]	*		*		*		SimpleEntity	DefinedSet	Enzyme or transporter	input_catalyst		Dashed									
11750_D3ZLB5	R-RNO-1602374	input	catalyst	11750	D3ZLB5	R-RNO-1602374	Metabolite_GeneProduct	PS [plasma membrane]	PLA2G2F [extracellular region]	*		*		*		SimpleEntity	DefinedSet	Enzyme or transporter	input_catalyst		Dashed									
11750_D3ZQH6	R-RNO-1482771, R-RNO-1482897	input	catalyst	11750	D3ZQH6	R-RNO-1482771, R-RNO-1482897	Metabolite_GeneProduct	PS [endoplasmic reticulum membrane]	Pla2g4d [cytosol]	*		*		*		SimpleEntity	DefinedSet	Enzyme or transporter	input_catalyst		Dashed									
11750_D3ZR52	R-RNO-1482636, R-RNO-1482691	output	catalyst	11750	D3ZR52	R-RNO-1482636, R-RNO-1482691	Metabolite_GeneProduct	PS [endoplasmic reticulum membrane]	Lpcat4 [endoplasmic reticulum membrane]	*		*	*	*		SimpleEntity	DefinedSet	Enzyme or transporter	output_catalyst		Solid					*				*
11750_D4A1I6	R-RNO-1482771	input	catalyst	11750	D4A1I6	R-RNO-1482771	Metabolite_GeneProduct	PS [endoplasmic reticulum membrane]	Pla2g4b [cytosol]	*		*	*	*		SimpleEntity	DefinedSet	Enzyme or transporter	input_catalyst		Solid									
11750_F1LPY6	R-RNO-1482771	input	catalyst	11750	F1LPY6	R-RNO-1482771	Metabolite_GeneProduct	PS [endoplasmic reticulum membrane]	Pla2g4e [cytosol]	*		*		*		SimpleEntity	DefinedSet	Enzyme or transporter	input_catalyst		Dashed									
11750_F1LV18	R-RNO-1482636, R-RNO-1482691	output	catalyst	11750	F1LV18	R-RNO-1482636, R-RNO-1482691	Metabolite_GeneProduct	PS [endoplasmic reticulum membrane]	Mboat1 [endoplasmic reticulum membrane]	*		*	*	*		SimpleEntity	DefinedSet	Enzyme or transporter	output_catalyst		Solid									
11750_F7F420	R-RNO-1602374	input	catalyst	11750	F7F420	R-RNO-1602374	Metabolite_GeneProduct	PS [plasma membrane]	PLA2G2D [extracellular region]	*		*	*	*		SimpleEntity	DefinedSet	Enzyme or transporter	input_catalyst		Solid									
11750_P04055	R-RNO-1602374	input	catalyst	11750	P04055	R-RNO-1602374	Metabolite_GeneProduct	PS [plasma membrane]	PLA2G1B [extracellular region]	*		*		*		SimpleEntity	DefinedSet	Enzyme or transporter	input_catalyst		Dashed									
11750_P14423	R-RNO-1482776, R-RNO-1602374	input	catalyst	11750	P14423	R-RNO-1482776, R-RNO-1602374	Metabolite_GeneProduct	PS [endoplasmic reticulum membrane], PS [plasma membrane]	PLA2G2A [endoplasmic reticulum membrane], PLA2G2A [extracellular region]	*		*	*	*		SimpleEntity	Complex, DefinedSet	Enzyme or transporter	input_catalyst		Solid									
11750_P50393	R-RNO-1482771, R-RNO-1482897	input	catalyst	11750	P50393	R-RNO-1482771, R-RNO-1482897	Metabolite_GeneProduct	PS [endoplasmic reticulum membrane]	PLA2G4A [cytosol]	*		*	*	*		SimpleEntity	DefinedSet	Enzyme or transporter	input_catalyst		Solid									
11750_P51433	R-RNO-1602374	input	catalyst	11750	P51433	R-RNO-1602374	Metabolite_GeneProduct	PS [plasma membrane]	PLA2G5 [extracellular region]	*		*		*		SimpleEntity	DefinedSet	Enzyme or transporter	input_catalyst		Dashed									
11750_P53817	R-RNO-1482771	input	catalyst	11750	P53817	R-RNO-1482771	Metabolite_GeneProduct	PS [endoplasmic reticulum membrane]	Plaat3 [cytosol]	*		*	*	*		SimpleEntity	DefinedSet	Enzyme or transporter	input_catalyst		Solid									
11750_Q5FVN0	R-RNO-1482636, R-RNO-1482691	output	catalyst	11750	Q5FVN0	R-RNO-1482636, R-RNO-1482691	Metabolite_GeneProduct	PS [endoplasmic reticulum membrane]	Lpcat3 [endoplasmic reticulum membrane]	*		*	*	*		SimpleEntity	DefinedSet	Enzyme or transporter	output_catalyst		Solid									
11750_Q5PQL5	R-RNO-1483186	output	catalyst	11750	Q5PQL5	R-RNO-1483186	Metabolite_GeneProduct	PS [endoplasmic reticulum membrane]	Ptdss1 [endoplasmic reticulum membrane]	*		*	*	*		SimpleEntity	EntityWithAccessionedSequence	Enzyme or transporter	output_catalyst		Solid									
11750_Q9QZT3	R-RNO-1602374	input	catalyst	11750	Q9QZT3	R-RNO-1602374	Metabolite_GeneProduct	PS [plasma membrane]	PLA2G10 [extracellular region]	*		*		*		SimpleEntity	DefinedSet	Enzyme or transporter	input_catalyst		Dashed									
143594_28061	R-RNO-9841189	input	output	143594	28061	R-RNO-9841189	Metabolite_Metabolite	Gal2Cer [lysosomal lumen]	Gal [lysosomal lumen]		*		*		*	Complex	SimpleEntity	Metabolic Transformation	input_output		Dashed									
143594_36498	R-RNO-9841189	input	output	143594	36498	R-RNO-9841189	Metabolite_Metabolite	Gal2Cer [lysosomal lumen]	GalCer [lysosomal lumen]		*		*		*	Complex	SimpleEntity	Metabolic Transformation	input_output		Dashed									
15354_15355	R-RNO-264622	input	output	15354	15355	R-RNO-264622	Metabolite_Metabolite	Cho [cytosol]	AcCho [cytosol]	*	*	*	*	*	*	SimpleEntity	SimpleEntity	Metabolic Transformation	input_output		Solid									
15354_15710	R-RNO-6797961	input	output	15354	15710	R-RNO-6797961	Metabolite_Metabolite	Cho [mitochondrial matrix]	BETALD [mitochondrial matrix]	*		*		*		SimpleEntity	SimpleEntity	Metabolic Transformation	input_output		Dashed									
15354_30616	R-RNO-1483004	input	input	15354	30616	R-RNO-1483004	Metabolite_Metabolite	Cho [cytosol]	ATP [cytosol]	*		*		*		SimpleEntity	SimpleEntity	SameComplex	input_input		Dashed									
15354_33384	R-RNO-1483186	input	output	33384	15354	R-RNO-1483186	Metabolite_Metabolite	L-Ser [cytosol]	Cho [cytosol]		*		*		*	SimpleEntity	SimpleEntity	Metabolic Transformation	input_output		Dashed									
15354_36700	R-RNO-1483004	input	output	15354	36700	R-RNO-1483004	Metabolite_Metabolite	Cho [cytosol]	PCho [cytosol]	*		*		*		SimpleEntity	SimpleEntity	Metabolic Transformation	input_output		Dashed									
15354_43474	R-RNO-1483159	output	output	15354	43474	R-RNO-1483159	Metabolite_Metabolite	Cho [cytosol]	Pi [cytosol]	*		*		*		SimpleEntity	SimpleEntity	SameComplex	output_output		Dashed									
15354_456216	R-RNO-1483004	input	output	15354	456216	R-RNO-1483004	Metabolite_Metabolite	Cho [cytosol]	ADP [cytosol]	*		*		*		SimpleEntity	SimpleEntity	Metabolic Transformation	input_output		Dashed									
15354_57287	R-RNO-264622	input	output	15354	57287	R-RNO-264622	Metabolite_Metabolite	Cho [cytosol]	CoA-SH [cytosol]	*		*		*		SimpleEntity	SimpleEntity	Metabolic Transformation	input_output		Dashed									
15354_57288	R-RNO-264622	input	input	57288	15354	R-RNO-264622	Metabolite_Metabolite	Ac-CoA [cytosol]	Cho [cytosol]		*		*		*	SimpleEntity	SimpleEntity	SameComplex	input_input		Dashed									
15354_57643	R-RNO-1483182, R-RNO-1483186	input	output	57643	15354	R-RNO-1483182, R-RNO-1483186	Metabolite_Metabolite	PC [endoplasmic reticulum membrane]	Cho [cytosol]	*	*	*	*	*	*	SimpleEntity	SimpleEntity	Metabolic Transformation	input_output		Solid									
15354_57739	R-RNO-1483182	output	output	57739	15354	R-RNO-1483182	Metabolite_Metabolite	PA [endoplasmic reticulum membrane]	Cho [cytosol]		*		*		*	SimpleEntity	SimpleEntity	SameComplex	output_output		Dashed									
15354_A0A8I5ZLE8	R-RNO-444433	input	catalyst	15354	A0A8I5ZLE8	R-RNO-444433	Metabolite_GeneProduct	Cho [extracellular region]	Slc44a5 [plasma membrane]	*		*		*		SimpleEntity	DefinedSet	Enzyme or transporter	input_catalyst		Dashed									
15354_B4F795	R-RNO-444433	input	catalyst	15354	B4F795	R-RNO-444433	Metabolite_GeneProduct	Cho [extracellular region]	Slc44a2 [plasma membrane]	*		*	*	*		SimpleEntity	DefinedSet	Enzyme or transporter	input_catalyst		Solid									
15354_O54783	R-RNO-1483004	input	catalyst	15354	O54783	R-RNO-1483004	Metabolite_GeneProduct	Cho [cytosol]	CHKB [cytosol]	*	*	*	*	*	*	SimpleEntity	DefinedSet	Enzyme or transporter	input_catalyst	Substrate-Enzyme	Solid									
15354_P32738	R-RNO-264622	input	catalyst	15354	P32738	R-RNO-264622	Metabolite_GeneProduct	Cho [cytosol]	CHAT [cytosol]	*		*		*		SimpleEntity	EntityWithAccessionedSequence	Enzyme or transporter	input_catalyst		Dashed									
15354_P70496	R-RNO-1483182	output	catalyst	15354	P70496	R-RNO-1483182	Metabolite_GeneProduct	Cho [cytosol]	Pld1 [endoplasmic reticulum membrane]	*		*	*	*		SimpleEntity	DefinedSet	Enzyme or transporter	output_catalyst		Solid									
15354_P70498	R-RNO-1483182	output	catalyst	15354	P70498	R-RNO-1483182	Metabolite_GeneProduct	Cho [cytosol]	Pld2 [endoplasmic reticulum membrane]	*		*	*	*		SimpleEntity	DefinedSet	Enzyme or transporter	output_catalyst		Solid									
15354_Q5PQL5	R-RNO-1483186	output	catalyst	15354	Q5PQL5	R-RNO-1483186	Metabolite_GeneProduct	Cho [cytosol]	Ptdss1 [endoplasmic reticulum membrane]	*		*	*	*		SimpleEntity	EntityWithAccessionedSequence	Enzyme or transporter	output_catalyst		Solid									
15354_Q6AY92	R-RNO-444433	input	catalyst	15354	Q6AY92	R-RNO-444433	Metabolite_GeneProduct	Cho [extracellular region]	Slc44a3 [plasma membrane]	*	*	*	*	*	*	SimpleEntity	DefinedSet	Enzyme or transporter	input_catalyst	Substrate-Enzyme	Solid					*				*
15354_Q6MG71	R-RNO-444433	input	catalyst	15354	Q6MG71	R-RNO-444433	Metabolite_GeneProduct	Cho [extracellular region]	Slc44a4 [plasma membrane]	*		*	*	*		SimpleEntity	DefinedSet	Enzyme or transporter	input_catalyst		Solid									
15354_Q8VII6	R-RNO-444433, R-RNO-6797956	input	catalyst	15354	Q8VII6	R-RNO-444433, R-RNO-6797956	Metabolite_GeneProduct	Cho [extracellular region], Cho [cytosol]	Slc44a1 [plasma membrane], Slc44a1 [mitochondrial outer membrane]	*		*	*	*		SimpleEntity	DefinedSet, EntityWithAccessionedSequence	Enzyme or transporter	input_catalyst		Solid									
15355_57287	R-RNO-264622	output	output	57287	15355	R-RNO-264622	Metabolite_Metabolite	CoA-SH [cytosol]	AcCho [cytosol]		*		*		*	SimpleEntity	SimpleEntity	SameComplex	output_output		Dashed									
15355_57288	R-RNO-264622	input	output	57288	15355	R-RNO-264622	Metabolite_Metabolite	Ac-CoA [cytosol]	AcCho [cytosol]		*		*		*	SimpleEntity	SimpleEntity	Metabolic Transformation	input_output		Dashed									
15355_P32738	R-RNO-264622	output	catalyst	15355	P32738	R-RNO-264622	Metabolite_GeneProduct	AcCho [cytosol]	CHAT [cytosol]	*		*		*		SimpleEntity	EntityWithAccessionedSequence	Enzyme or transporter	output_catalyst		Dashed									
15366_P26260	R-RNO-2022887	output	output	15366	P26260	R-RNO-2022887	Metabolite_GeneProduct	CH3COO- [Golgi lumen]	Sdc1 [Golgi lumen]		*		*		*	SimpleEntity	DefinedSet	SameComplex	output_output		Dashed									
15367_17336	R-RNO-5246478	input	input	15367	17336	R-RNO-5246478	Metabolite_Metabolite	atRA [extracellular region]	atROL [extracellular region]		*	*	*		*	DefinedSet	DefinedSet	SameComplex	input_input		Solid									
15846_17154	R-RNO-8870346, R-RNO-8938076, R-RNO-9854463, R-RNO-9861626	input	output	15846	17154	R-RNO-8870346, R-RNO-8938076, R-RNO-9854463, R-RNO-9861626	Metabolite_Metabolite	NAD+ [extracellular region], NAD+ [mitochondrial matrix]	NAM [extracellular region], NAM [mitochondrial matrix]		*		*		*	SimpleEntity	SimpleEntity	Metabolic Transformation	input_output		Dashed									
16000_57613	R-RNO-1483089	input	output	57613	16000	R-RNO-1483089	Metabolite_Metabolite	PE [endoplasmic reticulum membrane]	ETA [cytosol]	*		*	*	*		SimpleEntity	SimpleEntity	Metabolic Transformation	input_output		Solid									
16000_O54783	R-RNO-1483222	input	catalyst	16000	O54783	R-RNO-1483222	Metabolite_GeneProduct	ETA [cytosol]	CHKB [cytosol]		*	*	*		*	SimpleEntity	DefinedSet	Enzyme or transporter	input_catalyst		Solid									
16113_17002	R-RNO-2187332, R-RNO-2395764, R-RNO-2395768, R-RNO-2395784, R-RNO-2404131, R-RNO-2423785	input	input	16113	17002	R-RNO-2187332, R-RNO-2395764, R-RNO-2395768, R-RNO-2395784, R-RNO-2404131, R-RNO-2423785	Metabolite_Metabolite	CHOL [cytosol], CHOL [extracellular region]	CHEST [cytosol], CHEST [extracellular region]		*	*	*		*	Complex	Complex	SameComplex	input_input		Solid					*				*
16113_17855	R-RNO-2187332, R-RNO-2395764, R-RNO-2395768, R-RNO-2395784, R-RNO-2404131, R-RNO-2423785	input	input	17855	16113	R-RNO-2187332, R-RNO-2395764, R-RNO-2395768, R-RNO-2395784, R-RNO-2404131, R-RNO-2423785	Metabolite_Metabolite	TAG [cytosol], TAGs [extracellular region]	CHOL [cytosol], CHOL [extracellular region]	*		*	*	*		Complex	Complex	SameComplex	input_input		Solid					*				*
16113_P04639	R-RNO-2187332, R-RNO-2395764, R-RNO-2395768, R-RNO-2395784, R-RNO-2404131, R-RNO-2423785	input	input	P04639	16113	R-RNO-2187332, R-RNO-2395764, R-RNO-2395768, R-RNO-2395784, R-RNO-2404131, R-RNO-2423785	Metabolite_GeneProduct	Apoa1 [cytosol], Apoa1 [extracellular region]	CHOL [cytosol], CHOL [extracellular region]	*		*	*	*		Complex	Complex	SameComplex	input_input		Solid									
16113_P06759	R-RNO-2395768, R-RNO-2395784, R-RNO-2404131, R-RNO-2423785, R-RNO-2395768, R-RNO-2395784, R-RNO-2423785	input	output	P06759	16113	R-RNO-2395768, R-RNO-2395784, R-RNO-2404131, R-RNO-2423785	Metabolite_GeneProduct	Apoc3 [extracellular region]	CHOL [extracellular region], CHOL [early endosome]	*		*	*	*		Complex	Complex	SameComplex	input_output		Solid									
16113_P26260	R-RNO-2404131	input	input	P26260	16113	R-RNO-2404131	Metabolite_GeneProduct	Sdc1 [plasma membrane]	CHOL [extracellular region]	*		*	*	*		Complex	Complex	SameComplex	input_input		Solid									
16189_36498	R-RNO-1606807	output	output	36498	16189	R-RNO-1606807	Metabolite_Metabolite	GalCer [lysosomal lumen]	SO4(2-) [lysosomal lumen]	*		*		*		SimpleEntity	SimpleEntity	SameComplex	output_output		Dashed									
16235_16750	R-RNO-112034	input	output	16235	16750	R-RNO-112034	Metabolite_Metabolite	Gua [cytosol]	Gua-Rib [cytosol]	*	*	*	*	*	*	SimpleEntity	DefinedSet	Metabolic Transformation	input_output		Solid									
16235_17172	R-RNO-112034	input	output	16235	17172	R-RNO-112034	Metabolite_Metabolite	Gua [cytosol]	dG [cytosol]	*		*	*	*		SimpleEntity	DefinedSet	Metabolic Transformation	input_output		Solid									
16235_17368	R-RNO-74215	input	input	16235	17368	R-RNO-74215	Metabolite_Metabolite	Gua [cytosol]	Hyp [cytosol]	*		*	*	*		DefinedSet	DefinedSet	SameComplex	input_input		Solid									
16235_17712	R-RNO-74255	input	output	16235	17712	R-RNO-74255	Metabolite_Metabolite	Gua [cytosol]	XAN [cytosol]	*		*	*	*		SimpleEntity	SimpleEntity	Metabolic Transformation	input_output		Solid									
16235_33019	R-RNO-74215	input	output	16235	33019	R-RNO-74215	Metabolite_Metabolite	Gua [cytosol]	PPi [cytosol]	*		*		*		DefinedSet	SimpleEntity	Metabolic Transformation	input_output		Dashed									
16235_43474	R-RNO-112034	input	output	16235	43474	R-RNO-112034	Metabolite_Metabolite	Gua [cytosol]	Pi [cytosol]	*		*		*		SimpleEntity	SimpleEntity	Metabolic Transformation	input_output		Dashed									
16235_57673	R-RNO-8953339	input	output	57673	16235	R-RNO-8953339	Metabolite_Metabolite	dGMP [cytosol]	Gua [cytosol]		*		*		*	SimpleEntity	SimpleEntity	Metabolic Transformation	input_output		Dashed									
16235_57720	R-RNO-112034	input	input	16235	57720	R-RNO-112034	Metabolite_Metabolite	Gua [cytosol]	R1P [cytosol]	*		*		*		SimpleEntity	DefinedSet	SameComplex	input_input		Dashed									
16235_58017	R-RNO-74215	input	input	16235	58017	R-RNO-74215	Metabolite_Metabolite	Gua [cytosol]	PRPP [cytosol]	*		*		*		DefinedSet	SimpleEntity	SameComplex	input_input		Dashed									
16235_58053	R-RNO-74215	input	output	16235	58053	R-RNO-74215	Metabolite_Metabolite	Gua [cytosol]	IMP [cytosol]	*		*		*		DefinedSet	DefinedSet	Metabolic Transformation	input_output		Dashed									
16235_58115	R-RNO-74215	input	output	16235	58115	R-RNO-74215	Metabolite_Metabolite	Gua [cytosol]	GMP [cytosol]	*		*		*		DefinedSet	DefinedSet	Metabolic Transformation	input_output		Dashed									
16235_58576	R-RNO-112034	input	input	16235	58576	R-RNO-112034	Metabolite_Metabolite	Gua [cytosol]	dRibP [cytosol]	*		*		*		SimpleEntity	DefinedSet	SameComplex	input_input		Dashed									
16235_P85973	R-RNO-112034	input	catalyst	16235	P85973	R-RNO-112034	Metabolite_GeneProduct	Gua [cytosol]	PNP [cytosol]	*		*	*	*		SimpleEntity	Complex	Enzyme or transporter	input_catalyst		Solid									
16247_17002	R-RNO-2187332, R-RNO-2395764, R-RNO-2395768, R-RNO-2395784, R-RNO-2404131, R-RNO-2423785, R-RNO-8856630, R-RNO-8862380	input	input	16247	17002	R-RNO-2187332, R-RNO-2395764, R-RNO-2395768, R-RNO-2395784, R-RNO-2404131, R-RNO-2423785, R-RNO-8856630, R-RNO-8862380	Metabolite_Metabolite	PL [cytosol], PL [extracellular region], PL [lipid droplet]	CHEST [cytosol], CHEST [extracellular region], CHEST [lipid droplet]		*		*		*	Complex	Complex	SameComplex	input_input		Dashed					*				*
16247_17855	R-RNO-2187332, R-RNO-2395764, R-RNO-2395768, R-RNO-2395784, R-RNO-2404131, R-RNO-2423785, R-RNO-8856630, R-RNO-8862380	input	input	16247	17855	R-RNO-2187332, R-RNO-2395764, R-RNO-2395768, R-RNO-2395784, R-RNO-2404131, R-RNO-2423785, R-RNO-8856630, R-RNO-8862380	Metabolite_Metabolite	PL [cytosol], PL [extracellular region], PL [lipid droplet]	TAG [cytosol], TAGs [extracellular region], TAG [lipid droplet]		*		*		*	Complex	Complex	SameComplex	input_input		Dashed					*				*
16247_P04639	R-RNO-2187332, R-RNO-2395764, R-RNO-2395768, R-RNO-2395784, R-RNO-2404131, R-RNO-2423785	input	input	16247	P04639	R-RNO-2187332, R-RNO-2395764, R-RNO-2395768, R-RNO-2395784, R-RNO-2404131, R-RNO-2423785	Metabolite_GeneProduct	PL [cytosol], PL [extracellular region]	Apoa1 [cytosol], Apoa1 [extracellular region]		*		*		*	Complex	Complex	SameComplex	input_input		Dashed									
16247_P06759	R-RNO-2395768, R-RNO-2395784, R-RNO-2404131, R-RNO-2423785	input	input	16247	P06759	R-RNO-2395768, R-RNO-2395784, R-RNO-2404131, R-RNO-2423785	Metabolite_GeneProduct	PL [extracellular region]	Apoc3 [extracellular region]		*		*		*	Complex	Complex	SameComplex	input_input		Dashed									
16247_P26260	R-RNO-2404131	input	input	P26260	16247	R-RNO-2404131	Metabolite_GeneProduct	Sdc1 [plasma membrane]	PL [extracellular region]	*		*		*		Complex	Complex	SameComplex	input_input		Dashed									
16335_16750	R-RNO-109278, R-RNO-109387	output	output	16335	16750	R-RNO-109278, R-RNO-109387	Metabolite_Metabolite	Ade-Rib [extracellular region], Ade-Rib [cytosol]	Gua-Rib [extracellular region], Gua-Rib [cytosol]		*	*	*		*	DefinedSet	DefinedSet	SameComplex	output_output		Solid									
16335_17256	R-RNO-109278, R-RNO-109387	output	output	16335	17256	R-RNO-109278, R-RNO-109387	Metabolite_Metabolite	Ade-Rib [extracellular region], Ade-Rib [cytosol]	dA [extracellular region], dA [cytosol]		*	*	*		*	DefinedSet	DefinedSet	SameComplex	output_output		Solid									
16335_17596	R-RNO-74241, R-RNO-109278, R-RNO-109387	input	output	16335	17596	R-RNO-74241	Metabolite_Metabolite	Ade-Rib [cytosol]	Ino [cytosol]		*	*	*		*	DefinedSet	DefinedSet	Metabolic Transformation	input_output		Solid									
16436_17815	R-RNO-1482961	input	input	17815	16436	R-RNO-1482961	Metabolite_Metabolite	DAG [endoplasmic reticulum membrane]	CDP-Cho [cytosol]	*		*		*		SimpleEntity	SimpleEntity	SameComplex	input_input		Dashed									
16436_57643	R-RNO-1482961, R-RNO-1482973	input	output	16436	57643	R-RNO-1482961, R-RNO-1482973	Metabolite_Metabolite	CDP-Cho [cytosol]	PC [endoplasmic reticulum membrane], PC [Golgi membrane]		*		*		*	SimpleEntity	SimpleEntity	Metabolic Transformation	input_output		Dashed									
16469_Q6AY99	R-RNO-5696822	input	catalyst	16469	Q6AY99	R-RNO-5696822	Metabolite_GeneProduct	EST17b [mitochondrial matrix]	AKR1B15 [mitochondrial matrix]		*		*		*	SimpleEntity	DefinedSet	Enzyme or transporter	input_catalyst		Dashed									
16474_17336	R-RNO-2855252, R-RNO-975629	input	output	16474	17336	R-RNO-2855252, R-RNO-975629	Metabolite_Metabolite	NADPH [cytosol]	atROL [cytosol]		*	*	*		*	SimpleEntity	Complex	Metabolic Transformation	input_output		Solid									
16474_Q6AY99	R-RNO-2855252	input	catalyst	16474	Q6AY99	R-RNO-2855252	Metabolite_GeneProduct	NADPH [cytosol]	AKR1B10 [cytosol]		*	*	*		*	SimpleEntity	DefinedSet	Enzyme or transporter	input_catalyst		Solid									
16728_16870	R-RNO-1482612, R-RNO-1482629	input	output	16728	16870	R-RNO-1482612, R-RNO-1482629	Metabolite_Metabolite	2-acyl LPC [endoplasmic reticulum membrane]	GPCho [cytosol]		*		*		*	SimpleEntity	SimpleEntity	Metabolic Transformation	input_output		Dashed									
16728_57643	R-RNO-1482533	input	output	16728	57643	R-RNO-1482533	Metabolite_Metabolite	2-acyl LPC [endoplasmic reticulum membrane]	PC [endoplasmic reticulum membrane]		*		*		*	SimpleEntity	SimpleEntity	Metabolic Transformation	input_output		Dashed									
16750_17172	R-RNO-109387, R-RNO-109470, R-RNO-112034, R-RNO-74248	output	output	16750	17172	R-RNO-109387, R-RNO-109470, R-RNO-112034, R-RNO-74248	Metabolite_Metabolite	Gua-Rib [cytosol]	dG [cytosol]	*		*	*	*		DefinedSet	DefinedSet	SameComplex	output_output		Solid									
16750_17256	R-RNO-109278, R-RNO-109387	output	output	17256	16750	R-RNO-109278, R-RNO-109387	Metabolite_Metabolite	dA [extracellular region], dA [cytosol]	Gua-Rib [extracellular region], Gua-Rib [cytosol]	*	*	*	*	*	*	DefinedSet	DefinedSet	SameComplex	output_output		Solid									
16750_17596	R-RNO-109278, R-RNO-109387, R-RNO-109470, R-RNO-74248	output	output	16750	17596	R-RNO-109278, R-RNO-109387, R-RNO-109470, R-RNO-74248	Metabolite_Metabolite	Gua-Rib [extracellular region], Gua-Rib [cytosol]	Ino [extracellular region], Ino [cytosol]	*	*	*	*	*	*	DefinedSet	DefinedSet	SameComplex	output_output		Solid									
16750_28997	R-RNO-109387, R-RNO-109470, R-RNO-74248	output	output	16750	28997	R-RNO-109387, R-RNO-109470, R-RNO-74248	Metabolite_Metabolite	Gua-Rib [cytosol]	dI [cytosol]	*		*		*		DefinedSet	DefinedSet	SameComplex	output_output		Dashed									
16750_43474	R-RNO-109278, R-RNO-109387, R-RNO-109470, R-RNO-74248	output	output	16750	43474	R-RNO-109278, R-RNO-109387, R-RNO-109470, R-RNO-74248	Metabolite_Metabolite	Gua-Rib [extracellular region], Gua-Rib [cytosol]	Pi [extracellular region], Pi [cytosol]	*		*		*		DefinedSet	SimpleEntity	SameComplex	output_output		Dashed									
