mappingID1	MetaboliteName	chemical_formula	protein_accession	ProteinName	UniProt	protein_type	mappingID2	detectedPair1	detectedPair2	EdgeColor	EdgeLine	sorted_pairs	Size8	Size7	Size6	Size5	Size4	Size3	Size2	Size1	SizeAny
HMDB0000042	Acetic acid	C2H4O2	HMDBP01111	Monocarboxylate transporter 1	P53985	Transporter	Slc16a1		*	Transporter	Dashed	HMDB0000042_Slc16a1									
HMDB0000042	Acetic acid	C2H4O2	HMDBP07406	ACSS2 protein	Q96FY7	Enzyme	Acss2		*	Enzyme	Dashed	HMDB0000042_Acss2									
HMDB0000044	Ascorbic acid	C6H8O6	HMDBP00302	Prolyl 4-hydroxylase subunit alpha-2	O15460	Enzyme	P4ha2		*	Enzyme	Dashed	HMDB0000044_P4ha2									
HMDB0000044	Ascorbic acid	C6H8O6	HMDBP09211	Egl nine homolog 2	Q96KS0	Enzyme	Egln2		*	Enzyme	Dashed	HMDB0000044_Egln2									
HMDB0000044	Ascorbic acid	C6H8O6	HMDBP09212	Egl nine homolog 3	Q9H6Z9	Enzyme	Egln3		*	Enzyme	Dashed	HMDB0000044_Egln3									
HMDB0000045	Adenosine monophosphate	C10H14N5O7P	HMDBP00037	Acetyl-coenzyme A synthetase, cytoplasmic	Q9NR19	Enzyme	Acss2	*	*	Enzyme	Solid	HMDB0000045_Acss2									
HMDB0000045	Adenosine monophosphate	C10H14N5O7P	HMDBP00194	Ectonucleotide pyrophosphatase/phosphodiesterase family member 3	O14638	Unknown	Enpp3	*	*	Unknown	Solid	HMDB0000045_Enpp3									
HMDB0000045	Adenosine monophosphate	C10H14N5O7P	HMDBP00293	Alpha-aminoadipic semialdehyde dehydrogenase	P49419	Unknown	Aldh7a1	*	*	Unknown	Solid	HMDB0000045_Aldh7a1									
HMDB0000045	Adenosine monophosphate	C10H14N5O7P	HMDBP00369	ADP-dependent glucokinase	Q9BRR6	Unknown	Adpgk	*	*	Unknown	Solid	HMDB0000045_Adpgk									
HMDB0000045	Adenosine monophosphate	C10H14N5O7P	HMDBP00609	cAMP-specific 3',5'-cyclic phosphodiesterase 4B	Q07343	Unknown	Pde4b	*	*	Unknown	Solid	HMDB0000045_Pde4b									
HMDB0000045	Adenosine monophosphate	C10H14N5O7P	HMDBP00656	Argininosuccinate synthase	P00966	Enzyme	Ass1	*	*	Enzyme	Solid	HMDB0000045_Ass1									
HMDB0000045	Adenosine monophosphate	C10H14N5O7P	HMDBP01995	Transient receptor potential cation channel subfamily M member 2	O94759	Unknown	Trpm2	*	*	Unknown	Solid	HMDB0000045_Trpm2									
HMDB0000045	Adenosine monophosphate	C10H14N5O7P	HMDBP03055	Bile acyl-CoA synthetase	Q9Y2P5	Enzyme	Slc27a5	*	*	Enzyme	Solid	HMDB0000045_Slc27a5									
HMDB0000045	Adenosine monophosphate	C10H14N5O7P	HMDBP07406	ACSS2 protein	Q96FY7	Enzyme	Acss2	*	*	Enzyme	Solid	HMDB0000045_Acss2									
HMDB0000045	Adenosine monophosphate	C10H14N5O7P	HMDBP08702	Acyl-coenzyme A synthetase ACSM5, mitochondrial	Q6NUN0	Unknown	Acsm5	*	*	Unknown	Solid	HMDB0000045_Acsm5									
HMDB0000045	Adenosine monophosphate	C10H14N5O7P	HMDBP08844	Carnosine synthase 1	A5YM72	Unknown	Carns1	*	*	Unknown	Solid	HMDB0000045_Carns1							*		*
HMDB0000051	Ammonia	H3N	HMDBP00666	Glutamate dehydrogenase 2, mitochondrial	P49448	Unknown	Glud1		*	Unknown	Dashed	HMDB0000051_Glud1									
HMDB0000051	Ammonia	H3N	HMDBP00667	Protein-glutamine gamma-glutamyltransferase 2	P21980	Unknown	Tgm2		*	Unknown	Dashed	HMDB0000051_Tgm2									
HMDB0000051	Ammonia	H3N	HMDBP00694	Glutamate dehydrogenase 1, mitochondrial	P00367	Unknown	Glud1		*	Unknown	Dashed	HMDB0000051_Glud1									
HMDB0000052	Argininosuccinic acid	C10H18N4O6	HMDBP00656	Argininosuccinate synthase	P00966	Enzyme	Ass1		*	Enzyme	Dashed	HMDB0000052_Ass1									
HMDB0000052	Argininosuccinic acid	C10H18N4O6	HMDBP00697	Argininosuccinate lyase	P04424	Enzyme	Asl		*	Enzyme	Dashed	HMDB0000052_Asl									
HMDB0000052	Argininosuccinic acid	C10H18N4O6	HMDBP09114	Argininosuccinate synthase	Q5T6L4	Enzyme	Ass1		*	Enzyme	Dashed	HMDB0000052_Ass1									
HMDB0000056	beta-Alanine	C3H7NO2	HMDBP00293	Alpha-aminoadipic semialdehyde dehydrogenase	P49419	Unknown	Aldh7a1	*	*	Unknown	Solid	HMDB0000056_Aldh7a1									
HMDB0000056	beta-Alanine	C3H7NO2	HMDBP05340	Monocarboxylate transporter 10	Q8TF71	Transporter	Slc16a10	*	*	Transporter	Solid	HMDB0000056_Slc16a10									
HMDB0000056	beta-Alanine	C3H7NO2	HMDBP08844	Carnosine synthase 1	A5YM72	Unknown	Carns1	*	*	Unknown	Solid	HMDB0000056_Carns1							*		*
HMDB0000058	Cyclic AMP	C10H12N5O6P	HMDBP00609	cAMP-specific 3',5'-cyclic phosphodiesterase 4B	Q07343	Unknown	Pde4b		*	Unknown	Dashed	HMDB0000058_Pde4b									
HMDB0000058	Cyclic AMP	C10H12N5O6P	HMDBP02943	Rap guanine nucleotide exchange factor 4	Q8WZA2	Unknown	Rapgef4		*	Unknown	Dashed	HMDB0000058_Rapgef4									
HMDB0000058	Cyclic AMP	C10H12N5O6P	HMDBP09068	Solute carrier family 22 member 7	Q9Y694	Transporter	Slc22a7		*	Transporter	Dashed	HMDB0000058_Slc22a7									
HMDB0000067	Cholesterol	C27H46O	HMDBP00227	Lysosomal acid lipase/cholesteryl ester hydrolase	P38571	Enzyme	Lipa	*	*	Enzyme	Solid	HMDB0000067_Lipa									
HMDB0000067	Cholesterol	C27H46O	HMDBP01620	Apolipoprotein A-I	P02647	Enzyme	Apoa1	*	*	Enzyme	Solid	HMDB0000067_Apoa1									
HMDB0000082	Cytidine triphosphate	C9H16N3O14P3	HMDBP00084	Ectonucleoside triphosphate diphosphohydrolase 1	P49961	Unknown	Entpd1	*	*	Unknown	Solid	HMDB0000082_Entpd1									
HMDB0000082	Cytidine triphosphate	C9H16N3O14P3	HMDBP00085	Soluble calcium-activated nucleotidase 1	Q8WVQ1	Unknown	Cant1	*	*	Unknown	Solid	HMDB0000082_Cant1									
HMDB0000082	Cytidine triphosphate	C9H16N3O14P3	HMDBP00086	Ectonucleoside triphosphate diphosphohydrolase 3	O75355	Unknown	Entpd3	*		Unknown	Dashed	HMDB0000082_Entpd3									
HMDB0000082	Cytidine triphosphate	C9H16N3O14P3	HMDBP00109	Nucleoside diphosphate kinase A	P15531	Unknown	Nme1	*	*	Unknown	Solid	HMDB0000082_Nme1									
HMDB0000082	Cytidine triphosphate	C9H16N3O14P3	HMDBP00110	Nucleoside diphosphate kinase 7	Q9Y5B8	Unknown	Nme7	*	*	Unknown	Solid	HMDB0000082_Nme7									
HMDB0000082	Cytidine triphosphate	C9H16N3O14P3	HMDBP00112	Nucleoside diphosphate kinase B	P22392	Unknown	Nme2	*	*	Unknown	Solid	HMDB0000082_Nme2									
HMDB0000082	Cytidine triphosphate	C9H16N3O14P3	HMDBP00113	Nucleoside diphosphate kinase 3	Q13232	Unknown	Nme3	*	*	Unknown	Solid	HMDB0000082_Nme3									
HMDB0000082	Cytidine triphosphate	C9H16N3O14P3	HMDBP00114	Nucleoside diphosphate kinase 6	O75414	Unknown	Nme6	*	*	Unknown	Solid	HMDB0000082_Nme6									
HMDB0000082	Cytidine triphosphate	C9H16N3O14P3	HMDBP00431	Inosine triphosphate pyrophosphatase	Q9BY32	Unknown	Itpa	*	*	Unknown	Solid	HMDB0000082_Itpa									
HMDB0000082	Cytidine triphosphate	C9H16N3O14P3	HMDBP00676	CTP synthase 1	P17812	Unknown	Ctps1	*	*	Unknown	Solid	HMDB0000082_Ctps1									
HMDB0000082	Cytidine triphosphate	C9H16N3O14P3	HMDBP00732	Choline-phosphate cytidylyltransferase B	Q9Y5K3	Enzyme	Pcyt1b	*		Enzyme	Dashed	HMDB0000082_Pcyt1b									
HMDB0000082	Cytidine triphosphate	C9H16N3O14P3	HMDBP00734	6-phosphofructokinase type C	Q01813	Unknown	Pfkp	*	*	Unknown	Solid	HMDB0000082_Pfkp									
HMDB0000082	Cytidine triphosphate	C9H16N3O14P3	HMDBP00736	DNA-directed RNA polymerase III subunit RPC4	P05423	Enzyme	Polr3d	*	*	Enzyme	Solid	HMDB0000082_Polr3d									
HMDB0000082	Cytidine triphosphate	C9H16N3O14P3	HMDBP00737	DNA-directed RNA polymerase II subunit RPB2	P30876	Unknown	Polr2b	*	*	Unknown	Solid	HMDB0000082_Polr2b									
HMDB0000082	Cytidine triphosphate	C9H16N3O14P3	HMDBP00738	Ethanolamine-phosphate cytidylyltransferase	Q99447	Enzyme	Pcyt2	*	*	Enzyme	Solid	HMDB0000082_Pcyt2									
HMDB0000082	Cytidine triphosphate	C9H16N3O14P3	HMDBP00739	DNA-directed RNA polymerase II subunit RPB1	P24928	Unknown	Polr2a	*	*	Unknown	Solid	HMDB0000082_Polr2a									
HMDB0000082	Cytidine triphosphate	C9H16N3O14P3	HMDBP00742	DNA-directed RNA polymerase, mitochondrial	O00411	Enzyme	Polrmt	*	*	Enzyme	Solid	HMDB0000082_Polrmt									
HMDB0000082	Cytidine triphosphate	C9H16N3O14P3	HMDBP00743	DNA-directed RNA polymerase I subunit RPA2	Q9H9Y6	Enzyme	Polr1b	*	*	Enzyme	Solid	HMDB0000082_Polr1b									
HMDB0000082	Cytidine triphosphate	C9H16N3O14P3	HMDBP00746	Phosphatidate cytidylyltransferase 2	O95674	Enzyme	Cds2	*	*	Enzyme	Solid	HMDB0000082_Cds2									
HMDB0000082	Cytidine triphosphate	C9H16N3O14P3	HMDBP00752	DNA-directed RNA polymerase III subunit RPC2	Q9NW08	Enzyme	Polr3b	*	*	Enzyme	Solid	HMDB0000082_Polr3b									
HMDB0000082	Cytidine triphosphate	C9H16N3O14P3	HMDBP00755	Choline-phosphate cytidylyltransferase A	P49585	Enzyme	Pcyt1a	*	*	Enzyme	Solid	HMDB0000082_Pcyt1a									
HMDB0000082	Cytidine triphosphate	C9H16N3O14P3	HMDBP00756	DNA-directed RNA polymerase I subunit RPA49	Q9GZS1	Enzyme	Polr1e	*	*	Enzyme	Solid	HMDB0000082_Polr1e									
HMDB0000082	Cytidine triphosphate	C9H16N3O14P3	HMDBP00758	6-phosphofructokinase, liver type	P17858	Unknown	Pfkl	*	*	Unknown	Solid	HMDB0000082_Pfkl									
HMDB0000082	Cytidine triphosphate	C9H16N3O14P3	HMDBP00760	DNA-directed RNA polymerase III subunit RPC8	Q9Y535	Enzyme	Polr3h	*	*	Enzyme	Solid	HMDB0000082_Polr3h									
HMDB0000082	Cytidine triphosphate	C9H16N3O14P3	HMDBP00761	DNA-directed RNA polymerase III subunit RPC10	Q9Y2Y1	Unknown	Polr3k	*	*	Unknown	Solid	HMDB0000082_Polr3k									
HMDB0000082	Cytidine triphosphate	C9H16N3O14P3	HMDBP00762	6-phosphofructokinase, muscle type	P08237	Unknown	Pfkm	*	*	Unknown	Solid	HMDB0000082_Pfkm									
HMDB0000082	Cytidine triphosphate	C9H16N3O14P3	HMDBP00764	Phosphatidate cytidylyltransferase 1	Q92903	Unknown	Cds1	*	*	Unknown	Solid	HMDB0000082_Cds1									
HMDB0000082	Cytidine triphosphate	C9H16N3O14P3	HMDBP00765	Pyruvate kinase isozymes R/L	P30613	Unknown	Pklr	*	*	Unknown	Solid	HMDB0000082_Pklr									
HMDB0000082	Cytidine triphosphate	C9H16N3O14P3	HMDBP02576	Uridine-cytidine kinase 2	Q9BZX2	Unknown	Uck2	*	*	Unknown	Solid	HMDB0000082_Uck2									
HMDB0000082	Cytidine triphosphate	C9H16N3O14P3	HMDBP03007	Phosphopantothenate--cysteine ligase	Q9HAB8	Enzyme	Ppcs	*	*	Enzyme	Solid	HMDB0000082_Ppcs									
HMDB0000082	Cytidine triphosphate	C9H16N3O14P3	HMDBP03298	CAD protein	P27708	Unknown	Cad	*	*	Unknown	Solid	HMDB0000082_Cad									
HMDB0000082	Cytidine triphosphate	C9H16N3O14P3	HMDBP04074	CTP synthase 2	Q9NRF8	Enzyme	Ctps2	*	*	Enzyme	Solid	HMDB0000082_Ctps2									
HMDB0000082	Cytidine triphosphate	C9H16N3O14P3	HMDBP07670	Ectonucleoside triphosphate diphosphohydrolase 8	Q5MY95	Unknown	Entpd8	*	*	Unknown	Solid	HMDB0000082_Entpd8									
HMDB0000082	Cytidine triphosphate	C9H16N3O14P3	HMDBP09344	DNA-directed RNA polymerase III subunit RPC1	O14802	Enzyme	Polr3a	*	*	Enzyme	Solid	HMDB0000082_Polr3a									
HMDB0000082	Cytidine triphosphate	C9H16N3O14P3	HMDBP09345	DNA-directed RNA polymerase I subunit RPA1	O95602	Enzyme	Polr1a	*	*	Enzyme	Solid	HMDB0000082_Polr1a									
HMDB0000082	Cytidine triphosphate	C9H16N3O14P3	HMDBP09347	DNA-directed RNA polymerases I and III subunit RPAC2	Q9Y2S0	Enzyme	Polr1d	*	*	Enzyme	Solid	HMDB0000082_Polr1d									
HMDB0000082	Cytidine triphosphate	C9H16N3O14P3	HMDBP09350	POLR1C protein	Q96HT3	Enzyme	Polr1c	*	*	Enzyme	Solid	HMDB0000082_Polr1c									
HMDB0000082	Cytidine triphosphate	C9H16N3O14P3	HMDBP11852	Nucleoside diphosphate kinase homolog 5	P56597	Unknown	Nme5	*	*	Unknown	Solid	HMDB0000082_Nme5		*	*					*	*
HMDB0000082	Cytidine triphosphate	C9H16N3O14P3	HMDBP11911	DNA-directed RNA polymerases I, II, and III subunit RPABC1	P19388	Unknown	Polr2e	*	*	Unknown	Solid	HMDB0000082_Polr2e									
HMDB0000082	Cytidine triphosphate	C9H16N3O14P3	HMDBP11912	DNA-directed RNA polymerases I, II, and III subunit RPABC2	P61218	Unknown	Polr2f	*	*	Unknown	Solid	HMDB0000082_Polr2f									
HMDB0000082	Cytidine triphosphate	C9H16N3O14P3	HMDBP11913	DNA-directed RNA polymerases I, II, and III subunit RPABC3	P52434	Unknown	AABR07030911.1	*		Unknown	Dashed	HMDB0000082_AABR07030911.1									
HMDB0000082	Cytidine triphosphate	C9H16N3O14P3	HMDBP11914	DNA-directed RNA polymerases I, II, and III subunit RPABC4	P53803	Unknown	Polr2k-ps2	*		Unknown	Dashed	HMDB0000082_Polr2k-ps2									
HMDB0000082	Cytidine triphosphate	C9H16N3O14P3	HMDBP11915	DNA-directed RNA polymerases I, II, and III subunit RPABC5	P62875	Unknown	Polr2l-ps1	*		Unknown	Dashed	HMDB0000082_Polr2l-ps1									
HMDB0000082	Cytidine triphosphate	C9H16N3O14P3	HMDBP11916	DNA-directed RNA polymerases I and III subunit RPAC1	O15160	Unknown	Polr1c	*	*	Unknown	Solid	HMDB0000082_Polr1c									
HMDB0000082	Cytidine triphosphate	C9H16N3O14P3	HMDBP11918	DNA-directed RNA polymerase II subunit RPB11-a	P52435	Unknown	Polr2j	*	*	Unknown	Solid	HMDB0000082_Polr2j									
HMDB0000082	Cytidine triphosphate	C9H16N3O14P3	HMDBP11920	DNA-directed RNA polymerase II subunit RPB3	P19387	Unknown	Polr2c	*	*	Unknown	Solid	HMDB0000082_Polr2c									
HMDB0000082	Cytidine triphosphate	C9H16N3O14P3	HMDBP11921	DNA-directed RNA polymerase II subunit RPB4	O15514	Unknown	Polr2d	*	*	Unknown	Solid	HMDB0000082_Polr2d									
HMDB0000082	Cytidine triphosphate	C9H16N3O14P3	HMDBP11922	DNA-directed RNA polymerase II subunit RPB7	P62487	Unknown	Polr2g	*	*	Unknown	Solid	HMDB0000082_Polr2g									
HMDB0000082	Cytidine triphosphate	C9H16N3O14P3	HMDBP11924	DNA-directed RNA polymerase III subunit RPC3	Q9BUI4	Unknown	Polr3c	*	*	Unknown	Solid	HMDB0000082_Polr3c									
HMDB0000082	Cytidine triphosphate	C9H16N3O14P3	HMDBP11925	DNA-directed RNA polymerase III subunit RPC5	Q9NVU0	Unknown	Polr3e	*	*	Unknown	Solid	HMDB0000082_Polr3e									
HMDB0000082	Cytidine triphosphate	C9H16N3O14P3	HMDBP11926	DNA-directed RNA polymerase III subunit RPC6	Q9H1D9	Unknown	Polr3f	*	*	Unknown	Solid	HMDB0000082_Polr3f									
HMDB0000086	Glycerophosphocholine	C8H20NO6P	HMDBP00056	Acyl-protein thioesterase 1	O75608	Enzyme	LOC120099997	*		Enzyme	Dashed	HMDB0000086_LOC120099997									
HMDB0000086	Glycerophosphocholine	C8H20NO6P	HMDBP00057	Group XV phospholipase A2	Q8NCC3	Unknown	Pla2g15	*	*	Unknown	Solid	HMDB0000086_Pla2g15									
HMDB0000086	Glycerophosphocholine	C8H20NO6P	HMDBP00060	Cytosolic phospholipase A2	P47712	Unknown	Pla2g4a	*	*	Unknown	Solid	HMDB0000086_Pla2g4a									
HMDB0000086	Glycerophosphocholine	C8H20NO6P	HMDBP00064	Galactoside-binding soluble lectin 13	Q9UHV8	Enzyme	Lgals9	*	*	Enzyme	Solid	HMDB0000086_Lgals9									
HMDB0000086	Glycerophosphocholine	C8H20NO6P	HMDBP00066	Acyl-protein thioesterase 2	O95372	Enzyme	Lypla2	*	*	Enzyme	Solid	HMDB0000086_Lypla2									
HMDB0000086	Glycerophosphocholine	C8H20NO6P	HMDBP07300	60 kDa lysophospholipase	Q86U10	Enzyme	Aspg	*	*	Enzyme	Solid	HMDB0000086_Aspg									
HMDB0000086	Glycerophosphocholine	C8H20NO6P	HMDBP07301	Phospholipase B1, membrane-associated	Q6P1J6	Unknown	Plb1	*		Unknown	Dashed	HMDB0000086_Plb1									
HMDB0000086	Glycerophosphocholine	C8H20NO6P	HMDBP07388	Glycerophosphodiester phosphodiesterase 1	Q9NZC3	Unknown	Gde1	*	*	Unknown	Solid	HMDB0000086_Gde1									
HMDB0000086	Glycerophosphocholine	C8H20NO6P	HMDBP07945	Calcium-independent phospholipase A2-gamma	Q9NP80	Unknown	Pnpla8	*	*	Unknown	Solid	HMDB0000086_Pnpla8									
HMDB0000086	Glycerophosphocholine	C8H20NO6P	HMDBP10677	Neuropathy target esterase	Q8IY17	Enzyme	Pnpla6	*	*	Enzyme	Solid	HMDB0000086_Pnpla6									
HMDB0000086	Glycerophosphocholine	C8H20NO6P	HMDBP11753	Glycerophosphocholine phosphodiesterase GPCPD1	Q9NPB8	Unknown	Gpcpd1	*	*	Unknown	Solid	HMDB0000086_Gpcpd1									
HMDB0000086	Glycerophosphocholine	C8H20NO6P	HMDBP11883	Patatin-like phospholipase domain-containing protein 7	Q6ZV29	Unknown	Pnpla7	*	*	Unknown	Solid	HMDB0000086_Pnpla7									
HMDB0000097	Choline	C5H14NO	HMDBP00080	Phospholipase D2	O14939	Enzyme	Pld2	*	*	Enzyme	Solid	HMDB0000097_Pld2									
HMDB0000097	Choline	C5H14NO	HMDBP00082	Phospholipase D1	Q13393	Unknown	Pld1	*	*	Unknown	Solid	HMDB0000097_Pld1									
HMDB0000097	Choline	C5H14NO	HMDBP00201	Choline dehydrogenase, mitochondrial	Q8NE62	Unknown	Chdh	*	*	Unknown	Solid	HMDB0000097_Chdh									
HMDB0000097	Choline	C5H14NO	HMDBP00525	Cholinesterase	P06276	Enzyme	Bche	*	*	Enzyme	Solid	HMDB0000097_Bche									
HMDB0000097	Choline	C5H14NO	HMDBP00732	Choline-phosphate cytidylyltransferase B	Q9Y5K3	Enzyme	Pcyt1b	*		Enzyme	Dashed	HMDB0000097_Pcyt1b									
HMDB0000097	Choline	C5H14NO	HMDBP00755	Choline-phosphate cytidylyltransferase A	P49585	Enzyme	Pcyt1a	*	*	Enzyme	Solid	HMDB0000097_Pcyt1a									
HMDB0000097	Choline	C5H14NO	HMDBP00777	Choline/ethanolamine kinase	Q9Y259	Enzyme	Chkb	*	*	Enzyme	Solid	HMDB0000097_Chkb									
HMDB0000097	Choline	C5H14NO	HMDBP00778	Choline kinase alpha	P35790	Enzyme	Chka	*	*	Enzyme	Solid	HMDB0000097_Chka									
HMDB0000097	Choline	C5H14NO	HMDBP00780	Alcohol dehydrogenase class-3	P11766	Unknown	Adh5	*		Unknown	Dashed	HMDB0000097_Adh5									
HMDB0000097	Choline	C5H14NO	HMDBP00782	Alcohol dehydrogenase 1B	P00325	Unknown	Adh1c	*		Unknown	Dashed	HMDB0000097_Adh1c									
HMDB0000097	Choline	C5H14NO	HMDBP00783	Alcohol dehydrogenase class 4 mu/sigma chain	P40394	Unknown	Adh7	*	*	Unknown	Solid	HMDB0000097_Adh7									
HMDB0000097	Choline	C5H14NO	HMDBP00784	Alcohol dehydrogenase 1A	P07327	Unknown	Adh1c	*		Unknown	Dashed	HMDB0000097_Adh1c									
HMDB0000097	Choline	C5H14NO	HMDBP00785	Alcohol dehydrogenase 6	P28332	Unknown	Adh6	*	*	Unknown	Solid	HMDB0000097_Adh6									
HMDB0000097	Choline	C5H14NO	HMDBP00786	Alcohol dehydrogenase 1C	P00326	Unknown	Adh1c	*		Unknown	Dashed	HMDB0000097_Adh1c									
HMDB0000097	Choline	C5H14NO	HMDBP02574	Solute carrier family 22 member 1	O15245	Transporter	Slc22a1	*	*	Transporter	Solid	HMDB0000097_Slc22a1									
HMDB0000097	Choline	C5H14NO	HMDBP03349	Choline/ethanolaminephosphotransferase 1	Q9Y6K0	Unknown	Cept1	*	*	Unknown	Solid	HMDB0000097_Cept1									
HMDB0000097	Choline	C5H14NO	HMDBP07291	Phospholipase D3	Q8IV08	Enzyme	Pld3	*	*	Enzyme	Solid	HMDB0000097_Pld3									
HMDB0000097	Choline	C5H14NO	HMDBP07292	Phospholipase D4	Q96BZ4	Enzyme	Pld4	*	*	Enzyme	Solid	HMDB0000097_Pld4									
HMDB0000097	Choline	C5H14NO	HMDBP07388	Glycerophosphodiester phosphodiesterase 1	Q9NZC3	Unknown	Gde1	*	*	Unknown	Solid	HMDB0000097_Gde1									
HMDB0000097	Choline	C5H14NO	HMDBP10645	Phospholipase D6	Q8N2A8	Enzyme	Pld6	*	*	Enzyme	Solid	HMDB0000097_Pld6									
HMDB0000097	Choline	C5H14NO	HMDBP10796	Choline transporter-like protein 3	Q8N4M1	Transporter	Slc44a3	*	*	Transporter	Solid	HMDB0000097_Slc44a3					*				*
HMDB0000097	Choline	C5H14NO	HMDBP11753	Glycerophosphocholine phosphodiesterase GPCPD1	Q9NPB8	Unknown	Gpcpd1	*	*	Unknown	Solid	HMDB0000097_Gpcpd1									
HMDB0000112	gamma-Aminobutyric acid	C4H9NO2	HMDBP00248	4-aminobutyrate aminotransferase, mitochondrial	P80404	Enzyme	Abat	*	*	Enzyme	Solid	HMDB0000112_Abat									
HMDB0000112	gamma-Aminobutyric acid	C4H9NO2	HMDBP00291	4-trimethylaminobutyraldehyde dehydrogenase	P49189	Unknown	Aldh9a1	*	*	Unknown	Solid	HMDB0000112_Aldh9a1									
HMDB0000112	gamma-Aminobutyric acid	C4H9NO2	HMDBP00293	Alpha-aminoadipic semialdehyde dehydrogenase	P49419	Unknown	Aldh7a1	*	*	Unknown	Solid	HMDB0000112_Aldh7a1									
HMDB0000112	gamma-Aminobutyric acid	C4H9NO2	HMDBP00463	Glycine amidinotransferase, mitochondrial	P50440	Enzyme	Gatm	*	*	Enzyme	Solid	HMDB0000112_Gatm									
HMDB0000112	gamma-Aminobutyric acid	C4H9NO2	HMDBP00670	Glutamine synthetase	P15104	Enzyme	Glul	*	*	Enzyme	Solid	HMDB0000112_Glul									
HMDB0000112	gamma-Aminobutyric acid	C4H9NO2	HMDBP00702	Glutamate decarboxylase 2	Q05329	Enzyme	Gad2	*		Enzyme	Dashed	HMDB0000112_Gad2									
HMDB0000112	gamma-Aminobutyric acid	C4H9NO2	HMDBP00703	Glutamate decarboxylase 1	Q99259	Enzyme	Gad1	*		Enzyme	Dashed	HMDB0000112_Gad1									
HMDB0000112	gamma-Aminobutyric acid	C4H9NO2	HMDBP08844	Carnosine synthase 1	A5YM72	Unknown	Carns1	*	*	Unknown	Solid	HMDB0000112_Carns1							*		*
HMDB0000122	D-Glucose	C6H12O6	HMDBP00210	Glucokinase	P35557	Enzyme	Gck	*	*	Enzyme	Solid	HMDB0000122_Gck		*			*				*
HMDB0000122	D-Glucose	C6H12O6	HMDBP00329	GDH/6PGL endoplasmic bifunctional protein	O95479	Unknown	H6pd	*	*	Unknown	Solid	HMDB0000122_H6pd									
HMDB0000122	D-Glucose	C6H12O6	HMDBP00369	ADP-dependent glucokinase	Q9BRR6	Unknown	Adpgk	*	*	Unknown	Solid	HMDB0000122_Adpgk									
HMDB0000122	D-Glucose	C6H12O6	HMDBP00806	Glucose-6-phosphate isomerase	P06744	Enzyme	Gpi	*	*	Enzyme	Solid	HMDB0000122_Gpi									
