MappingID	Label_db	detected	SigNode	NodeType	Name_map	ChEBI	HMDB lip	KEGG	HMDB accession	Ensembl	Uniprot	8_adj pval	8_logFC	8_pval	8_significance	7_adj pval	7_logFC	7_pval	7_significance	6_adj pval	6_logFC	6_pval	6_significance	5_adj pval	5_logFC	5_pval	5_significance	4_adj pval	4_logFC	4_pval	4_significance	3_adj pval	3_logFC	3_pval	3_significance	2_adj pval	2_logFC	2_pval	2_significance	1_adj pval	1_logFC	1_pval	1_significance	MaxSig	Differential feature	Reaction.ID	Label_Sig	Color8	Color7	Color6	Color5	Color4	Color3	Color2	Color1	ColorAny	Size8	Size7	Size6	Size5	Size4	Size3	Size2	Size1	SizeAny
Abhd10	Abhd10	*		GeneProduct	Abhd10					ENSRNOG00000054334	Q5I0K5	1	-1.945781	0.1038529	-0.98358137167185	1	-0.5829948	0.6629943	-0.178490205364741	1	0.4779577	0.7417221	0.129758780762964	1	-0.1299434	0.9270108	-0.0329152061434402	1	0.3684819	0.7660206	0.115759551064484	1	0.5854968	0.6584273	0.181492170515169	1	-1.306692	0.2795757	-0.55350057904414	1	0.1218021	0.9156882	0.0382523823054156	-0.98358137167185		R01274		-1.945781	-0.5829948	0.4779577	-0.1299434	0.3684819	0.5854968	-1.306692	0.1218021	-1.945781	1.945781	0.5829948	0.4779577	0.1299434	0.3684819	0.5854968	1.306692	0.1218021	1.945781
Abhd17a	Abhd17a	*		GeneProduct	Abhd17a					ENSRNOG00000018212	Q5XIJ5	1	0.08181385	0.1890115	0.72351177130505	1	0.09456321	0.1768971	0.752279286730305	1	0.01167609	0.8788345	0.056092902519019	1	0.04526789	0.5425468	0.265562793691206	1	-0.02195954	0.7575607	-0.120582563328759	1	-0.07455824	0.3268751	-0.485618160926114	1	0.07181635	0.2929007	0.533279590401795	1	0.04235202	0.5199836	0.28401035356101	0.752279286730305		R01274		0.08181385	0.09456321	0.01167609	0.04526789	-0.02195954	-0.07455824	0.07181635	0.04235202	0.09456321	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
Abhd17b	Abhd17b	*		GeneProduct	Abhd17b					ENSRNOG00000012514	Q6AY17	1	0.3470126	0.006814738	2.16655083643115	1	-0.05392876	0.7117007	-0.147702607018392	1	0.08861512	0.5746312	0.240610797383445	1	0.04451265	0.7712473	0.11280634334399	1	0.001931428	0.9888507	0.0048692746928053	1	0.0136166	0.9266444	0.0330868944922137	1	-0.2213104	0.09822532	-1.00777654766242	1	-0.3017461	0.01954913	-1.70887256535797	2.16655083643115		R01274		0.3470126	-0.05392876	0.08861512	0.04451265	0.001931428	0.0136166	-0.2213104	-0.3017461	0.3470126	0.3470126	0.1	0.1	0.1	0.1	0.1	0.2213104	0.3017461	0.3470126
Abhd17c	Abhd17c	*		GeneProduct	Abhd17c					ENSRNOG00000012683	B5DFK7	1	-0.006825322	0.9458535	-0.0241761247700961	1	0.01836097	0.8709371	0.0600132090673354	1	0.02660181	0.8292077	0.0813366737127834	1	-0.07640184	0.524007	-0.280662911411182	1	-0.03651065	0.7105983	-0.148375835829948	1	-0.01977811	0.8506916	-0.0702278555360632	1	0.04360715	0.6443172	0.190900275039834	1	0.005324495	0.9533881	0.0207302731521991	-0.280662911411182		R01274		-0.006825322	0.01836097	0.02660181	-0.07640184	-0.03651065	-0.01977811	0.04360715	0.005324495	-0.07640184	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
Abhd5	Abhd5	*	*	GeneProduct	Abhd5					ENSRNOG00000000221	Q6QA69	0.444356238724971	0.382940292359465	0.000196790432161753	3.70599602054068	1	-0.0251484049554801	0.828774682278664	-0.0815635243877103	1	0.244461782251012	0.0529840643933099	1.2758547301482	1	0.175349021589061	0.153103499646853	0.815014882064992	1	0.369099311375438	0.0668994733098816	1.17457730135792	1	-0.0862611838445028	0.689233333836887	-0.161633726651545	1	0.115834463219815	0.550489696854476	0.259250805013975	1	-0.00274936258700952	0.988277324246939	-0.0051211692889453	3.70599602054068	*	R02241, R02760, R09381	Abhd5	0.382940292359465	-0.0251484049554801	0.244461782251012	0.175349021589061	0.369099311375438	-0.0862611838445028	0.115834463219815	-0.00274936258700952	0.382940292359465	0.382940292359465	0.1	0.244461782251012	0.175349021589061	0.369099311375438	0.1	0.115834463219815	0.1	0.382940292359465
Acaa1a	Acaa1a	*		GeneProduct	Acaa1a					ENSRNOG00000032908	P21775	1	0.0614007	0.3790285	0.421328133231451	1	-0.0744485	0.3430137	-0.464688533847661	1	-0.08306993	0.3318069	-0.479114586965163	1	0.01083179	0.8964676	0.047465402025378	1	0.00984451	0.8660257	0.0624692197579743	1	-0.05169087	0.4074925	-0.389880380147536	1	-0.02941215	0.6003364	-0.221605323410941	1	-0.01028795	0.8491694	-0.0710056641181287	-0.479114586965163		R00238, R00391, R00829, R00927, R01177, R03778, R03858, R03991, R04742, R04747, R05506, R05586, R07891, R07895, R07899, R07937, R07953, R08091, R08095		0.0614007	-0.0744485	-0.08306993	0.01083179	0.00984451	-0.05169087	-0.02941215	-0.01028795	-0.08306993	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
Acaa1b	Acaa1b			GeneProduct	Acaa1b																																									R00238, R00391, R00829, R00927, R01177, R03778, R03858, R03991, R04742, R04747, R05506, R05586, R07891, R07895, R07899, R07937, R07953, R08091, R08095		0	0	0	0	0	0	0	0	0	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
Acaa2	Acaa2	*	*	GeneProduct	Acaa2					ENSRNOG00000013766	P13437	1	-0.1455736	0.1304377	-0.884596867686649	1	-0.08953693	0.4077525	-0.389603367546114	1	-0.174232	0.139406	-0.855718533907917	1	-0.1539831	0.1795223	-0.745881596303447	0.5505528	-0.2656757	0.0002675719	-3.57255949746522	1	-0.1139368	0.1436961	-0.842555018723561	1	-0.04066113	0.5619792	-0.250279758260819	1	-0.06451889	0.3398458	-0.468718092956947	-3.57255949746522	*	R00227, R00238, R00391, R00829, R00927, R01177, R01274, R03778, R03858, R03991, R04742, R04747, R05506, R05586, R07891, R07895, R07899, R07937, R07953, R08091, R08095, R08174, R08175, R08176, R08177, R08178, R08179, R08180, R08181, R08182, R08183, R09450	Acaa2	-0.1455736	-0.08953693	-0.174232	-0.1539831	-0.2656757	-0.1139368	-0.04066113	-0.06451889	-0.2656757	0.1455736	0.1	0.174232	0.1539831	0.2656757	0.1139368	0.1	0.1	0.2656757
Acadl	Acadl	*		GeneProduct	Acadl					ENSRNOG00000012966	P15650	1	0.04110133	0.5213795	0.282846048756307	1	-0.05609235	0.4363822	-0.360132972564534	1	-0.05884742	0.4537666	-0.343167474007555	1	0.04606378	0.5464851	0.262421674658461	1	-0.1382081	0.01337701	-1.87364094827324	1	-0.1049054	0.0788798	-1.10303419922058	1	-0.0520442	0.3324986	-0.478210178973071	1	0.04357698	0.3995367	0.398443321793214	-1.87364094827324		R01279, R03777, R03857, R03990, R04754		0.04110133	-0.05609235	-0.05884742	0.04606378	-0.1382081	-0.1049054	-0.0520442	0.04357698	-0.1382081	0.1	0.1	0.1	0.1	0.1382081	0.1049054	0.1	0.1	0.1382081
Acadm	Acadm	*		GeneProduct	Acadm					ENSRNOG00000009845	P08503	1	-0.03548244	0.6252631	-0.203937200520108	1	-0.07488671	0.3590803	-0.44480842064942	1	-0.03757211	0.6729272	-0.172031916977255	1	0.0004954337	0.9954356	0.00198683153745798	1	-0.1124509	0.0513181	-1.28972943130706	1	-0.07410026	0.2296597	-0.63891520682124	1	-0.07211981	0.1938911	-0.712442125473117	1	0.01342874	0.8018136	0.0959265817162496	-1.28972943130706		R01175, R01279, R03777, R03857, R03990, R04095, R04751, R04754		-0.03548244	-0.07488671	-0.03757211	0.0004954337	-0.1124509	-0.07410026	-0.07211981	0.01342874	-0.1124509	0.1	0.1	0.1	0.1	0.1124509	0.1	0.1	0.1	0.1124509
Acads	Acads	*		GeneProduct	Acads					ENSRNOG00000001177	P15651	1	0.122672184171496	0.060501484888991	1.21823396631974	1	-0.0418150894582754	0.5698027171686	-0.244275484109326	1	-0.0312397549610627	0.697041022968681	-0.156741661608368	1	0.10176534260138	0.191793919287765	0.717165165995554	1	-0.0706612890325638	0.176177187171482	-0.754050328199592	1	-0.0758645287560559	0.173989695097836	-0.759476472951165	1	-0.00985938271921884	0.844148975161277	-0.0735809024488601	1	0.0322246689080585	0.504558804106914	0.297088211367804	1.21823396631974		R01175, R04751		0.122672184171496	-0.0418150894582754	-0.0312397549610627	0.10176534260138	-0.0706612890325638	-0.0758645287560559	-0.00985938271921884	0.0322246689080585	0.122672184171496	0.122672184171496	0.1	0.1	0.10176534260138	0.1	0.1	0.1	0.1	0.122672184171496
Acadsb	Acadsb	*		GeneProduct	Acadsb					ENSRNOG00000020624	P70584	1	0.1969201	0.009395194	2.02709424778702	1	0.194252	0.02266125	1.64471613802382	1	-0.03848628	0.6793117	-0.167930905353804	1	0.009564986	0.9157843	0.038206806191388	1	-0.1228421	0.1806097	-0.743258928754806	1	-0.01691593	0.8628938	-0.0640426514598557	1	-0.05452698	0.5363449	-0.270555844644236	1	0.009358793	0.9122668	0.0398781300678755	2.02709424778702		R04751		0.1969201	0.194252	-0.03848628	0.009564986	-0.1228421	-0.01691593	-0.05452698	0.009358793	0.1969201	0.1969201	0.194252	0.1	0.1	0.1228421	0.1	0.1	0.1	0.1969201
Acadvl	Acadvl	*		GeneProduct	Acadvl					ENSRNOG00000018114	P45953	1	0.04648354	0.3696218	0.432242422353166	1	-0.04819655	0.4083709	-0.388945212764598	1	0.02640094	0.6779216	0.168820528339618	1	0.1055401	0.08766013	1.05719788962273	1	-0.09249307	0.03278936	-1.48426706003637	1	-0.0308396	0.504964	-0.296739582591533	1	-0.05106219	0.2200307	-0.657516719585011	1	0.03883326	0.3325909	0.478089637659648	-1.48426706003637		R01279, R03990		0.04648354	-0.04819655	0.02640094	0.1055401	-0.09249307	-0.0308396	-0.05106219	0.03883326	0.1055401	0.1	0.1	0.1	0.1055401	0.1	0.1	0.1	0.1	0.1055401
Acat1	Acat1	*		GeneProduct	Acat1					ENSRNOG00000007862	P17764	1	-0.0495995	0.5937164	-0.226420954558644	1	-0.1154552	0.2693677	-0.569654481934364	1	-0.04247939	0.709319	-0.149158406872686	1	0.1191304	0.2824048	0.549127925907071	1	-0.08598914	0.09045832	-1.04355148227112	1	-0.02877745	0.5955586	-0.225075499664766	1	-0.05979232	0.2205438	-0.65650514674359	1	0.02474418	0.5985127	0.222926629749798	-1.04355148227112		R00238, R00927, R01177		-0.0495995	-0.1154552	-0.04247939	0.1191304	-0.08598914	-0.02877745	-0.05979232	0.02474418	0.1191304	0.1	0.1154552	0.1	0.1191304	0.1	0.1	0.1	0.1	0.1191304
Acat2	Acat2	*	*	GeneProduct	Acat2					ENSRNOG00000019189	Q5XI22	1	0.202973	0.5203444	0.283709114999031	1	0.6313482	0.0750757	1.12450060978206	1	0.04722014	0.9029879	0.0443180691753525	1	-0.1780429	0.6367685	-0.196018428647501	0.1939924	0.7442447	6.174086e-05	4.20942732544263	1	0.3460434	0.08301124	1.08086309871455	1	0.5433448	0.002445228	2.61168063980199	1	0.4585546	0.008067847	2.09324234641438	4.20942732544263	*	R00238, R00927, R01177	Acat2	0.202973	0.6313482	0.04722014	-0.1780429	0.7442447	0.3460434	0.5433448	0.4585546	0.7442447	0.202973	0.6313482	0.1	0.1780429	0.7442447	0.3460434	0.5433448	0.4585546	0.7442447
Acat2l1	Acat2l1	*		GeneProduct	Acat2l1					ENSRNOG00000013975		1	0.1286116	0.3987612	0.399287105740687	1	0.4503473	0.008286683	2.08161927440403	1	0.03330334	0.8601059	0.0654480732283364	1	-0.05871497	0.7484397	-0.125843183981157	1	0.09444212	0.5933877	0.22666146017201	1	0.1472505	0.4356136	0.360898569887904	1	0.04511479	0.7910845	0.101777124689806	1	0.2280331	0.1627734	0.788416564908027	2.08161927440403		R00238, R00927, R01177		0.1286116	0.4503473	0.03330334	-0.05871497	0.09444212	0.1472505	0.04511479	0.2280331	0.4503473	0.1286116	0.4503473	0.1	0.1	0.1	0.1472505	0.1	0.2280331	0.4503473
Ache	Ache	*		GeneProduct	Ache					ENSRNOG00000050841	P37136	1	0.09670312	0.6353526	0.19698518851156	1	-0.07149323	0.7565635	-0.121154614842063	1	0.3382329	0.1751062	0.756698476542949	1	0.335392	0.1658012	0.780412330531871	1	-0.2023223	0.3649081	-0.437816496333186	1	-0.1085561	0.6477119	-0.188618123855696	1	-0.3667282	0.08880382	-1.05156835213538	1	-0.2775951	0.1794733	-0.746000151682651	-1.05156835213538		R01026		0.09670312	-0.07149323	0.3382329	0.335392	-0.2023223	-0.1085561	-0.3667282	-0.2775951	-0.3667282	0.1	0.1	0.3382329	0.335392	0.2023223	0.1085561	0.3667282	0.2775951	0.3667282
Acly	Acly	*	*	GeneProduct	Acly					ENSRNOG00000016924	P16638	1	0.310668	0.2756083	0.559707707700834	1	0.3364259	0.2934264	0.532500814628631	1	-0.4058101	0.2449259	-0.610965287425995	1	-0.07241817	0.8311656	-0.0803124395116748	0.3877552	0.7967405	0.000162208	3.78992773045669	1	0.2583974	0.2528717	0.597099771768907	1	0.09127009	0.6536163	0.184677125827254	1	0.3365418	0.08606492	1.06517383060095	3.78992773045669	*	R00352	Acly	0.310668	0.3364259	-0.4058101	-0.07241817	0.7967405	0.2583974	0.09127009	0.3365418	0.7967405	0.310668	0.3364259	0.4058101	0.1	0.7967405	0.2583974	0.1	0.3365418	0.7967405
Acnat1	Acnat1	*		GeneProduct	Acnat1					ENSRNOG00000056688		1	-0.1763051	0.554447	-0.256139962062415	1	0.03503373	0.9167536	0.0377473759328737	1	-0.8105635	0.02733629	-1.5632604269247	1	-0.185503	0.6020874	-0.220340461262757	1	-0.01556655	0.8503968	-0.0703783827097795	1	0.001927487	0.9825702	0.00763641155456044	1	0.08955173	0.2592373	0.586302510445269	1	0.05456802	0.475842	0.322537227781672	-1.5632604269247		R01274, R03718, R03720, R03974, R07296, R08174, R08175, R08176, R08177, R08178, R08179, R08180, R08181, R08182, R08183, R08744, R08745, R09450		-0.1763051	0.03503373	-0.8105635	-0.185503	-0.01556655	0.001927487	0.08955173	0.05456802	-0.8105635	0.1763051	0.1	0.8105635	0.185503	0.1	0.1	0.1	0.1	0.8105635
Acnat2	Acnat2	*		GeneProduct	Acnat2					ENSRNOG00000051912	Q5FVR5	1	-0.4155141	0.1334483	-0.874686954325494	1	0.1258491	0.684375	0.164705863479788	1	-0.3980743	0.2428527	-0.614657063743003	1	-0.05185969	0.8747753	-0.0581034881231356	1	0.05981865	0.5358417	0.270963491968571	1	-0.04735842	0.6467735	-0.189247782580634	1	0.10642	0.2522109	0.598236148105686	1	-0.01426356	0.873609	-0.0586829004747279	-0.874686954325494		R01274, R03718, R03720, R03974, R07296, R08174, R08175, R08176, R08177, R08178, R08179, R08180, R08181, R08182, R08183, R08744, R08745, R09450		-0.4155141	0.1258491	-0.3980743	-0.05185969	0.05981865	-0.04735842	0.10642	-0.01426356	-0.4155141	0.4155141	0.1258491	0.3980743	0.1	0.1	0.1	0.10642	0.1	0.4155141
Aco1	Aco1	*		GeneProduct	Aco1					ENSRNOG00000005849	Q63270	1	-0.008208441	0.8863181	-0.0524103816334438	1	-0.02393108	0.7108138	-0.14824414923242	1	-0.1022435	0.1464522	-0.834304099976348	1	-0.02843554	0.6779189	-0.168822258034373	1	-0.1487666	0.03377126	-1.47145273560862	1	-0.0740189	0.3229496	-0.490865249030416	1	-0.004960667	0.9412949	-0.0262742943427363	1	0.003419931	0.9579895	0.0186392509601301	-1.47145273560862		R01324, R01325, R01900		-0.008208441	-0.02393108	-0.1022435	-0.02843554	-0.1487666	-0.0740189	-0.004960667	0.003419931	-0.1487666	0.1	0.1	0.1022435	0.1	0.1487666	0.1	0.1	0.1	0.1487666
Aco2	Aco2	*		GeneProduct	Aco2					ENSRNOG00000024128	Q9ER34	1	-0.1361182	0.05331192	-1.27317567631222	1	-0.01113451	0.888087	-0.051544487184057	1	0.03210084	0.7099002	0.14880270147215	1	0.06263134	0.4555562	0.34145803835222	1	-0.08226847	0.3271256	-0.485285467786682	1	-0.0410647	0.6472102	-0.188954646882792	1	0.005937481	0.9413697	0.0262397845025201	1	0.02655886	0.7328567	0.13498093734168	-1.27317567631222		R01324, R01325, R01900		-0.1361182	-0.01113451	0.03210084	0.06263134	-0.08226847	-0.0410647	0.005937481	0.02655886	-0.1361182	0.1361182	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1361182
Acot1	Acot1	*		GeneProduct	Acot1					ENSRNOG00000055221	O88267	1	-0.2779653	0.7953985	-0.0994152323622802	1	-1.123268	0.3851554	-0.41436400881469	1	0.9243788	0.4831707	0.31589940968108	1	1.34903	0.2926324	0.533677590848395	1	-0.6462817	0.7056862	-0.15138837529996	1	-1.562795	0.3990887	-0.398930568876267	1	-1.174224	0.473482	-0.324696526585237	1	-1.71251	0.2915056	-0.535353097763499	-0.535353097763499		R01274, R08174, R08175, R08176, R08177, R08178, R08179, R08180, R08181, R08182, R08183, R09450		-0.2779653	-1.123268	0.9243788	1.34903	-0.6462817	-1.562795	-1.174224	-1.71251	-1.71251	0.2779653	1.123268	0.9243788	1.34903	0.6462817	1.562795	1.174224	1.71251	1.71251
Acot12	Acot12	*		GeneProduct	Acot12					ENSRNOG00000061414	Q99NB7	1	-0.001056005	0.9935143	-0.00282587755628313	1	-0.07126195	0.6254592	-0.203801014975804	1	-0.1707887	0.2830935	-0.548070102187493	1	0.100268	0.5172186	0.286325865593432	1	-0.1106452	0.2631867	-0.579736061344379	1	0.2383763	0.02409994	1.61798403865755	1	0.1064061	0.2633363	0.579489270772111	1	0.06974046	0.4470127	0.349680138027865	1.61798403865755		R00227		-0.001056005	-0.07126195	-0.1707887	0.100268	-0.1106452	0.2383763	0.1064061	0.06974046	0.2383763	0.1	0.1	0.1707887	0.100268	0.1106452	0.2383763	0.1064061	0.1	0.2383763
Acot2	Acot2	*		GeneProduct	Acot2					ENSRNOG00000010134	O55171	1	-0.09753714	0.7570501	-0.120875378843953	1	-0.4270464	0.2282073	-0.641670467284105	1	0.1027239	0.7901483	0.102291389940902	1	0.2401433	0.5226586	0.281781899182191	1	-0.1573666	0.3395202	-0.469134381950317	1	-0.282347	0.1092547	-0.961559871152417	1	-0.09951045	0.5299093	-0.275798458475405	1	-0.1539734	0.3134078	-0.503890199141184	-0.961559871152417		R01274, R08174, R08175, R08176, R08177, R08178, R08179, R08180, R08181, R08182, R08183, R09450		-0.09753714	-0.4270464	0.1027239	0.2401433	-0.1573666	-0.282347	-0.09951045	-0.1539734	-0.4270464	0.1	0.4270464	0.1027239	0.2401433	0.1573666	0.282347	0.1	0.1539734	0.4270464
Acot4	Acot4	*		GeneProduct	Acot4					ENSRNOG00000046864	D3ZIQ1	1	-0.1335509	0.5775481	-0.238411840535937	1	-0.501248	0.0630497	-1.20031697552475	1	-0.06373433	0.8281578	-0.081886903384563	1	0.1962261	0.4921491	0.307903304757989	1	-0.5860176	0.01261929	-1.89896507914548	1	-0.2890571	0.2489403	-0.603904791415221	1	-0.0548558	0.8077352	-0.0927309907441994	1	-0.1735663	0.4245845	-0.372035864355937	-1.89896507914548		R01274, R08174, R08175, R08176, R08177, R08178, R08179, R08180, R08181, R08182, R08183, R09450		-0.1335509	-0.501248	-0.06373433	0.1962261	-0.5860176	-0.2890571	-0.0548558	-0.1735663	-0.5860176	0.1335509	0.501248	0.1	0.1962261	0.5860176	0.2890571	0.1	0.1735663	0.5860176
Acot7	Acot7	*	*	GeneProduct	Acot7					ENSRNOG00000010580	Q64559	1	-0.1815631	0.05372338	-1.26983667155859	1	-0.01255942	0.9051628	-0.0432733028024874	1	-0.136356	0.2373928	-0.624532457107157	1	-0.1178745	0.2927915	-0.53344153538919	0.856614	-0.3673943	0.0005179538	-3.28570897635492	1	-0.230598	0.04058747	-1.39160801937215	1	-0.05937399	0.556158	-0.254801811331193	1	-0.03976797	0.6820317	-0.16619543939758	-3.28570897635492	*	R01274, R08174, R08175, R08176, R08177, R08178, R08179, R08180, R08181, R08182, R08183, R09450	Acot7	-0.1815631	-0.01255942	-0.136356	-0.1178745	-0.3673943	-0.230598	-0.05937399	-0.03976797	-0.3673943	0.1815631	0.1	0.136356	0.1178745	0.3673943	0.230598	0.1	0.1	0.3673943
Acot8	Acot8	*		GeneProduct	Acot8					ENSRNOG00000015187	Q8VHK0	1	0.04282349	0.7249462	0.139694222270514	1	-0.01307363	0.9240958	-0.0342830036124711	1	0.06631851	0.6591893	0.180989850747638	1	0.1403544	0.3353804	0.474462321636226	1	0.05943327	0.6311531	0.199865280343558	1	0.1422425	0.2795467	0.553545630145603	1	0.2585196	0.02860107	1.54361771909462	1	0.2076425	0.06848948	1.164376131118	1.54361771909462		R00227, R00407, R01274, R01358, R02083, R03974, R07296, R08174, R08175, R08176, R08177, R08178, R08179, R08180, R08181, R08182, R08183, R09450		0.04282349	-0.01307363	0.06631851	0.1403544	0.05943327	0.1422425	0.2585196	0.2076425	0.2585196	0.1	0.1	0.1	0.1403544	0.1	0.1422425	0.2585196	0.2076425	0.2585196
