sorted_pairs	mappingID1	mappingID2	detectedPair1	detectedPair2	EdgeColor	EdgeLine	Size8	Size7	Size6	Size5	Size4	Size3	Size2	Size1	SizeAny	source	Label1	Label2
102_1294	1294	102	*	*	Enzyme or transporter	Solid										Reactome	DG(36:5)>DG(18:2_18:3_0:0)_M+NH3_feature1	Agk
102_1300	1300	102	*	*	Enzyme or transporter	Solid						*	*	*	*	Reactome	MG(18:1_0:0_0:0)	Agk
1030_1298	1298	1030	*	*	Enzyme	Solid										KEGG	LPE(18:0)>LPE(18:0/0:0)_and_LPE(0:0/18:0)_feature1and2	Prdx6
1030_1302	1302	1030	*	*	Enzyme	Solid										KEGG	PC(36:3)_feature5	Prdx6
1030_1303	1303	1030	*	*	Enzyme	Solid										KEGG	PE(34:3)>PE(16:0_18:3)_feature2	Prdx6
1030_1674	1674	1030	*	*	Enzyme	Solid				*					*	KEGG	Glutathione	Prdx6
1030_1902	1902	1030	*	*	Enzyme	Solid										KEGG	coenzyme A	Prdx6
1030_1973	1973	1030	*	*	Enzyme	Solid										KEGG	oxidized glutathione	Prdx6
1031_1895	1895	1031	*	*	Unknown	Solid										HMDB	GMP	Preb
1032_1305	1305	1032	*	*	Unknown	Solid										HMDB	PI(40:6)>PI(18:0_22:6)_feature1	Prex1
1032_1895	1895	1032	*	*	Unknown	Solid										HMDB	GMP	Prex1
1033_1895	1895	1033	*	*	Unknown	Solid										HMDB	GMP	Prex2
1034_1294	1034	1294	*	*	SameComplex	Solid										Reactome, HMDB	Prkca	DG(36:5)>DG(18:2_18:3_0:0)_M+NH3_feature1
1037_1774	1774	1037	*		Unknown	Dashed										HMDB	Hydroxyproline	Prodh
1037_1858	1858	1037	*		Unknown	Dashed										HMDB	FAD	Prodh
1038_1774	1774	1038	*	*	Enzyme	Solid										KEGG	Hydroxyproline	Prodh2
1039_1925	1925	1039	*	*	Enzyme	Solid	*								*	KEGG	ribose 5-phosphate	Prps1
103_1492	1492	103		*	Unknown	Dashed										HMDB	Manganese	Agmat
103_1518	1518	103		*	Unknown	Dashed										HMDB	N1-Acetylspermine	Agmat
103_1523	1523	103		*	Unknown	Dashed										HMDB	Norspermidine	Agmat
103_1599	1599	103		*	Unknown	Dashed										HMDB	Water	Agmat
103_1649	1649	103	*	*	Enzyme	Solid										KEGG	beta-Alanine	Agmat
103_1668	1668	103	*	*	Enzyme	Solid										KEGG	gamma-Amino-N-butyric-acid	Agmat
103_1714	1714	103	*	*	Enzyme	Solid										KEGG	Ornithine	Agmat
103_1741	1741	103		*	Enzyme	Dashed										KEGG	Urea	Agmat
103_1754	1754	103	*	*	Enzyme	Solid										KEGG	Arginine	Agmat
103_1861	1861	103	*	*	Unknown	Solid	*	*		*					*	HMDB	spermine	Agmat
103_1862	1862	103	*	*	Unknown	Solid										HMDB	spermidine	Agmat
103_1899	1899	103	*	*	Unknown	Solid										HMDB	putrescine	Agmat
103_1981	1981	103	*	*	Enzyme	Solid										KEGG	4-guanidinobutanoate	Agmat
103_2079	2079	103	*	*	Enzyme	Solid										KEGG	beta-guanidinopropionate	Agmat
1040_1925	1925	1040	*		Enzyme	Dashed	*								*	KEGG	ribose 5-phosphate	Prps1l1
1041_1925	1925	1041	*		Enzyme	Dashed	*								*	KEGG	ribose 5-phosphate	Prps1l3
1042_1925	1925	1042	*	*	Enzyme	Solid	*								*	KEGG, HMDB	ribose 5-phosphate	Prps2
1044_1295	1295	1044	*	*	SameComplex	Solid										Reactome	HexCer(d42:0-OH)_M+H2CO2_feature1	Psap
1045_1895	1895	1045	*		Unknown	Dashed										HMDB	GMP	Psd
1046_1895	1895	1046	*	*	Unknown	Solid										HMDB	GMP	Psd3
1047_1895	1895	1047	*	*	Unknown	Solid										HMDB	GMP	Psd4
1048_1302	1302	1048	*	*	Enzyme	Solid										Reactome, HMDB	PC(36:3)_feature5	Ptdss1
1048_1303	1303	1048	*	*	Enzyme	Solid										KEGG	PE(34:3)>PE(16:0_18:3)_feature2	Ptdss1
1048_1305	1305	1048	*	*	Enzyme	Solid										HMDB	PI(40:6)>PI(18:0_22:6)_feature1	Ptdss1
1048_1306	1306	1048	*	*	Enzyme	Solid										Reactome, KEGG	PS(40:5)_feature3	Ptdss1
1048_1663	1663	1048	*	*	Enzyme or transporter	Solid										Reactome	Choline	Ptdss1
1049_1303	1303	1049	*	*	Enzyme	Solid										Reactome, KEGG	PE(34:3)>PE(16:0_18:3)_feature2	Ptdss2
1049_1306	1306	1049	*	*	Enzyme	Solid										Reactome, KEGG	PS(40:5)_feature3	Ptdss2
104_1902	1902	104	*	*	Enzyme	Solid										HMDB	coenzyme A	Agpat1
104_1959	1959	104	*	*	Enzyme	Solid										HMDB	CoA(6:0)	Agpat1
1050_1305	1305	1050	*	*	Enzyme	Solid										KEGG	PI(40:6)>PI(18:0_22:6)_feature1	Pten
1051_1674	1674	1051	*		Enzyme	Dashed				*					*	KEGG	Glutathione	Ptges
1052_1774	1774	1052	*	*	Enzyme	Solid										KEGG	Hydroxyproline	Pycr2
1053_1694	1694	1053	*	*	Enzyme	Solid										KEGG	Proline	Pycr3
1053_1717	1717	1053	*	*	Enzyme	Solid										KEGG	NADPH	Pycr3
1053_1774	1774	1053	*	*	Enzyme	Solid										KEGG	Hydroxyproline	Pycr3
1053_1793	1793	1053		*	Enzyme	Dashed										KEGG	NAD+	Pycr3
1053_1869	1869	1053		*	Enzyme	Dashed										KEGG	(S)-1-Pyrroline-5-carboxylate	Pycr3
1053_1888	1888	1053		*	Enzyme	Dashed										KEGG	L-1-Pyrroline-3-hydroxy-5-carboxylate	Pycr3
1053_1911	1911	1053	*	*	Enzyme	Solid					*		*		*	KEGG	NADH	Pycr3
1053_2185	2185	1053		*	Enzyme	Dashed										KEGG	NADP+	Pycr3
1054_1760	1760	1054	*		Enzyme	Dashed										KEGG	Glutamine	Qars1
1055_1686	1686	1055	*	*	Enzyme	Solid										KEGG, HMDB	Glutamic acid	Qrsl1
1055_1760	1760	1055	*	*	Enzyme	Solid										KEGG, HMDB	Glutamine	Qrsl1
1057_1678	1678	1057	*	*	Enzyme	Solid										KEGG	Guanine	Qtrt1
1058_1748	1748	1058	*		SameComplex	Dashed										Reactome	vitamin A	RBP2
105_1902	1902	105	*	*	Enzyme	Solid										HMDB	coenzyme A	Agpat2
105_1959	1959	105	*	*	Enzyme	Solid										HMDB	CoA(6:0)	Agpat2
1069_1895	1895	1069	*	*	Unknown	Solid										HMDB	GMP	Rab3il1
106_1902	1902	106	*	*	Enzyme	Solid										HMDB	coenzyme A	Agpat3
106_1959	1959	106	*	*	Enzyme	Solid										HMDB	CoA(6:0)	Agpat3
1072_1895	1895	1072	*		Unknown	Dashed										HMDB	GMP	Rab5a
1073_1852	1852	1073	*	*	Unknown	Solid										HMDB	GDP	Rab5b
1073_1895	1895	1073	*	*	Unknown	Solid										HMDB	GMP	Rab5b
1076_1895	1895	1076	*	*	Unknown	Solid										HMDB	GMP	Rac1
1077_1895	1895	1077	*	*	Unknown	Solid										HMDB	GMP	Rac2
1079_1852	1852	1079	*	*	Enzyme	Solid										KEGG	GDP	Ralb
1079_1904	1904	1079		*	Enzyme	Dashed										KEGG	Orthophosphate	Ralb
107_1902	1902	107	*	*	Enzyme	Solid										KEGG, HMDB	coenzyme A	Agpat4
107_1959	1959	107	*	*	Enzyme	Solid										HMDB	CoA(6:0)	Agpat4
1080_1674	1674	1080	*	*	Unknown	Solid				*					*	HMDB	Glutathione	Ralbp1
1081_1895	1895	1081	*		Unknown	Dashed										HMDB	GMP	Ralgdsl1
1082_1895	1895	1082	*		Unknown	Dashed										HMDB	GMP	Ralgdsl2
1083_1895	1895	1083	*	*	Unknown	Solid										HMDB	GMP	Ralgps1
1084_1895	1895	1084	*	*	Unknown	Solid										HMDB	GMP	Ralgps2
1085_1895	1895	1085	*	*	Unknown	Solid										HMDB	GMP	Ranbp3
1088_1895	1895	1088	*	*	Unknown	Solid										HMDB	GMP	Rapgef3
1089_1413	1413	1089		*	Unknown	Dashed										HMDB	Cyclic AMP	Rapgef4
1089_1852	1852	1089	*	*	Unknown	Solid										HMDB	GDP	Rapgef4
1089_1895	1895	1089	*	*	Unknown	Solid										HMDB	GMP	Rapgef4
108_1902	1902	108	*	*	Enzyme	Solid										HMDB	coenzyme A	Agpat5
108_1959	1959	108	*	*	Enzyme	Solid										HMDB	CoA(6:0)	Agpat5
1090_1895	1895	1090	*	*	Unknown	Solid										HMDB	GMP	Rapgef5
1091_1895	1895	1091	*	*	Unknown	Solid										HMDB	GMP	Rapgef6
1092_1895	1895	1092	*		Unknown	Dashed										HMDB	GMP	Rapgefl1
1093_1754	1754	1093	*		Enzyme	Dashed										KEGG	Arginine	Rars1
1094_1895	1895	1094	*		Unknown	Dashed										HMDB	GMP	Rasgef1a
1095_1895	1895	1095	*	*	Unknown	Solid										HMDB	GMP	Rasgef1b
1096_1895	1895	1096	*		Unknown	Dashed										HMDB	GMP	Rasgef1c
1097_1294	1294	1097	*	*	Unknown	Solid										HMDB	DG(36:5)>DG(18:2_18:3_0:0)_M+NH3_feature1	Rasgrp1
1097_1405	1405	1097		*	Unknown	Dashed										HMDB	Calcium	Rasgrp1
1097_1418	1418	1097		*	Unknown	Dashed										HMDB	Diacylglycerol	Rasgrp1
1098_1294	1294	1098	*	*	Unknown	Solid										HMDB	DG(36:5)>DG(18:2_18:3_0:0)_M+NH3_feature1	Rasgrp2
1099_1294	1294	1099	*	*	Unknown	Solid										HMDB	DG(36:5)>DG(18:2_18:3_0:0)_M+NH3_feature1	Rasgrp3
1099_1895	1895	1099	*	*	Unknown	Solid										HMDB	GMP	Rasgrp3
109_1142	109	1142	*	*	SameComplex	Solid										Reactome	Agrn	Sdc1
109_1292	109	1292	*	*	SameComplex	Solid					*				*	Reactome	Agrn	CE(18:1)_feature1
109_1308	109	1308	*	*	SameComplex	Solid					*				*	Reactome	Agrn	TG(58:7)>TG(18:0_18:1_22:6)_M+NH3_feature3
109_156	109	156	*	*	SameComplex	Solid										Reactome	Agrn	Apoa1
109_162	109	162	*	*	SameComplex	Solid										Reactome	Agrn	Apoc3
10_156	156	10	*	*	SameComplex	Solid										Reactome	Apoa1	AABR07058476.1
1100_1294	1294	1100	*	*	Unknown	Solid										HMDB	DG(36:5)>DG(18:2_18:3_0:0)_M+NH3_feature1	Rasgrp4
1103_1748	1748	1103	*	*	SameComplex	Solid										Reactome	vitamin A	Rbp1
1104_1239	1104	1239	*	*	SameComplex	Solid										Reactome	Rbp4	Ttr
1104_1748	1748	1104	*	*	SameComplex	Solid										Reactome	vitamin A	Rbp4
1105_1895	1895	1105	*	*	Enzyme	Solid										HMDB	GMP	Rcc2
1107_1295	1295	1107	*	*	Enzyme	Solid										HMDB	HexCer(d42:0-OH)_M+H2CO2_feature1	Rdh10
1107_1748	1748	1107	*	*	Enzyme	Solid										KEGG, HMDB	vitamin A	Rdh10
1108_1748	1748	1108	*	*	Enzyme	Solid										KEGG	vitamin A	Rdh16
1109_1383	1383	1109		*	Enzyme	Dashed										KEGG	Acceptor	Retsat
1109_1568	1568	1109		*	Enzyme	Dashed										KEGG	Reduced acceptor	Retsat
1109_1748	1748	1109	*	*	Enzyme	Solid										KEGG, HMDB	vitamin A	Retsat
1109_1793	1793	1109		*	Unknown	Dashed										HMDB	NAD+	Retsat
1109_1858	1858	1109	*	*	Unknown	Solid										HMDB	FAD	Retsat
1109_2065	2065	1109		*	Enzyme	Dashed										KEGG	all-trans-13,14-Dihydroretinol	Retsat
1109_2185	2185	1109		*	Unknown	Dashed										HMDB	NADP+	Retsat
110_1686	1686	110	*	*	Enzyme	Solid										KEGG	Glutamic acid	Agxt
1112_1895	1895	1112	*	*	Unknown	Solid										HMDB	GMP	Rhoq
1113_1895	1895	1113	*	*	Enzyme	Solid										HMDB	GMP	Rhou
1114_1895	1895	1114	*	*	Unknown	Solid										HMDB	GMP	Ric8a
1115_1895	1895	1115	*	*	Unknown	Solid										HMDB	GMP	Ric8b
1116_1686	1686	1116	*		Enzyme	Dashed										KEGG	Glutamic acid	Rimklbl1
1116_1781	1781	1116	*		Enzyme	Dashed										KEGG	N-acetylaspartate	Rimklbl1
1117_1895	1895	1117	*	*	Unknown	Solid		*							*	HMDB	GMP	Rin1
1118_1895	1895	1118	*	*	Unknown	Solid										HMDB	GMP	Rin2
1119_1895	1895	1119	*	*	Unknown	Solid										HMDB	GMP	Rin3
111_1686	1686	111	*	*	Enzyme	Solid										KEGG	Glutamic acid	Agxt2
1120_1726	1726	1120	*	*	Enzyme	Solid										KEGG	Succinic acid	Riox1
1121_1552	1552	1121		*	Enzyme	Dashed										KEGG	Protein N6,N6,N6-trimethyl-L-lysine	Riox2
1121_1554	1554	1121		*	Enzyme	Dashed										KEGG	Protein N6-methyl-L-lysine	Riox2
1121_1557	1557	1121		*	Enzyme	Dashed										KEGG	Protein histidine	Riox2
1121_1603	1603	1121		*	Enzyme	Dashed										KEGG	[Protein]-(3S)-3-hydroxy-L-histidine	Riox2
1121_1710	1710	1121	*	*	Enzyme	Solid										KEGG	Oxoglutaric acid	Riox2
1121_1726	1726	1121	*	*	Enzyme	Solid										KEGG	Succinic acid	Riox2
1121_1903	1903	1121		*	Enzyme	Dashed										KEGG	Formaldehyde	Riox2
1121_2080	2080	1121		*	Enzyme	Dashed										KEGG	Protein N6,N6-dimethyl-L-lysine	Riox2
1122_1895	1895	1122	*	*	Unknown	Solid										HMDB	GMP	Rit1
1123_1895	1895	1123	*		Unknown	Dashed										HMDB	GMP	Rit2
1124_1294	1294	1124	*	*	Unknown	Solid										HMDB	DG(36:5)>DG(18:2_18:3_0:0)_M+NH3_feature1	Rock1
1125_1294	1294	1125	*	*	Unknown	Solid										HMDB	DG(36:5)>DG(18:2_18:3_0:0)_M+NH3_feature1	Rock2
1126_1895	1895	1126	*	*	Unknown	Solid										HMDB	GMP	Rp2
1127_1895	1895	1127	*	*	Unknown	Solid								*	*	HMDB	GMP	RragB
1128_1895	1895	1128	*	*	Unknown	Solid										HMDB	GMP	Rraga
1129_1895	1895	1129	*	*	Unknown	Solid										HMDB	GMP	Rragc
112_1658	1658	112	*		Enzyme	Dashed										KEGG	CTP	Ak1
112_1734	1734	112	*		Enzyme	Dashed										KEGG	UTP	Ak1
1130_1895	1895	1130	*	*	Unknown	Solid										HMDB	GMP	Rragd
1131_1303	1303	1131	*		Enzyme or transporter	Dashed										Reactome	PE(34:3)>PE(16:0_18:3)_feature2	SCO2
1132_1305	1305	1132	*	*	Enzyme	Solid										KEGG	PI(40:6)>PI(18:0_22:6)_feature1	Sacm1l
1134_1858	1858	1134	*	*	Unknown	Solid										HMDB	FAD	Sardh
1134_1861	1861	1134	*	*	Unknown	Solid	*	*		*					*	HMDB	spermine	Sardh
1135_1793	1793	1135		*	Enzyme	Dashed										KEGG	NAD+	Sarm1
1135_1843	1843	1135	*	*	Enzyme	Solid										KEGG	ADP-ribose	Sarm1
1135_1897	1897	1135	*	*	Enzyme	Solid										KEGG	Niacinamide	Sarm1
1135_2172	2172	1135		*	Enzyme	Dashed										KEGG	Cyclic ADP-ribose	Sarm1
1136_1861	1861	1136	*	*	Enzyme	Solid	*	*		*					*	HMDB	spermine	Sat1
1136_1902	1902	1136	*	*	Enzyme	Solid										HMDB	coenzyme A	Sat1
1137_1861	1861	1137	*	*	Enzyme	Solid	*	*		*					*	HMDB	spermine	Sat2
1137_1902	1902	1137	*	*	Enzyme	Solid										HMDB	coenzyme A	Sat2
113_1734	1734	113	*	*	Enzyme	Solid										KEGG	UTP	Ak3
1140_1303	1303	1140	*	*	Enzyme or transporter	Solid										Reactome	PE(34:3)>PE(16:0_18:3)_feature2	Sco1
1141_1902	1902	1141	*	*	Enzyme	Solid										KEGG	coenzyme A	Scp2
1141_1959	1959	1141	*	*	Enzyme	Solid										KEGG	CoA(6:0)	Scp2
1142_1143	1142	1143	*	*	SameComplex	Solid										Reactome	Sdc1	Sdc2
1142_1144	1142	1144	*	*	SameComplex	Solid										Reactome	Sdc1	Sdc3
1142_1145	1142	1145	*	*	SameComplex	Solid										Reactome	Sdc1	Sdc4
1142_1269	1142	1269	*	*	SameComplex	Solid										Reactome	Sdc1	Vcan
1142_1275	1142	1275	*	*	Others	Solid										Reactome	Sdc1	Xylt1
1142_1276	1142	1276	*	*	Others	Solid										Reactome	Sdc1	Xylt2
1142_1292	1142	1292	*	*	SameComplex	Solid					*				*	Reactome	Sdc1	CE(18:1)_feature1
1142_1308	1142	1308	*	*	SameComplex	Solid					*				*	Reactome	Sdc1	TG(58:7)>TG(18:0_18:1_22:6)_M+NH3_feature3
1142_1454	1454	1142		*	SameComplex	Dashed										Reactome	Heparan sulfate chain(1)	Sdc1
1142_1539	1142	1539	*		SameComplex	Dashed										Reactome	Sdc1	PL
1142_1594	1594	1142		*	SameComplex	Dashed										Reactome	UDP-GlcA	Sdc1
1142_1613	1142	1613	*		SameComplex	Dashed										Reactome	Sdc1	atR-LINA
1142_1614	1142	1614	*		SameComplex	Dashed										Reactome	Sdc1	atR-OLEA
1142_1615	1142	1615	*		SameComplex	Dashed										Reactome	Sdc1	atR-STEA
1142_1642	1642	1142		*	SameComplex	Dashed										Reactome	CH3COO-	Sdc1
1142_1651	1651	1142		*	SameComplex	Dashed										Reactome	PAP	Sdc1
1142_1654	1142	1654	*	*	SameComplex	Solid										Reactome	Sdc1	cholesterol
1142_1738	1738	1142		*	SameComplex	Dashed										Reactome	UDP-GlcNAc	Sdc1
1142_1742	1142	1742	*		SameComplex	Dashed										Reactome	Sdc1	UDP
1142_1746	1142	1746	*		SameComplex	Dashed										Reactome	Sdc1	UDP-Gal
1142_1810	1810	1142		*	SameComplex	Dashed										Reactome	UDP-Xyl	Sdc1
1142_1990	1142	1990	*		SameComplex	Dashed										Reactome	Sdc1	atR-PALM
1142_2187	2187	1142		*	SameComplex	Dashed										Reactome	PAPS	Sdc1
1143_1292	1143	1292	*	*	SameComplex	Solid					*				*	Reactome	Sdc2	CE(18:1)_feature1
1143_1308	1143	1308	*	*	SameComplex	Solid					*				*	Reactome	Sdc2	TG(58:7)>TG(18:0_18:1_22:6)_M+NH3_feature3
1144_1292	1144	1292	*	*	SameComplex	Solid					*				*	Reactome	Sdc3	CE(18:1)_feature1
1144_1308	1144	1308	*	*	SameComplex	Solid					*				*	Reactome	Sdc3	TG(58:7)>TG(18:0_18:1_22:6)_M+NH3_feature3
1145_1292	1145	1292	*	*	SameComplex	Solid					*				*	Reactome	Sdc4	CE(18:1)_feature1
1145_1308	1145	1308	*	*	SameComplex	Solid					*				*	Reactome	Sdc4	TG(58:7)>TG(18:0_18:1_22:6)_M+NH3_feature3
1146_1726	1726	1146	*	*	Enzyme	Solid										KEGG, HMDB	Succinic acid	Sdha
1146_1858	1858	1146	*	*	Unknown	Solid										HMDB	FAD	Sdha
1147_1726	1726	1147	*	*	Enzyme	Solid										KEGG, HMDB	Succinic acid	Sdhb
1147_1858	1858	1147	*	*	Unknown	Solid										HMDB	FAD	Sdhb
1148_1726	1726	1148	*	*	Unknown	Solid										HMDB	Succinic acid	Sdhc
1148_1858	1858	1148	*	*	Unknown	Solid										HMDB	FAD	Sdhc
1149_1686	1686	1149	*	*	Enzyme	Solid										KEGG	Glutamic acid	Sdsl
114_1334	1334	114		*	Enzyme	Dashed										KEGG	2'-Deoxy-5-hydroxymethylcytidine-5'-diphosphate	Ak4
114_1335	1335	114		*	Enzyme	Dashed										KEGG	2'-Deoxy-5-hydroxymethylcytidine-5'-triphosphate	Ak4
114_1373	1373	114		*	Enzyme	Dashed										KEGG	5-Fluorodeoxyuridine diphosphate	Ak4
114_1374	1374	114		*	Enzyme	Dashed										KEGG	5-Fluorodeoxyuridine triphosphate	Ak4
114_1375	1375	114		*	Enzyme	Dashed										KEGG	5-Fluorouridine diphosphate	Ak4
114_1376	1376	114		*	Enzyme	Dashed										KEGG	5-Fluorouridine triphosphate	Ak4
114_1520	1520	114		*	Enzyme	Dashed										KEGG	NDP	Ak4
114_1524	1524	114		*	Enzyme	Dashed										KEGG	Nucleoside triphosphate	Ak4
114_1621	1621	114		*	Enzyme	Dashed										KEGG	dZDP	Ak4
114_1622	1622	114		*	Enzyme	Dashed										KEGG	dZTP	Ak4
114_1658	1658	114	*	*	Enzyme	Solid										KEGG	CTP	Ak4
114_1703	1703	114		*	Enzyme	Dashed										KEGG	ITP	Ak4
114_1734	1734	114	*	*	Enzyme	Solid										KEGG	UTP	Ak4
114_1743	1743	114	*	*	Enzyme	Solid										KEGG	UDP	Ak4
114_1796	1796	114		*	Enzyme	Dashed										KEGG	2'-deoxyadenosine 5'-monophosphate	Ak4
114_1803	1803	114		*	Enzyme	Dashed										KEGG	dGDP	Ak4
114_1807	1807	114	*	*	Enzyme	Solid										KEGG	dCTP	Ak4
114_1808	1808	114		*	Enzyme	Dashed										KEGG	dUDP	Ak4
114_1847	1847	114		*	Enzyme	Dashed										KEGG	dUTP	Ak4
114_1852	1852	114	*	*	Enzyme	Solid										KEGG	GDP	Ak4
114_1857	1857	114		*	Enzyme	Dashed										KEGG	dCDP	Ak4
114_1867	1867	114		*	Enzyme	Dashed										KEGG	dTDP	Ak4
114_1881	1881	114	*	*	Enzyme	Solid										KEGG	dTTP	Ak4
114_1889	1889	114		*	Enzyme	Dashed										KEGG	Thiamin diphosphate	Ak4
114_1906	1906	114		*	Enzyme	Dashed										KEGG	dGTP	Ak4
114_1917	1917	114		*	Enzyme	Dashed										KEGG	dADP	Ak4
114_1918	1918	114		*	Enzyme	Dashed										KEGG	Thiamin triphosphate	Ak4
114_1922	1922	114	*	*	Enzyme	Solid										KEGG	dATP	Ak4
114_1924	1924	114	*	*	Enzyme	Solid										KEGG	CDP	Ak4
114_1972	1972	114		*	Enzyme	Dashed										KEGG	IDP	Ak4
114_1984	1984	114		*	Enzyme	Dashed										KEGG	dIDP	Ak4
114_1985	1985	114		*	Enzyme	Dashed										KEGG	dITP	Ak4
1150_1294	1294	1150	*	*	Enzyme or transporter	Solid										Reactome	DG(36:5)>DG(18:2_18:3_0:0)_M+NH3_feature1	Selenoi
1150_1303	1303	1150	*	*	Enzyme or transporter	Solid										Reactome	PE(34:3)>PE(16:0_18:3)_feature2	Selenoi
1151_1674	1674	1151	*	*	Enzyme	Solid				*					*	KEGG	Glutathione	Selenot
1151_1756	1756	1151	*	*	Enzyme	Solid			*				*	*	*	KEGG	Cysteine	Selenot
1152_1895	1895	1152	*	*	Unknown	Solid										HMDB	GMP	Sergef
